Theta Phi Col1 Col2 Intensity
15.0 0.0 40285.3 36944.6 0.077703275
15.0 3.0 47163.9 36944.6 0.05229307500000003
15.0 6.0 45024.4 36944.6 0.11659015
15.0 9.0 44993.3 36944.6 0.08099315000000001
15.0 12.0 42540.8 36944.6 0.023140700000000018
15.0 15.0 48381.1 36944.6 0.14841044999999997
15.0 18.0 43152.9 36944.6 0.07630875000000001
15.0 21.0 39211.6 36944.6 0.03406927499999998
15.0 24.0 37336.8 36944.6 -0.029159050000000002
15.0 27.0 35473.8 36944.6 -0.09061649999999999
15.0 30.0 41623.9 36944.6 -0.10822239999999998
15.0 33.0 35237.3 36944.6 -0.03282292499999998
15.0 36.0 35876.5 36944.6 0.024264625
15.0 39.0 35594.5 36944.6 -0.043240150000000005
15.0 42.0 39443.0 36944.6 -0.01568762500000005
15.0 45.0 39046.3 36944.6 -0.023451725000000003
15.0 48.0 32842.4 36944.6 -0.04312985000000002
15.0 51.0 33038.0 36944.6 -0.03409400000000003
15.0 54.0 31484.1 36944.6 -0.028224975000000003
15.0 57.0 36571.9 36944.6 -0.043221500000000024
15.0 60.0 30008.4 36944.6 -0.02076107500000001
15.0 63.0 30370.8 36944.6 -0.005731175000000015
15.0 66.0 32897.5 36944.6 -0.030022449999999996
15.0 69.0 24559.1 36944.6 -0.16791265
15.0 72.0 29720.0 36944.6 -0.03377554999999999
15.0 75.0 33517.4 36944.6 -0.094311175
15.0 78.0 31139.0 36944.6 -0.03451269999999999
15.0 81.0 33172.7 36944.6 0.03358435
15.0 84.0 39090.3 36944.6 -0.0032186499999999896
15.0 87.0 40418.1 36944.6 0.21564930000000004
15.0 90.0 40208.9 36944.6 0.07770327499999999
15.0 93.0 35629.5 36944.6 0.05229307500000002
15.0 96.0 37481.8 36944.6 0.11659014999999999
15.0 99.0 37565.6 36944.6 0.08099315000000003
15.0 102.0 37028.2 36944.6 0.023140700000000007
15.0 105.0 40075.1 36944.6 0.14841044999999997
15.0 108.0 35286.3 36944.6 0.07630875000000001
15.0 111.0 27173.3 36944.6 0.03406927499999998
15.0 114.0 29863.9 36944.6 -0.029159050000000006
15.0 117.0 23208.3 36944.6 -0.09061649999999997
15.0 120.0 26109.4 36944.6 -0.1082224
15.0 123.0 31183.9 36944.6 -0.03282292500000003
15.0 126.0 32258.8 36944.6 0.024264624999999995
15.0 129.0 33112.4 36944.6 -0.04324015
15.0 132.0 32718.1 36944.6 -0.015687625000000045
15.0 135.0 31612.9 36944.6 -0.023451724999999982
15.0 138.0 32556.2 36944.6 -0.04312985000000001
15.0 141.0 37158.0 36944.6 -0.03409399999999995
15.0 144.0 33928.6 36944.6 -0.02822497500000001
15.0 147.0 30401.3 36944.6 -0.04322150000000003
15.0 150.0 41332.3 36944.6 -0.020761075000000004
15.0 153.0 39922.1 36944.6 -0.005731175000000003
15.0 156.0 34678.8 36944.6 -0.030022450000000006
15.0 159.0 30337.8 36944.6 -0.16791265
15.0 162.0 36549.5 36944.6 -0.03377554999999998
15.0 165.0 31864.4 36944.6 -0.094311175
15.0 168.0 34197.4 36944.6 -0.034512699999999986
15.0 171.0 35592.2 36944.6 0.03358435000000003
15.0 174.0 33075.6 36944.6 -0.0032186500000000004
15.0 177.0 41930.8 36944.6 0.21564930000000002
15.0 180.0 42884.7 36944.6 0.077703275
15.0 183.0 37967.3 36944.6 0.052293075000000015
15.0 186.0 46631.5 36944.6 0.11659015
15.0 189.0 39537.1 36944.6 0.08099315000000003
15.0 192.0 39629.9 36944.6 0.02314070000000002
15.0 195.0 41572.8 36944.6 0.14841045000000003
15.0 198.0 41892.4 36944.6 0.07630875000000001
15.0 201.0 45064.3 36944.6 0.034069275
15.0 204.0 37908.8 36944.6 -0.029159049999999978
15.0 207.0 42641.5 36944.6 -0.09061649999999996
15.0 210.0 36826.1 36944.6 -0.1082224
15.0 213.0 38557.5 36944.6 -0.032822925000000024
15.0 216.0 42336.1 36944.6 0.024264624999999998
15.0 219.0 36730.2 36944.6 -0.043240150000000005
15.0 222.0 40160.9 36944.6 -0.015687625000000042
15.0 225.0 38971.5 36944.6 -0.023451724999999972
15.0 228.0 39327.6 36944.6 -0.043129850000000004
15.0 231.0 38605.2 36944.6 -0.03409400000000003
15.0 234.0 38531.0 36944.6 -0.028224975000000003
15.0 237.0 36905.0 36944.6 -0.043221500000000024
15.0 240.0 32682.7 36944.6 -0.02076107500000002
15.0 243.0 35601.8 36944.6 -0.005731174999999994
15.0 246.0 39287.4 36944.6 -0.03002245
15.0 249.0 34904.8 36944.6 -0.16791264999999997
15.0 252.0 35666.1 36944.6 -0.033775549999999994
15.0 255.0 33145.7 36944.6 -0.09431117499999996
15.0 258.0 35046.3 36944.6 -0.03451270000000001
15.0 261.0 40441.4 36944.6 0.03358435000000002
15.0 264.0 37729.0 36944.6 -0.003218649999999984
15.0 267.0 45521.7 36944.6 0.21564930000000004
15.0 270.0 40254.4 36944.6 0.077703275
15.0 273.0 40230.5 36944.6 0.052293075000000036
15.0 276.0 40313.1 36944.6 0.11659014999999998
15.0 279.0 41827.9 36944.6 0.08099315
15.0 282.0 35081.0 36944.6 0.02314070000000002
15.0 285.0 43158.9 36944.6 0.14841044999999997
15.0 288.0 41705.7 36944.6 0.07630875000000001
15.0 291.0 44710.7 36944.6 0.034069274999999996
15.0 294.0 40657.6 36944.6 -0.029159049999999992
15.0 297.0 35368.0 36944.6 -0.09061649999999999
15.0 300.0 28705.5 36944.6 -0.10822239999999998
15.0 303.0 39036.3 36944.6 -0.03282292500000002
15.0 306.0 41855.0 36944.6 0.02426462500000001
15.0 309.0 36102.3 36944.6 -0.043240150000000005
15.0 312.0 33035.1 36944.6 -0.015687625000000042
15.0 315.0 34382.1 36944.6 -0.023451724999999975
15.0 318.0 36197.4 36944.6 -0.04312984999999999
15.0 321.0 32728.7 36944.6 -0.03409400000000003
15.0 324.0 38605.6 36944.6 -0.028224975000000006
15.0 327.0 36085.9 36944.6 -0.04322150000000001
15.0 330.0 38330.4 36944.6 -0.020761075000000014
15.0 333.0 38631.8 36944.6 -0.005731175000000007
15.0 336.0 34205.4 36944.6 -0.03002245000000001
15.0 339.0 31200.0 36944.6 -0.16791265
15.0 342.0 37742.2 36944.6 -0.03377554999999998
15.0 345.0 31874.7 36944.6 -0.09431117499999997
15.0 348.0 38330.3 36944.6 -0.0345127
15.0 351.0 39197.0 36944.6 0.03358435000000001
15.0 354.0 32545.6 36944.6 -0.003218649999999997
15.0 357.0 45290.4 36944.6 0.21564930000000004
18.0 0.0 50226.3 43777.6 0.1442285
18.0 3.0 40282.8 43777.6 0.057357075000000014
18.0 6.0 61495.9 43777.6 0.162210125
18.0 9.0 53627.3 43777.6 0.054771850000000004
18.0 12.0 40068.0 43777.6 0.09968605000000001
18.0 15.0 56040.7 43777.6 0.09200887500000002
18.0 18.0 38508.2 43777.6 0.01148
18.0 21.0 55862.4 43777.6 0.007020649999999995
18.0 24.0 47565.3 43777.6 0.05361357499999998
18.0 27.0 37408.1 43777.6 -0.01264477500000003
18.0 30.0 41886.0 43777.6 -0.06279195000000001
