      20    2400    0     datakind beginning-row linenumbers
----------------------------------------------------------------
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
angle-resolved photoemission extended fine structure (ARPEFS)
experimental data for Fe 2p3/2 from Fe on STO(100)  excited with hv=1810eV

provided by Pancotti et al. (LNLS in 9, June 2010)
   intial angular momentum (l) = 1
   photon polarization angle (polar,azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K

   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      20     2400       1       20     120     2400
       1     120       19.5900     12.0000      1.00000      0.00000
      0.00000      434899.7      442551.8      -0.0963511
      3.00000      434422.5      442551.8      -0.1000787
      6.00000      455672.4      442551.8      -0.0586737
      9.00000      474952.3      442551.8      -0.0213140
      12.00000      477491.4      442551.8      -0.0183141
      15.00000      484849.5      442551.8      -0.0052076
      18.00000      499418.3      442551.8      0.0228470
      21.00000      504415.2      442551.8      0.0314654
      24.00000      501873.1      442551.8      0.0248911
      27.00000      505880.4      442551.8      0.0319141
      30.00000      497772.0      442551.8      0.0144489
      33.00000      507072.5      442551.8      0.0326750
      36.00000      487408.1      442551.8      -0.0078718
      39.00000      498708.8      442551.8      0.0148198
      42.00000      496586.3      442551.8      0.0103846
      45.00000      489339.0      442551.8      -0.0042896
      48.00000      495901.6      442551.8      0.0093203
      51.00000      479755.3      442551.8      -0.0231213
      54.00000      495772.6      442551.8      0.0101034
      57.00000      499644.4      442551.8      0.0187789
      60.00000      528223.4      442551.8      0.0780613
      63.00000      531668.4      442551.8      0.0862828
      66.00000      528055.5      442551.8      0.0802527
      69.00000      533765.5      442551.8      0.0934672
      72.00000      547643.6      442551.8      0.1236385
      75.00000      532874.1      442551.8      0.0951878
      78.00000      546138.3      442551.8      0.1245074
      81.00000      508592.6      442551.8      0.0492621
      84.00000      518355.4      442551.8      0.0716491
      87.00000      491780.5      442551.8      0.0189721
      90.00000      508214.1      442551.8      0.0554970
      93.00000      483101.6      442551.8      0.0058184
      96.00000      486775.2      442551.8      0.0160853
      99.00000      453147.9      442551.8      -0.0515590
      102.00000      454267.7      442551.8      -0.0465518
      105.00000      436288.8      442551.8      -0.0816279
      108.00000      426031.7      442551.8      -0.1005259
      111.00000      453129.1      442551.8      -0.0403523
      114.00000      433990.9      442551.8      -0.0779537
      117.00000      437845.7      442551.8      -0.0667182
      120.00000      440607.4      442551.8      -0.0576794
      123.00000      436357.5      442551.8      -0.0635638
      126.00000      431216.7      442551.8      -0.0713502
      129.00000      421889.5      442551.8      -0.0881870
      132.00000      418889.7      442551.8      -0.0913735
      135.00000      427756.2      442551.8      -0.0687059
      138.00000      431977.2      442551.8      -0.0559819
      141.00000      438210.4      442551.8      -0.0387124
      144.00000      431319.1      442551.8      -0.0501814
      147.00000      431319.1      442551.8      -0.0464793
      150.00000      412730.1      442551.8      -0.0839839
      153.00000      434973.8      442551.8      -0.0307863
      156.00000      432942.7      442551.8      -0.0314586
      159.00000      419997.0      442551.8      -0.0566455
      162.00000      415229.4      442551.8      -0.0635918
      165.00000      419489.2      442551.8      -0.0501577
      168.00000      430070.3      442551.8      -0.0222524
      171.00000      411998.9      442551.8      -0.0595396
      174.00000      429486.2      442551.8      -0.0156511
      177.00000      446303.5      442551.8      0.0270260
      180.00000      437342.1      442551.8      0.0104554
      183.00000      438985.8      442551.8      0.0183148
      186.00000      452242.4      442551.8      0.0532392
      189.00000      437696.2      442551.8      0.0233839
      192.00000      445367.3      442551.8      0.0453881
      195.00000      449633.9      442551.8      0.0594791
      198.00000      442789.8      442551.8      0.0473290
      201.00000      452274.5      442551.8      0.0737797
      204.00000      454967.1      442551.8      0.0841598
      207.00000      441847.8      442551.8      0.0567107
      210.00000      431861.8      442551.8      0.0364907
      213.00000      436554.7      442551.8      0.0513825
      216.00000      434714.7      442551.8      0.0504836
      219.00000      406453.6      442551.8      -0.0145890
      222.00000      431236.4      442551.8      0.0488151
      225.00000      419307.5      442551.8      0.0229301
      228.00000      402845.6      442551.8      -0.0143299
      231.00000      410930.5      442551.8      0.0082954
      234.00000      408649.7      442551.8      0.0054048
      237.00000      414187.8      442551.8      0.0216410
      240.00000      409384.9      442551.8      0.0122365
      243.00000      389929.0      442551.8      -0.0336826
      246.00000      498651.0      442551.8      0.2383603
      249.00000      406434.0      442551.8      0.0113127
      252.00000      408373.9      442551.8      0.0179455
      255.00000      415995.3      442551.8      0.0386021
      258.00000      416558.0      442551.8      0.0414794
      261.00000      411425.6      442551.8      0.0299076
      264.00000      414162.5      442551.8      0.0378244
      267.00000      417315.7      442551.8      0.0465878
      270.00000      415872.8      442551.8      0.0436098
      273.00000      397378.8      442551.8      -0.0024030
      276.00000      405084.3      442551.8      0.0171199
      279.00000      394373.4      442551.8      -0.0098259
      282.00000      393461.5      442551.8      -0.0123986
      285.00000      395561.2      442551.8      -0.0076509
      288.00000      360461.9      442551.8      -0.0964025
      291.00000      373308.4      442551.8      -0.0651553
      294.00000      405732.5      442551.8      0.0147440
      297.00000      390710.9      442551.8      -0.0243275
      300.00000      383795.1      442551.8      -0.0433245
      303.00000      378332.1      442551.8      -0.0588950
      306.00000      380030.7      442551.8      -0.0568857
      309.00000      393739.6      442551.8      -0.0254257
      312.00000      405320.8      442551.8      0.0003290
      315.00000      395376.6      442551.8      -0.0273210
      318.00000      398903.0      442551.8      -0.0220523
      321.00000      408928.0      442551.8      -0.0012451
      324.00000      394747.2      442551.8      -0.0397864
      327.00000      337372.6      442551.8      -0.1829148
      330.00000      398179.2      442551.8      -0.0401216
      333.00000      428356.7      442551.8      0.0275287
      336.00000      409541.9      442551.8      -0.0227454
      339.00000      410062.5      442551.8      -0.0269161
      342.00000      425250.0      442551.8      0.0032407
      345.00000      439576.3      442551.8      0.0306836
      348.00000      458876.6      442551.8      0.0690231
      351.00000      435011.4      442551.8      0.0066115
      354.00000      460859.5      442551.8      0.0589376
      357.00000      469398.1      442551.8      0.0706676
       2     120       19.5900     15.0000      1.00000      0.00000
      0.00000      457840.6      412793.2      -0.1271509
      3.00000      481405.1      412793.2      -0.0828366
      6.00000      484189.0      412793.2      -0.0778724
      9.00000      482758.0      412793.2      -0.0806697
      12.00000      508162.6      412793.2      -0.0320923
      15.00000      523052.4      412793.2      -0.0032506
      18.00000      536778.6      412793.2      0.0236778
      21.00000      540856.6      412793.2      0.0325064
      24.00000      557611.3      412793.2      0.0658534
      27.00000      556743.5      412793.2      0.0658271
      30.00000      559798.2      412793.2      0.0735861
      33.00000      547872.4      412793.2      0.0528449
      36.00000      547100.4      412793.2      0.0537443
      39.00000      537087.2      412793.2      0.0370454
      42.00000      516131.9      412793.2      -0.0006956
      45.00000      511626.0      412793.2      -0.0064923
      48.00000      526573.4      412793.2      0.0257804
      51.00000      513385.1      412793.2      0.0034807
      54.00000      512877.1      412793.2      0.0060991
      57.00000      529166.7      412793.2      0.0420082
      60.00000      534524.4      412793.2      0.0567809
      63.00000      540886.2      412793.2      0.0738604
      66.00000      555557.7      412793.2      0.1078462
      69.00000      544470.8      412793.2      0.0907249
      72.00000      560904.3      412793.2      0.1290153
      75.00000      549193.4      412793.2      0.1109257
      78.00000      525186.5      412793.2      0.0678206
      81.00000      516397.5      412793.2      0.0555247
      84.00000      505956.9      412793.2      0.0398481
      87.00000      471623.8      412793.2      -0.0252463
      90.00000      452971.7      412793.2      -0.0583667
      93.00000      442410.1      412793.2      -0.0748459
      96.00000      418712.0      412793.2      -0.1190574
      99.00000      416047.7      412793.2      -0.1191920
      102.00000      420090.8      412793.2      -0.1049486
      105.00000      427481.1      412793.2      -0.0832582
      108.00000      430737.9      412793.2      -0.0701240
      111.00000      430934.5      412793.2      -0.0633887
      114.00000      437754.2      412793.2      -0.0419974
      117.00000      435002.2      412793.2      -0.0413373
      120.00000      433406.2      412793.2      -0.0380446
      123.00000      436181.3      412793.2      -0.0248817
      126.00000      425073.4      412793.2      -0.0427461
      129.00000      418966.3      412793.2      -0.0494932
      132.00000      422189.7      412793.2      -0.0349852
      135.00000      428743.0      412793.2      -0.0125658
      138.00000      420772.4      412793.2      -0.0234939
      141.00000      415559.5      412793.2      -0.0281340
      144.00000      420811.9      412793.2      -0.0081808
      147.00000      418647.4      412793.2      -0.0055406
      150.00000      421365.6      412793.2      0.0088149
      153.00000      417837.8      412793.2      0.0083010
      156.00000      409431.1      412793.2      -0.0041216
      159.00000      400471.9      412793.2      -0.0181392
      162.00000      404934.6      412793.2      0.0007393
      165.00000      392684.7      412793.2      -0.0217716
      168.00000      379972.4      412793.2      -0.0458718
      171.00000      374576.0      412793.2      -0.0519152
      174.00000      373782.4      412793.2      -0.0463945
      177.00000      364564.6      412793.2      -0.0625398
      180.00000      366481.4      412793.2      -0.0501823
      183.00000      360799.6      412793.2      -0.0575870
      186.00000      371809.7      412793.2      -0.0212873
      189.00000      371653.4      412793.2      -0.0141758
      192.00000      375942.8      412793.2      0.0047840
      195.00000      365065.0      412793.2      -0.0169662
      198.00000      391999.6      412793.2      0.0633684
      201.00000      387458.9      412793.2      0.0586952
      204.00000      379723.6      412793.2      0.0449658
      207.00000      388101.4      412793.2      0.0754874
      210.00000      380465.0      412793.2      0.0615278
      213.00000      382623.8      412793.2      0.0746582
      216.00000      380998.0      412793.2      0.0770161
      219.00000      383282.8      412793.2      0.0902685
      222.00000      363350.3      412793.2      0.0398289
      225.00000      369356.9      412793.2      0.0631789
      228.00000      362065.7      412793.2      0.0480133
      231.00000      353753.0      412793.2      0.0294096
      234.00000      353615.1      412793.2      0.0342148
      237.00000      346653.5      412793.2      0.0186958
      240.00000      339741.8      412793.2      0.0028541
      243.00000      353591.2      412793.2      0.0480811
      246.00000      356305.7      412793.2      0.0601798
      249.00000      345566.9      412793.2      0.0318222
      252.00000      352461.8      412793.2      0.0557167
      255.00000      340921.5      412793.2      0.0239839
      258.00000      347319.9      412793.2      0.0456993
      261.00000      344979.7      412793.2      0.0407310
      264.00000      338105.4      412793.2      0.0216186
      267.00000      335601.7      412793.2      0.0152457
      270.00000      341017.4      412793.2      0.0323986
      273.00000      333119.8      412793.2      0.0087972
      276.00000      324573.7      412793.2      -0.0172268
      279.00000      309308.8      412793.2      -0.0640159
      282.00000      309920.4      412793.2      -0.0631756
      285.00000      333321.6      412793.2      0.0059935
      288.00000      298214.4      412793.2      -0.1018015
      291.00000      320265.1      412793.2      -0.0378327
      294.00000      320994.6      412793.2      -0.0385683
      297.00000      304136.8      412793.2      -0.0922851
      300.00000      313320.5      412793.2      -0.0686623
      303.00000      322088.8      412793.2      -0.0469663
      306.00000      333962.0      412793.2      -0.0168515
      309.00000      333850.0      412793.2      -0.0226790
      312.00000      345454.7      412793.2      0.0051124
      315.00000      342130.1      412793.2      -0.0111593
      318.00000      353160.8      412793.2      0.0134290
      321.00000      344089.3      412793.2      -0.0201654
      324.00000      361883.3      412793.2      0.0220853
      327.00000      347605.6      412793.2      -0.0267597
      330.00000      367187.5      412793.2      0.0186280
      333.00000      375269.4      412793.2      0.0309730
      336.00000      378098.4      412793.2      0.0281821
      339.00000      366302.7      412793.2      -0.0145058
      342.00000      382141.3      412793.2      0.0166644
      345.00000      373418.7      412793.2      -0.0180621
      348.00000      381453.7      412793.2      -0.0090250
      351.00000      398988.5      412793.2      0.0235683
      354.00000      394104.1      412793.2      -0.0020469
      357.00000      408179.5      412793.2      0.0197764
       3     120       19.5900     18.0000      1.00000      0.00000
      0.00000      452428.7      444703.1      -0.0634778
      3.00000      460843.6      444703.1      -0.0548913
      6.00000      428068.6      444703.1      -0.1296362
      9.00000      471662.0      444703.1      -0.0485976
      12.00000      522570.1      444703.1      0.0464033
      15.00000      489573.2      444703.1      -0.0262266
      18.00000      539582.6      444703.1      0.0666906
      21.00000      582572.5      444703.1      0.1452913
      24.00000      576178.1      444703.1      0.1270537
      27.00000      527053.8      444703.1      0.0263436
      30.00000      530941.6      444703.1      0.0298049
      33.00000      567454.6      444703.1      0.0967880
      36.00000      508079.2      444703.1      -0.0209329
      39.00000      538810.1      444703.1      0.0356327
      42.00000      550688.4      444703.1      0.0562294
      45.00000      523449.4      444703.1      0.0022977
      48.00000      475158.0      444703.1      -0.0913189
      51.00000      526905.5      444703.1      0.0067786
      54.00000      532680.2      444703.1      0.0173416
      57.00000      550393.7      444703.1      0.0510879
      60.00000      510207.2      444703.1      -0.0253717
      63.00000      528027.2      444703.1      0.0093288
      66.00000      581827.8      444703.1      0.1132876
      69.00000      556430.8      444703.1      0.0661270
      72.00000      560921.9      444703.1      0.0765380
      75.00000      509950.0      444703.1      -0.0193274
      78.00000      469810.9      444703.1      -0.0944230
      81.00000      521748.6      444703.1      0.0083284
      84.00000      480032.1      444703.1      -0.0695816
      87.00000      440081.6      444703.1      -0.1442759
      90.00000      439704.7      444703.1      -0.1420227
      93.00000      483646.8      444703.1      -0.0527269
      96.00000      472750.5      444703.1      -0.0703368
      99.00000      435237.2      444703.1      -0.1404375
      102.00000      461163.0      444703.1      -0.0851048
      105.00000      434731.3      444703.1      -0.1334225
      108.00000      481984.0      444703.1      -0.0344176
      111.00000      477284.6      444703.1      -0.0388269
      114.00000      516349.8      444703.1      0.0455127
      117.00000      498507.1      444703.1      0.0150980
      120.00000      477122.6      444703.1      -0.0227526
      123.00000      473186.0      444703.1      -0.0249491
      126.00000      432999.4      444703.1      -0.1021932
      129.00000      505663.6      444703.1      0.0551958
      132.00000      491814.8      444703.1      0.0330480
      135.00000      471583.3      444703.1      -0.0027760
      138.00000      486869.2      444703.1      0.0366351
      141.00000      504666.6      444703.1      0.0820749
      144.00000      500453.0      444703.1      0.0807141
      147.00000      466080.5      444703.1      0.0138053
      150.00000      497887.3      444703.1      0.0909824
      153.00000      465013.6      444703.1      0.0265680
      156.00000      461549.7      444703.1      0.0266293
      159.00000      418994.2      444703.1      -0.0609058
      162.00000      461205.1      444703.1      0.0416674
      165.00000      442159.5      444703.1      0.0063997
      168.00000      457712.9      444703.1      0.0499261
      171.00000      415634.4      444703.1      -0.0391335
      174.00000      423337.1      444703.1      -0.0136519
      177.00000      397567.5      444703.1      -0.0664286
      180.00000      419898.1      444703.1      -0.0062712
      183.00000      428700.5      444703.1      0.0224770
      186.00000      405821.9      444703.1      -0.0245780
      189.00000      412792.6      444703.1      -0.0001800
      192.00000      426753.5      444703.1      0.0415220
      195.00000      422081.2      444703.1      0.0378877
      198.00000      431154.1      444703.1      0.0680815
      201.00000      420958.7      444703.1      0.0504516
      204.00000      425302.0      444703.1      0.0689029
      207.00000      412222.2      444703.1      0.0432982
      210.00000      424791.4      444703.1      0.0824632
      213.00000      427109.5      444703.1      0.0956028
      216.00000      434811.0      444703.1      0.1225322
      219.00000      422378.0      444703.1      0.0971946
      222.00000      412957.1      444703.1      0.0791024
      225.00000      411719.5      444703.1      0.0819751
      228.00000      398936.9      444703.1      0.0540286
      231.00000      387744.5      444703.1      0.0296550
      234.00000      397649.2      444703.1      0.0609649
      237.00000      382268.1      444703.1      0.0244058
      240.00000      385997.2      444703.1      0.0385580
      243.00000      374486.0      444703.1      0.0112437
      246.00000      367923.9      444703.1      -0.0032773
      249.00000      379282.6      444703.1      0.0303610
      252.00000      365698.7      444703.1      -0.0042142
      255.00000      361491.0      444703.1      -0.0138257
      258.00000      357322.5      444703.1      -0.0238419
      261.00000      338307.6      444703.1      -0.0749665
      264.00000      338307.6      444703.1      -0.0746237
      267.00000      340077.3      444703.1      -0.0699352
      270.00000      333505.6      444703.1      -0.0885579
      273.00000      328978.8      444703.1      -0.1020762
      276.00000      329611.6      444703.1      -0.1020148
      279.00000      324066.1      444703.1      -0.1192764
      282.00000      320981.5      444703.1      -0.1303094
      285.00000      323925.7      444703.1      -0.1255316
      288.00000      328499.5      444703.1      -0.1169631
      291.00000      320472.2      444703.1      -0.1427484
      294.00000      331371.7      444703.1      -0.1184783
      297.00000      350809.2      444703.1      -0.0725037
      300.00000      359042.2      444703.1      -0.0571710
      303.00000      370481.4      444703.1      -0.0343448
      306.00000      380174.0      444703.1      -0.0170572
      309.00000      399900.7      444703.1      0.0249689
      312.00000      414657.4      444703.1      0.0528934
      315.00000      413084.2      444703.1      0.0384740
      318.00000      433459.7      444703.1      0.0781912
      321.00000      433840.8      444703.1      0.0670836
      324.00000      432254.5      444703.1      0.0506623
      327.00000      444513.7      444703.1      0.0670946
      330.00000      448402.4      444703.1      0.0624856
      333.00000      467289.2      444703.1      0.0922611
      336.00000      468120.5      444703.1      0.0787921
      339.00000      442392.3      444703.1      0.0045849
      342.00000      460371.3      444703.1      0.0295613
      345.00000      459101.5      444703.1      0.0106250
      348.00000      466367.1      444703.1      0.0100108
      351.00000      466703.9      444703.1      -0.0060997
      354.00000      458470.7      444703.1      -0.0403561
      357.00000      471583.7      444703.1      -0.0302587
       4     120       19.5900     21.0000      1.00000      0.00000
      0.00000      439417.4      453209.7      -0.0585388
      3.00000      481213.4      453209.7      0.0226486
      6.00000      496410.5      453209.7      0.0469703
      9.00000      444833.9      453209.7      -0.0684036
      12.00000      445186.4      453209.7      -0.0737430
      15.00000      467179.1      453209.7      -0.0338431
      18.00000      493381.3      453209.7      0.0146794
      21.00000      472076.9      453209.7      -0.0340808
      24.00000      532719.9      453209.7      0.0849304
      27.00000      535289.9      453209.7      0.0855592
      30.00000      487831.2      453209.7      -0.0144564
      33.00000      527504.5      453209.7      0.0620591
      36.00000      552740.2      453209.7      0.1095035
      39.00000      499556.8      453209.7      0.0000945
      42.00000      480510.2      453209.7      -0.0402333
      45.00000      518342.8      453209.7      0.0333334
      48.00000      494714.3      453209.7      -0.0153385
      51.00000      514258.7      453209.7      0.0222742
      54.00000      514258.7      453209.7      0.0213170
      57.00000      478706.2      453209.7      -0.0498838
      60.00000      551166.6      453209.7      0.0935810
      63.00000      529436.0      453209.7      0.0504359
      66.00000      525511.4      453209.7      0.0429179
      69.00000      525511.4      453209.7      0.0434751
      72.00000      524650.8      453209.7      0.0426025
      75.00000      465352.3      453209.7      -0.0742543
      78.00000      490151.0      453209.7      -0.0236384
      81.00000      461133.6      453209.7      -0.0800069
      84.00000      487618.0      453209.7      -0.0254205
      87.00000      484356.0      453209.7      -0.0299783
      90.00000      491486.3      453209.7      -0.0134852
      93.00000      484206.6      453209.7      -0.0257031
      96.00000      465121.5      453209.7      -0.0616060
      99.00000      493269.6      453209.7      -0.0019599
