      20    2420    0     datakind beginning-row linenumbers
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
angle-resolved photoemission extended fine structure (ARPEFS)
experimental data for Fe 2p3/2 from Fe on STO(100)  excited with hv=1810eV

provided by Pancotti et al. (LNLS in 9, June 2010)
   initial angular momentum (l) = 1
   photon polarization angle (polar, azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K

   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      20     2420       1       20     121     2420
       1     121       19.5900     12.0000      1.00000      0.00000
      0.0000      325586.40      319062.50      -0.0514754
      3.0000      339399.90      319062.50      -0.0341525
      6.0000      344807.20      319062.50      -0.0156754
      9.0000      357484.00      319062.50      -0.0055337
      12.0000      362181.00      319062.50      0.0188725
      15.0000      366548.80      319062.50      0.0200106
      18.0000      377451.80      319062.50      0.0286845
      21.0000      388698.70      319062.50      0.0495041
      24.0000      389505.30      319062.50      0.0678032
      27.0000      379805.60      319062.50      0.0269503
      30.0000      379882.40      319062.50      0.0262681
      33.0000      382814.60      319062.50      0.0272908
      36.0000      370866.00      319062.50      0.0135280
      39.0000      370505.80      319062.50      -0.0092050
      42.0000      369677.70      319062.50      0.0059653
      45.0000      364104.80      319062.50      -0.0105763
      48.0000      372650.80      319062.50      -0.0054797
      51.0000      367848.80      319062.50      -0.0168243
      54.0000      375645.00      319062.50      -0.0054623
      57.0000      381548.70      319062.50      -0.0002603
      60.0000      393458.40      319062.50      0.0052777
      63.0000      400969.00      319062.50      0.0078388
      66.0000      406443.70      319062.50      0.2001880
      69.0000      408786.50      319062.50      0.0468255
      72.0000      415233.70      319062.50      0.0654959
      75.0000      406810.00      319062.50      0.0502572
      78.0000      403445.00      319062.50      0.0645329
      81.0000      394212.50      319062.50      0.0488766
      84.0000      392677.00      319062.50      0.0594443
      87.0000      377262.10      319062.50      0.0382841
      90.0000      377843.20      319062.50      0.0469004
      93.0000      374569.70      319062.50      0.0208930
      96.0000      361968.10      319062.50      0.0106714
      99.0000      350461.50      319062.50      -0.0141605
      102.0000      344708.40      319062.50      -0.0224431
      105.0000      335540.10      319062.50      -0.0388157
      108.0000      332627.60      319062.50      -0.0550325
      111.0000      336316.20      319062.50      -0.0451912
      114.0000      327392.20      319062.50      -0.0530593
      117.0000      334422.70      319062.50      -0.0433703
      120.0000      337457.70      319062.50      -0.0386997
      123.0000      334158.80      319062.50      -0.0536608
      126.0000      330121.80      319062.50      -0.0401209
      129.0000      327555.20      319062.50      -0.0359434
      132.0000      328253.60      319062.50      -0.0325183
      135.0000      330384.60      319062.50      -0.0376470
      138.0000      327751.00      319062.50      -0.0230184
      141.0000      326882.90      319062.50      -0.0219751
      144.0000      315540.80      319062.50      -0.0395364
      147.0000      315540.80      319062.50      -0.0337753
      150.0000      314262.30      319062.50      -0.0259761
      153.0000      315661.00      319062.50      -0.0187035
      156.0000      314533.70      319062.50      -0.0260700
      159.0000      305660.40      319062.50      -0.0341533
      162.0000      298904.30      319062.50      -0.0360873
      165.0000      304047.20      319062.50      -0.0141625
      168.0000      299486.00      319062.50      -0.0076406
      171.0000      299213.10      319062.50      -0.0044918
      174.0000      295417.70      319062.50      -0.0042082
      177.0000      300367.30      319062.50      0.0161016
      180.0000      299866.00      319062.50      -0.0514754
      183.0000      298436.10      319062.50      -0.0341524
      186.0000      304655.50      319062.50      -0.0156753
      189.0000      299780.60      319062.50      -0.0055337
      192.0000      309798.90      319062.50      0.0188725
      195.0000      306184.80      319062.50      0.0200106
      198.0000      301762.50      319062.50      0.0286845
      201.0000      304104.60      319062.50      0.0495041
      204.0000      312966.20      319062.50      0.0678032
      207.0000      295882.20      319062.50      0.0269503
      210.0000      294261.80      319062.50      0.0262681
      213.0000      291399.30      319062.50      0.0272908
      216.0000      291308.40      319062.50      0.0135280
      219.0000      277578.40      319062.50      -0.0092050
      222.0000      285269.10      319062.50      0.0059653
      225.0000      278844.50      319062.50      -0.0105763
      228.0000      274057.10      319062.50      -0.0054797
      231.0000      269972.30      319062.50      -0.0168243
      234.0000      269166.70      319062.50      -0.0054623
      237.0000      266381.50      319062.50      -0.0002603
      240.0000      259502.20      319062.50      0.0052776
      243.0000      254191.30      319062.50      0.0078388
      246.0000      351611.20      319062.50      0.2001880
      249.0000      266760.60      319062.50      0.0468255
      252.0000      270758.60      319062.50      0.0654959
      255.0000      267341.10      319062.50      0.0502572
      258.0000      276002.80      319062.50      0.0645329
      261.0000      273072.00      319062.50      0.0488766
      264.0000      278574.90      319062.50      0.0594443
      267.0000      277340.70      319062.50      0.0382841
      270.0000      280460.80      319062.50      0.0469004
      273.0000      268175.20      319062.50      0.0208930
      276.0000      271051.20      319062.50      0.0106714
      279.0000      265569.90      319062.50      -0.0141605
      282.0000      264767.30      319062.50      -0.0224431
      285.0000      262313.80      319062.50      -0.0388157
      288.0000      255418.30      319062.50      -0.0550325
      291.0000      257550.40      319062.50      -0.0451912
      294.0000      259827.20      319062.50      -0.0530593
      297.0000      259518.60      319062.50      -0.0433703
      300.0000      259613.80      319062.50      -0.0386997
      303.0000      254032.30      319062.50      -0.0536608
      306.0000      264744.30      319062.50      -0.0401209
      309.0000      269370.70      319062.50      -0.0359434
      312.0000      271097.40      319062.50      -0.0325183
      315.0000      266938.90      319062.50      -0.0376470
      318.0000      277998.50      319062.50      -0.0230184
      321.0000      280091.60      319062.50      -0.0219751
      324.0000      280689.60      319062.50      -0.0395365
      327.0000      285104.40      319062.50      -0.0337753
      330.0000      292062.00      319062.50      -0.0259762
      333.0000      296503.50      319062.50      -0.0187035
      336.0000      294621.60      319062.50      -0.0260700
      339.0000      299760.30      319062.50      -0.0341533
      342.0000      306987.70      319062.50      -0.0360873
      345.0000      317741.50      319062.50      -0.0141626
      348.0000      328847.10      319062.50      -0.0076406
      351.0000      333756.00      319062.50      -0.0044918
      354.0000      340751.80      319062.50      -0.0042082
      357.0000      351937.70      319062.50      0.0161016

       2     121       19.5900     15.0000      1.00000      0.00000
      0.0000      328711.70      296703.40      -0.1187176
      3.0000      336508.00      296703.40      -0.1010930
      6.0000      348417.20      296703.40      -0.0846855
      9.0000      359681.90      296703.40      -0.0670536
      12.0000      370336.20      296703.40      -0.0456623
      15.0000      385984.70      296703.40      -0.0267915
      18.0000      404567.20      296703.40      0.0220370
      21.0000      408552.30      296703.40      0.0454209
      24.0000      419810.50      296703.40      0.0552342
      27.0000      423371.80      296703.40      0.0695251
      30.0000      425376.30      296703.40      0.0782649
      33.0000      419412.60      296703.40      0.0764600
      36.0000      415888.90      296703.40      0.0741421
      39.0000      403498.70      296703.40      0.0551241
