      19    2299    0     datakind beginning-row linenumbers
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
angle-resolved photoemission extended fine structure (ARPEFS)
experimental data for Fe 2p3/2 from Fe on STO(100)  excited with hv=1810eV
provided by Pancotti et al. (LNLS in 9, June 2010)
   initial angular momentum (l) = 1
   photon polarization angle (polar, azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K
   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      19     2299       1       19     121     2299
       1     121       19.5900     15.0000      1.00000      0.00000
      20.0000      38678.30      35133.60      0.1008914
      23.0000      51439.10      35133.60      0.4640990
      26.0000      49436.80      35133.60      0.4071080
      29.0000      42510.10      35133.60      0.2099550
      32.0000      44017.60      35133.60      0.2528626
      35.0000      44271.10      35133.60      0.2600779
      38.0000      36448.00      35133.60      0.0374109
      41.0000      36026.80      35133.60      0.0254223
      44.0000      34484.00      35133.60      -0.0184900
      47.0000      33282.40      35133.60      -0.0526909
      50.0000      36005.80      35133.60      0.0248246
      53.0000      28143.40      35133.60      -0.1989610
      56.0000      32542.70      35133.60      -0.0737448
      59.0000      37066.80      35133.60      0.0550236
      62.0000      36652.40      35133.60      0.0432287
      65.0000      33827.90      35133.60      -0.0371644
      68.0000      32674.20      35133.60      -0.0700019
      71.0000      27180.30      35133.60      -0.2263735
      74.0000      28304.30      35133.60      -0.1943814
      77.0000      34646.40      35133.60      -0.0138677
      80.0000      30364.30      35133.60      -0.1357481
      83.0000      30454.00      35133.60      -0.1331949
      86.0000      29060.00      35133.60      -0.1728720
      89.0000      26447.50      35133.60      -0.2472310
      92.0000      23174.70      35133.60      -0.3403840
      95.0000      32988.30      35133.60      -0.0610618
      98.0000      27746.20      35133.60      -0.2102664
      101.0000      31024.40      35133.60      -0.1169598
      104.0000      39156.40      35133.60      0.1144994
      107.0000      37144.20      35133.60      0.0572266
      110.0000      36980.60      35133.60      0.0525701
      113.0000      36312.70      35133.60      0.0335599
      116.0000      36451.00      35133.60      0.0374963
      119.0000      39174.20      35133.60      0.1150061
      122.0000      36828.70      35133.60      0.0482466
      125.0000      36648.60      35133.60      0.0431205
      128.0000      32761.10      35133.60      -0.0675285
      131.0000      25605.90      35133.60      -0.2711853
      134.0000      25928.90      35133.60      -0.2619918
      137.0000      28097.30      35133.60      -0.2002731
      140.0000      24706.10      35133.60      -0.2967961
      143.0000      32939.50      35133.60      -0.0624507
      146.0000      33433.10      35133.60      -0.0484015
      149.0000      35620.20      35133.60      0.0138494
      152.0000      31439.40      35133.60      -0.1051477
      155.0000      31430.00      35133.60      -0.1054153
      158.0000      31040.50      35133.60      -0.1165015
      161.0000      30764.80      35133.60      -0.1243487
      164.0000      32075.50      35133.60      -0.0870426
      167.0000      24774.50      35133.60      -0.2948492
      170.0000      39833.90      35133.60      0.1337829
      173.0000      38804.10      35133.60      0.1044720
      176.0000      20842.00      35133.60      -0.4067790
      179.0000      29826.70      35133.60      -0.1510496
      182.0000      39586.00      35133.60      0.1267270
      185.0000      30573.80      35133.60      -0.1297851
      188.0000      33142.50      35133.60      -0.0566728
      191.0000      35672.40      35133.60      0.0153351
      194.0000      32222.90      35133.60      -0.0828472
      197.0000      34401.10      35133.60      -0.0208496
      200.0000      35719.90      35133.60      0.0166871
      203.0000      28529.60      35133.60      -0.1879687
      206.0000      46103.30      35133.60      0.3122274
      209.0000      38035.80      35133.60      0.0826040
      212.0000      35039.50      35133.60      -0.0026789
      215.0000      37249.20      35133.60      0.0602152
