      19    2299    0     datakind beginning-row linenumbers
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
angle-resolved photoemission extended fine structure (ARPEFS)
experimental data for Fe 2p3/2 from Fe on STO(100)  excited with hv=1810eV
provided by Pancotti et al. (LNLS in 9, June 2010)
   initial angular momentum (l) = 1
   photon polarization angle (polar, azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K
   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      19     2299       1       19     121     2299
       1     121       19.5900     15.0000      1.00000      0.00000
      0.0000      40285.30      36944.60      0.0526856
      3.0000      47163.90      36944.60      0.0691212
      6.0000      45024.40      36944.60      0.1683619
      9.0000      44993.30      36944.60      0.0760367
      12.0000      42540.80      36944.60      0.0527334
      15.0000      48381.10      36944.60      0.1552355
      18.0000      43152.90      36944.60      0.0999139
      21.0000      39211.60      36944.60      0.0971964
      24.0000      37336.80      36944.60      -0.0186584
      27.0000      35473.80      36944.60      0.0237158
      30.0000      41623.90      36944.60      0.0298126
      33.0000      35237.30      36944.60      -0.0275568
      36.0000      35876.50      36944.60      0.0334253
      39.0000      35594.50      36944.60      -0.0410218
      42.0000      39443.00      36944.60      0.0587069
      45.0000      39046.30      36944.60      0.0408118
      48.0000      32842.40      36944.60      -0.0374132
      51.0000      33038.00      36944.60      -0.0419950
      54.0000      31484.10      36944.60      -0.0627869
      57.0000      36571.90      36944.60      -0.0100603
      60.0000      30008.40      36944.60      -0.1552618
      63.0000      30370.80      36944.60      -0.1112659
      66.0000      32897.50      36944.60      -0.0265861
      69.0000      24559.10      36944.60      -0.2014401
      72.0000      29720.00      36944.60      -0.1159480
      75.0000      33517.40      36944.60      -0.0913381
      78.0000      31139.00      36944.60      -0.1008764
      81.0000      33172.70      36944.60      -0.0018429
      84.0000      39090.30      36944.60      0.0521428
      87.0000      40418.10      36944.60      0.1711507
      90.0000      40208.90      36944.60      0.1027209
      93.0000      35629.50      36944.60      0.0354650
      96.0000      37481.80      36944.60      0.0648184
      99.0000      37565.60      36944.60      0.0859496
      102.0000      37028.20      36944.60      -0.0064520
      105.0000      40075.10      36944.60      0.1415854
      108.0000      35286.30      36944.60      0.0527036
      111.0000      27173.30      36944.60      -0.0290579
      114.0000      29863.90      36944.60      -0.0396597
      117.0000      23208.30      36944.60      -0.2049488
      120.0000      26109.40      36944.60      -0.2462574
      123.0000      31183.90      36944.60      -0.0380890
      126.0000      32258.80      36944.60      0.0151039
      129.0000      33112.40      36944.60      -0.0454585
      132.0000      32718.10      36944.60      -0.0900822
      135.0000      31612.90      36944.60      -0.0877152
      138.0000      32556.20      36944.60      -0.0488465
      141.0000      37158.00      36944.60      -0.0261930
      144.0000      33928.60      36944.60      0.0063370
      147.0000      30401.30      36944.60      -0.0763828
      150.0000      41332.30      36944.60      0.1137396
      153.0000      39922.10      36944.60      0.0998035
      156.0000      34678.80      36944.60      -0.0334588
      159.0000      30337.80      36944.60      -0.1343852
      162.0000      36549.50      36944.60      0.0483969
      165.0000      31864.40      36944.60      -0.0972842
      168.0000      34197.40      36944.60      0.0318510
      171.0000      35592.20      36944.60      0.0690116
      174.0000      33075.60      36944.60      -0.0585801
      177.0000      41930.80      36944.60      0.2601480
      180.0000      42884.70      36944.60      0.0526856
      183.0000      37967.30      36944.60      0.0691212
      186.0000      46631.50      36944.60      0.1683619
      189.0000      39537.10      36944.60      0.0760367
      192.0000      39629.90      36944.60      0.0527334
      195.0000      41572.80      36944.60      0.1552355
