      20    2400    0     datakind beginning-row linenumbers
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
angle-resolved photoemission extended fine structure (ARPEFS)
experimental data for Fe 2p3/2 from Fe on STO(100)  excited with hv=1810eV
provided by Pancotti et al. (LNLS in 9, June 2010)
   intial angular momentum (l) = 1
   photon polarization angle (polar,azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K
   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      20     2400       1       20     120     2400
       1     120       19.5900     12.2000      1.00000      0.00000
      0.00000      39051.50      36356.40      0.074129
      3.00000      36723.10      36356.40      0.010084
      6.00000      38633.10      36356.40      0.062621
      9.00000      39744.90      36356.40      0.093202
      12.00000      39854.80      36356.40      0.096224
      15.00000      38655.20      36356.40      0.063229
      18.00000      37538.60      36356.40      0.032516
      21.00000      38172.50      36356.40      0.049953
      24.00000      37165.90      36356.40      0.022264
      27.00000      37547.80      36356.40      0.032770
      30.00000      37203.60      36356.40      0.023302
      33.00000      38170.70      36356.40      0.049904
      36.00000      37286.70      36356.40      0.025587
      39.00000      36599.30      36356.40      0.006680
      42.00000      35345.00      36356.40      -0.027819
      45.00000      35559.60      36356.40      -0.021918
      48.00000      34400.60      36356.40      -0.053796
      51.00000      34376.70      36356.40      -0.054454
      54.00000      35577.90      36356.40      -0.021413
      57.00000      35412.00      36356.40      -0.025978
      60.00000      34585.00      36356.40      -0.048723
      63.00000      34644.50      36356.40      -0.047087
      66.00000      34256.30      36356.40      -0.057766
      69.00000      33325.20      36356.40      -0.083375
      72.00000      35037.30      36356.40      -0.036284
      75.00000      36271.70      36356.40      -0.002330
      78.00000      36926.40      36356.40      0.015679
      81.00000      36642.90      36356.40      0.007880
      84.00000      37873.70      36356.40      0.041734
      87.00000      37150.60      36356.40      0.021844
      90.00000      37707.60      36356.40      0.037166
      93.00000      37150.60      36356.40      0.021844
      96.00000      37873.70      36356.40      0.041734
      99.00000      36642.90      36356.40      0.007880
      102.00000      36926.40      36356.40      0.015679
      105.00000      36271.70      36356.40      -0.002330
      108.00000      35037.30      36356.40      -0.036284
      111.00000      33325.20      36356.40      -0.083375
      114.00000      34256.30      36356.40      -0.057766
      117.00000      34644.50      36356.40      -0.047087
      120.00000      34585.00      36356.40      -0.048723
      123.00000      35412.00      36356.40      -0.025978
      126.00000      35577.90      36356.40      -0.021413
      129.00000      34376.70      36356.40      -0.054454
      132.00000      34400.60      36356.40      -0.053796
      135.00000      35559.60      36356.40      -0.021918
      138.00000      35345.00      36356.40      -0.027819
      141.00000      36599.30      36356.40      0.006680
      144.00000      37286.70      36356.40      0.025587
      147.00000      38170.70      36356.40      0.049904
      150.00000      37203.60      36356.40      0.023302
      153.00000      37547.80      36356.40      0.032770
      156.00000      37165.90      36356.40      0.022264
      159.00000      38172.50      36356.40      0.049953
      162.00000      37538.60      36356.40      0.032516
      165.00000      38655.20      36356.40      0.063229
      168.00000      39854.80      36356.40      0.096224
      171.00000      39744.90      36356.40      0.093202
      174.00000      38633.10      36356.40      0.062621
      177.00000      36723.10      36356.40      0.010084
      180.00000      39051.50      36356.40      0.074129
      183.00000      36723.10      36356.40      0.010084
      186.00000      38633.10      36356.40      0.062621
      189.00000      39744.90      36356.40      0.093202
      192.00000      39854.80      36356.40      0.096224
      195.00000      38655.20      36356.40      0.063229
      198.00000      37538.60      36356.40      0.032516
      201.00000      38172.50      36356.40      0.049953
      204.00000      37165.90      36356.40      0.022264
      207.00000      37547.80      36356.40      0.032770
      210.00000      37203.60      36356.40      0.023302
      213.00000      38170.70      36356.40      0.049904
      216.00000      37286.70      36356.40      0.025587
      219.00000      36599.30      36356.40      0.006680
      222.00000      35345.00      36356.40      -0.027819
      225.00000      35559.60      36356.40      -0.021918
      228.00000      34400.60      36356.40      -0.053796
      231.00000      34376.70      36356.40      -0.054454
      234.00000      35577.90      36356.40      -0.021413
      237.00000      35412.00      36356.40      -0.025978
      240.00000      34585.00      36356.40      -0.048723
      243.00000      34644.50      36356.40      -0.047087
      246.00000      34256.30      36356.40      -0.057766
      249.00000      33325.20      36356.40      -0.083375
      252.00000      35037.30      36356.40      -0.036284
      255.00000      36271.70      36356.40      -0.002330
      258.00000      36926.40      36356.40      0.015679
      261.00000      36642.90      36356.40      0.007880
      264.00000      37873.70      36356.40      0.041734
      267.00000      37150.60      36356.40      0.021844
      270.00000      37707.60      36356.40      0.037166
      273.00000      37150.60      36356.40      0.021844
      276.00000      37873.70      36356.40      0.041734
      279.00000      36642.90      36356.40      0.007880
      282.00000      36926.40      36356.40      0.015679
      285.00000      36271.70      36356.40      -0.002330
      288.00000      35037.30      36356.40      -0.036284
      291.00000      33325.20      36356.40      -0.083375
      294.00000      34256.30      36356.40      -0.057766
      297.00000      34644.50      36356.40      -0.047087
      300.00000      34585.00      36356.40      -0.048723
      303.00000      35412.00      36356.40      -0.025978
      306.00000      35577.90      36356.40      -0.021413
      309.00000      34376.70      36356.40      -0.054454
      312.00000      34400.60      36356.40      -0.053796
      315.00000      35559.60      36356.40      -0.021918
      318.00000      35345.00      36356.40      -0.027819
      321.00000      36599.30      36356.40      0.006680
      324.00000      37286.70      36356.40      0.025587
      327.00000      38170.70      36356.40      0.049904
      330.00000      37203.60      36356.40      0.023302
      333.00000      37547.80      36356.40      0.032770
      336.00000      37165.90      36356.40      0.022264
      339.00000      38172.50      36356.40      0.049953
      342.00000      37538.60      36356.40      0.032516
      345.00000      38655.20      36356.40      0.063229
      348.00000      39854.80      36356.40      0.096224
      351.00000      39744.90      36356.40      0.093202
      354.00000      38633.10      36356.40      0.062621
      357.00000      36723.10      36356.40      0.010084
      360.00000      39051.50      36356.40      0.074129
       2     120       19.5900     15.2000      1.00000      0.00000
      0.00000      37403.70      34729.10      0.077011
      3.00000      38948.70      34729.10      0.121499
      6.00000      39239.50      34729.10      0.129873
      9.00000      39226.60      34729.10      0.129501
      12.00000      39311.40      34729.10      0.131944
      15.00000      37959.90      34729.10      0.093028
      18.00000      36970.70      34729.10      0.064544
      21.00000      35894.20      34729.10      0.033548
      24.00000      35174.60      34729.10      0.012827
      27.00000      34005.60      34729.10      -0.020832
      30.00000      33774.40      34729.10      -0.027491
      33.00000      33713.70      34729.10      -0.029239
      36.00000      34218.30      34729.10      -0.014710
      39.00000      34567.00      34729.10      -0.004669
      42.00000      34853.00      34729.10      0.003565
      45.00000      34579.60      34729.10      -0.004305
      48.00000      34355.80      34729.10      -0.010749
      51.00000      33764.80      34729.10      -0.027767
      54.00000      32506.20      34729.10      -0.064007
      57.00000      31740.50      34729.10      -0.086055
      60.00000      31998.10      34729.10      -0.078639
      63.00000      31549.30      34729.10      -0.091560
      66.00000      31052.80      34729.10      -0.105858
      69.00000      31585.80      34729.10      -0.090510
      72.00000      31851.90      34729.10      -0.082848
      75.00000      31483.00      34729.10      -0.093469
      78.00000      33136.20      34729.10      -0.045868
      81.00000      35098.70      34729.10      0.010642
      84.00000      36060.80      34729.10      0.038346
      87.00000      37179.30      34729.10      0.070551
      90.00000      37951.60      34729.10      0.092789
      93.00000      37179.30      34729.10      0.070551
      96.00000      36060.80      34729.10      0.038346
      99.00000      35098.70      34729.10      0.010642
      102.00000      33136.20      34729.10      -0.045868
      105.00000      31483.00      34729.10      -0.093469
      108.00000      31851.90      34729.10      -0.082848
      111.00000      31585.80      34729.10      -0.090510
      114.00000      31052.80      34729.10      -0.105858
      117.00000      31549.30      34729.10      -0.091560
      120.00000      31998.10      34729.10      -0.078639
      123.00000      31740.50      34729.10      -0.086055
      126.00000      32506.20      34729.10      -0.064007
      129.00000      33764.80      34729.10      -0.027767
      132.00000      34355.80      34729.10      -0.010749
      135.00000      34579.60      34729.10      -0.004305
      138.00000      34853.00      34729.10      0.003565
      141.00000      34567.00      34729.10      -0.004669
      144.00000      34218.30      34729.10      -0.014710
      147.00000      33713.70      34729.10      -0.029239
      150.00000      33774.40      34729.10      -0.027491
      153.00000      34005.60      34729.10      -0.020832
      156.00000      35174.60      34729.10      0.012827
      159.00000      35894.20      34729.10      0.033548
      162.00000      36970.70      34729.10      0.064544
      165.00000      37959.90      34729.10      0.093028
      168.00000      39311.40      34729.10      0.131944
      171.00000      39226.60      34729.10      0.129501
      174.00000      39239.50      34729.10      0.129873
      177.00000      38948.70      34729.10      0.121499
      180.00000      37403.70      34729.10      0.077011
      183.00000      38948.70      34729.10      0.121499
      186.00000      39239.50      34729.10      0.129873
      189.00000      39226.60      34729.10      0.129501
      192.00000      39311.40      34729.10      0.131944
      195.00000      37959.90      34729.10      0.093028
      198.00000      36970.70      34729.10      0.064544
      201.00000      35894.20      34729.10      0.033548
      204.00000      35174.60      34729.10      0.012827
      207.00000      34005.60      34729.10      -0.020832
      210.00000      33774.40      34729.10      -0.027491
      213.00000      33713.70      34729.10      -0.029239
      216.00000      34218.30      34729.10      -0.014710
      219.00000      34567.00      34729.10      -0.004669
      222.00000      34853.00      34729.10      0.003565
      225.00000      34579.60      34729.10      -0.004305
      228.00000      34355.80      34729.10      -0.010749
      231.00000      33764.80      34729.10      -0.027767
      234.00000      32506.20      34729.10      -0.064007
      237.00000      31740.50      34729.10      -0.086055
      240.00000      31998.10      34729.10      -0.078639
      243.00000      31549.30      34729.10      -0.091560
      246.00000      31052.80      34729.10      -0.105858
      249.00000      31585.80      34729.10      -0.090510
      252.00000      31851.90      34729.10      -0.082848
      255.00000      31483.00      34729.10      -0.093469
      258.00000      33136.20      34729.10      -0.045868
      261.00000      35098.70      34729.10      0.010642
      264.00000      36060.80      34729.10      0.038346
      267.00000      37179.30      34729.10      0.070551
      270.00000      37951.60      34729.10      0.092789
      273.00000      37179.30      34729.10      0.070551
      276.00000      36060.80      34729.10      0.038346
      279.00000      35098.70      34729.10      0.010642
      282.00000      33136.20      34729.10      -0.045868
      285.00000      31483.00      34729.10      -0.093469
      288.00000      31851.90      34729.10      -0.082848
      291.00000      31585.80      34729.10      -0.090510
      294.00000      31052.80      34729.10      -0.105858
      297.00000      31549.30      34729.10      -0.091560
      300.00000      31998.10      34729.10      -0.078639
      303.00000      31740.50      34729.10      -0.086055
      306.00000      32506.20      34729.10      -0.064007
      309.00000      33764.80      34729.10      -0.027767
      312.00000      34355.80      34729.10      -0.010749
      315.00000      34579.60      34729.10      -0.004305
      318.00000      34853.00      34729.10      0.003565
      321.00000      34567.00      34729.10      -0.004669
      324.00000      34218.30      34729.10      -0.014710
      327.00000      33713.70      34729.10      -0.029239
      330.00000      33774.40      34729.10      -0.027491
      333.00000      34005.60      34729.10      -0.020832
      336.00000      35174.60      34729.10      0.012827
      339.00000      35894.20      34729.10      0.033548
      342.00000      36970.70      34729.10      0.064544
      345.00000      37959.90      34729.10      0.093028
      348.00000      39311.40      34729.10      0.131944
      351.00000      39226.60      34729.10      0.129501
      354.00000      39239.50      34729.10      0.129873
      357.00000      38948.70      34729.10      0.121499
      360.00000      37403.70      34729.10      0.077011
       3     120       19.5900     18.2000      1.00000      0.00000
      0.00000      48627.90      40841.50      0.190650
      3.00000      44206.80      40841.50      0.082399
      6.00000      47921.30      40841.50      0.173349
      9.00000      47539.80      40841.50      0.164006
      12.00000      45577.00      40841.50      0.115948
      15.00000      44872.20      40841.50      0.098692
      18.00000      45432.70      40841.50      0.112415
      21.00000      44680.00      40841.50      0.093986
      24.00000      42689.40      40841.50      0.045246
      27.00000      42100.60      40841.50      0.030828
      30.00000      41181.60      40841.50      0.008327
      33.00000      39489.10      40841.50      -0.033113
      36.00000      39597.70      40841.50      -0.030454
      39.00000      40855.70      40841.50      0.000348
      42.00000      42851.90      40841.50      0.049226
      45.00000      41022.30      40841.50      0.004427
      48.00000      42338.20      40841.50      0.036646
      51.00000      41178.60      40841.50      0.008255
      54.00000      39879.00      40841.50      -0.023567
      57.00000      37467.60      40841.50      -0.082609
      60.00000      37791.60      40841.50      -0.074676
      63.00000      36361.50      40841.50      -0.109692
      66.00000      36209.00      40841.50      -0.113426
      69.00000      34962.20      40841.50      -0.143954
      72.00000      35262.10      40841.50      -0.136612
      75.00000      36036.10      40841.50      -0.117660
      78.00000      36369.30      40841.50      -0.109502
      81.00000      37475.90      40841.50      -0.082405
      84.00000      39799.20      40841.50      -0.025520
      87.00000      40206.70      40841.50      -0.015543
      90.00000      40938.40      40841.50      0.002373
      93.00000      40206.70      40841.50      -0.015543
      96.00000      39799.20      40841.50      -0.025520
      99.00000      37475.90      40841.50      -0.082405
      102.00000      36369.30      40841.50      -0.109502
      105.00000      36036.10      40841.50      -0.117660
      108.00000      35262.10      40841.50      -0.136612
      111.00000      34962.20      40841.50      -0.143954
      114.00000      36209.00      40841.50      -0.113426
      117.00000      36361.50      40841.50      -0.109692
      120.00000      37791.60      40841.50      -0.074676
      123.00000      37467.60      40841.50      -0.082609
      126.00000      39879.00      40841.50      -0.023567
      129.00000      41178.60      40841.50      0.008255
      132.00000      42338.20      40841.50      0.036646
      135.00000      41022.30      40841.50      0.004427
      138.00000      42851.90      40841.50      0.049226
      141.00000      40855.70      40841.50      0.000348
      144.00000      39597.70      40841.50      -0.030454
      147.00000      39489.10      40841.50      -0.033113
      150.00000      41181.60      40841.50      0.008327
      153.00000      42100.60      40841.50      0.030828
      156.00000      42689.40      40841.50      0.045246
      159.00000      44680.00      40841.50      0.093986
      162.00000      45432.70      40841.50      0.112415
      165.00000      44872.20      40841.50      0.098692
      168.00000      45577.00      40841.50      0.115948
      171.00000      47539.80      40841.50      0.164006
      174.00000      47921.30      40841.50      0.173349
      177.00000      44206.80      40841.50      0.082399
      180.00000      48627.90      40841.50      0.190650
      183.00000      44206.80      40841.50      0.082399
      186.00000      47921.30      40841.50      0.173349
      189.00000      47539.80      40841.50      0.164006
      192.00000      45577.00      40841.50      0.115948
      195.00000      44872.20      40841.50      0.098692
      198.00000      45432.70      40841.50      0.112415
      201.00000      44680.00      40841.50      0.093986
      204.00000      42689.40      40841.50      0.045246
      207.00000      42100.60      40841.50      0.030828
      210.00000      41181.60      40841.50      0.008327
      213.00000      39489.10      40841.50      -0.033113
      216.00000      39597.70      40841.50      -0.030454
      219.00000      40855.70      40841.50      0.000348
      222.00000      42851.90      40841.50      0.049226
      225.00000      41022.30      40841.50      0.004427
      228.00000      42338.20      40841.50      0.036646
      231.00000      41178.60      40841.50      0.008255
      234.00000      39879.00      40841.50      -0.023567
      237.00000      37467.60      40841.50      -0.082609
      240.00000      37791.60      40841.50      -0.074676
      243.00000      36361.50      40841.50      -0.109692
      246.00000      36209.00      40841.50      -0.113426
      249.00000      34962.20      40841.50      -0.143954
      252.00000      35262.10      40841.50      -0.136612
      255.00000      36036.10      40841.50      -0.117660
      258.00000      36369.30      40841.50      -0.109502
      261.00000      37475.90      40841.50      -0.082405
      264.00000      39799.20      40841.50      -0.025520
      267.00000      40206.70      40841.50      -0.015543
      270.00000      40938.40      40841.50      0.002373
      273.00000      40206.70      40841.50      -0.015543
      276.00000      39799.20      40841.50      -0.025520
      279.00000      37475.90      40841.50      -0.082405
      282.00000      36369.30      40841.50      -0.109502
      285.00000      36036.10      40841.50      -0.117660
      288.00000      35262.10      40841.50      -0.136612
      291.00000      34962.20      40841.50      -0.143954
      294.00000      36209.00      40841.50      -0.113426
      297.00000      36361.50      40841.50      -0.109692
      300.00000      37791.60      40841.50      -0.074676
      303.00000      37467.60      40841.50      -0.082609
      306.00000      39879.00      40841.50      -0.023567
      309.00000      41178.60      40841.50      0.008255
      312.00000      42338.20      40841.50      0.036646
      315.00000      41022.30      40841.50      0.004427
      318.00000      42851.90      40841.50      0.049226
      321.00000      40855.70      40841.50      0.000348
      324.00000      39597.70      40841.50      -0.030454
      327.00000      39489.10      40841.50      -0.033113
      330.00000      41181.60      40841.50      0.008327
      333.00000      42100.60      40841.50      0.030828
      336.00000      42689.40      40841.50      0.045246
      339.00000      44680.00      40841.50      0.093986
      342.00000      45432.70      40841.50      0.112415
      345.00000      44872.20      40841.50      0.098692
      348.00000      45577.00      40841.50      0.115948
      351.00000      47539.80      40841.50      0.164006
      354.00000      47921.30      40841.50      0.173349
      357.00000      44206.80      40841.50      0.082399
      360.00000      48627.90      40841.50      0.190650
       4     120       19.5900     21.2000      1.00000      0.00000
      0.00000      52344.50      44706.70      0.170844
      3.00000      50309.30      44706.70      0.125321
      6.00000      49513.60      44706.70      0.107523
      9.00000      48308.90      44706.70      0.080575
      12.00000      49047.90      44706.70      0.097104
      15.00000      47833.70      44706.70      0.069946
      18.00000      46956.40      44706.70      0.050323
      21.00000      45139.20      44706.70      0.009674
      24.00000      43791.50      44706.70      -0.020470
      27.00000      42112.80      44706.70      -0.058020
      30.00000      41818.70      44706.70      -0.064598
      33.00000      42387.20      44706.70      -0.051881
      36.00000      44282.30      44706.70      -0.009491
      39.00000      43551.30      44706.70      -0.025843
      42.00000      43644.20      44706.70      -0.023766
      45.00000      43598.10      44706.70      -0.024796
      48.00000      43347.00      44706.70      -0.030412
      51.00000      44131.50      44706.70      -0.012866
      54.00000      47354.20      44706.70      0.059221
      57.00000      48755.10      44706.70      0.090555
      60.00000      47311.60      44706.70      0.058268
      63.00000      44957.40      44706.70      0.005609
      66.00000      43929.60      44706.70      -0.017382
      69.00000      41211.30      44706.70      -0.078184
      72.00000      38808.70      44706.70      -0.131925
      75.00000      38618.90      44706.70      -0.136171
      78.00000      40054.50      44706.70      -0.104059
      81.00000      41152.00      44706.70      -0.079511
      84.00000      40880.70      44706.70      -0.085579
      87.00000      45088.80      44706.70      0.008548
      90.00000      47324.30      44706.70      0.058551
      93.00000      45088.80      44706.70      0.008548
      96.00000      40880.70      44706.70      -0.085579
      99.00000      41152.00      44706.70      -0.079511
      102.00000      40054.50      44706.70      -0.104059
      105.00000      38618.90      44706.70      -0.136171
      108.00000      38808.70      44706.70      -0.131925
      111.00000      41211.30      44706.70      -0.078184
      114.00000      43929.60      44706.70      -0.017382
      117.00000      44957.40      44706.70      0.005609
      120.00000      47311.60      44706.70      0.058268
      123.00000      48755.10      44706.70      0.090555
      126.00000      47354.20      44706.70      0.059221
      129.00000      44131.50      44706.70      -0.012866
      132.00000      43347.00      44706.70      -0.030412
      135.00000      43598.10      44706.70      -0.024796
      138.00000      43644.20      44706.70      -0.023766
      141.00000      43551.30      44706.70      -0.025843
      144.00000      44282.30      44706.70      -0.009491
