 theta   phi  intensity
  12.0   0.0    39594.8
  12.0   3.0    39429.0
  12.0   6.0    36840.6
  12.0   9.0    52979.6
  12.0  12.0    38789.6
  12.0  15.0    43232.4
  12.0  18.0    39508.5
  12.0  21.0    36493.3
  12.0  24.0    25699.3
  12.0  27.0    41075.1
  12.0  30.0    36045.6
  12.0  33.0    41022.3
  12.0  36.0    29813.0
  12.0  39.0    41037.4
  12.0  42.0    42071.1
  12.0  45.0    29620.5
  12.0  48.0    33537.8
  12.0  51.0    28820.5
  12.0  54.0    29856.6
  12.0  57.0    33895.0
  12.0  60.0    42005.6
  12.0  63.0    34765.6
  12.0  66.0    35509.7
  12.0  69.0    33892.6
  12.0  72.0    34674.1
  12.0  75.0    38234.3
  12.0  78.0    42866.0
  12.0  81.0    34647.3
  12.0  84.0    35229.6
  12.0  87.0    36557.3
  12.0  90.0    47732.9
  12.0  93.0    36013.1
  12.0  96.0    43344.2
  12.0  99.0    31588.9
  12.0 102.0    44435.9
  12.0 105.0    35051.4
  12.0 108.0    29403.3
  12.0 111.0    42408.4
  12.0 114.0    38533.2
  12.0 117.0    38774.2
  12.0 120.0    33136.7
  12.0 123.0    40903.5
  12.0 126.0    40010.8
  12.0 129.0    36909.4
  12.0 132.0    33659.6
  12.0 135.0    28525.0
  12.0 138.0    29164.4
  12.0 141.0    35635.0
  12.0 144.0    42835.0
  12.0 147.0    42835.0
  12.0 150.0    42745.0
  12.0 153.0    39913.3
  12.0 156.0    47594.2
  12.0 159.0    37801.6
  12.0 162.0    40223.6
  12.0 165.0    41526.4
  12.0 168.0    42056.5
  12.0 171.0    35807.5
  12.0 174.0    38573.0
  12.0 177.0    50810.2
  12.0 180.0    42966.1
  12.0 183.0    47509.4
  12.0 186.0    49813.8
  12.0 189.0    47730.0
  12.0 192.0    41412.2
  12.0 195.0    40134.7
  12.0 198.0    41906.4
  12.0 201.0    48065.8
  12.0 204.0    43253.6
  12.0 207.0    50989.8
  12.0 210.0    44195.2
  12.0 213.0    52723.6
  12.0 216.0    40652.8
  12.0 219.0    47768.6
  12.0 222.0    47285.1
  12.0 225.0    43779.5
  12.0 228.0    48553.8
  12.0 231.0    42150.7
  12.0 234.0    50580.5
  12.0 237.0    50332.5
  12.0 240.0    51579.0
  12.0 243.0    45577.8
