 theta   phi  intensity
  12.0   0.0    36184.2
  12.0   3.0    30300.6
  12.0   6.0    37858.4
  12.0   9.0    39730.1
  12.0  12.0    33151.7
  12.0  15.0    39047.6
  12.0  18.0    29653.3
  12.0  21.0    30718.2
  12.0  24.0    27733.8
  12.0  27.0    35698.9
  12.0  30.0    34590.4
  12.0  33.0    33884.4
  12.0  36.0    29135.7
  12.0  39.0    34407.3
  12.0  42.0    33492.7
  12.0  45.0    27468.1
  12.0  48.0    28017.2
  12.0  51.0    27755.6
  12.0  54.0    28268.4
  12.0  57.0    29894.5
  12.0  60.0    33201.3
  12.0  63.0    27398.8
  12.0  66.0    26535.1
  12.0  69.0    28278.8
  12.0  72.0    30619.2
  12.0  75.0    31763.3
  12.0  78.0    33950.9
  12.0  81.0    35215.7
  12.0  84.0    31936.0
  12.0  87.0    28650.7
  12.0  90.0    36171.3
  12.0  93.0    33591.5
  12.0  96.0    37278.6
  12.0  99.0    29508.3
  12.0 102.0    35801.5
  12.0 105.0    28917.5
  12.0 108.0    24678.4
  12.0 111.0    33858.2
  12.0 114.0    33392.8
  12.0 117.0    26944.9
  12.0 120.0    33568.5
  12.0 123.0    31181.8
  12.0 126.0    28636.6
  12.0 129.0    36104.4
  12.0 132.0    27283.0
  12.0 135.0    28133.7
  12.0 138.0    29096.8
  12.0 141.0    30199.6
  12.0 144.0    34909.1
  12.0 147.0    34909.1
  12.0 150.0    33119.6
  12.0 153.0    35641.1
  12.0 156.0    38514.0
  12.0 159.0    35587.2
  12.0 162.0    38733.8
  12.0 165.0    37570.6
  12.0 168.0    34599.1
  12.0 171.0    35373.7
  12.0 174.0    40421.3
  12.0 177.0    46777.0
  12.0 180.0    40718.0
  12.0 183.0    40359.8
  12.0 186.0    42458.0
  12.0 189.0    40057.3
  12.0 192.0    39556.7
  12.0 195.0    43377.8
  12.0 198.0    39712.6
  12.0 201.0    40478.2
  12.0 204.0    40321.9
  12.0 207.0    42169.4
  12.0 210.0    38466.5
  12.0 213.0    42727.7
  12.0 216.0    39572.6
  12.0 219.0    40437.9
  12.0 222.0    38204.4
  12.0 225.0    39226.6
  12.0 228.0    38197.9
  12.0 231.0    41791.6
  12.0 234.0    37947.8
  12.0 237.0    40347.9
  12.0 240.0    43999.2
  12.0 243.0    36729.8
  12.0 246.0    40520.4
  12.0 249.0    38929.2
  12.0 252.0    38569.5
  12.0 255.0    39587.8
  12.0 258.0    42523.5
  12.0 261.0    40876.3
  12.0 264.0    42408.4
  12.0 267.0    36689.0
  12.0 270.0    45556.2
  12.0 273.0    39366.3
  12.0 276.0    40472.9
  12.0 279.0    41402.1
  12.0 282.0    42300.3
  12.0 285.0    38006.6
  12.0 288.0    43347.5
  12.0 291.0    42830.4
  12.0 294.0    40927.6
  12.0 297.0    38481.2
  12.0 300.0    39997.5
  12.0 303.0    38571.2
  12.0 306.0    40323.7
  12.0 309.0    42792.4
  12.0 312.0    47251.9
  12.0 315.0    40312.9
  12.0 318.0    39103.1
  12.0 321.0    37293.6
  12.0 324.0    39932.8
  12.0 327.0    31953.0
  12.0 330.0    37893.6
  12.0 333.0    38400.7
  12.0 336.0    41232.1
  12.0 339.0    35441.3
  12.0 342.0    40005.9
  12.0 345.0    42245.2
  12.0 348.0    40858.0
  12.0 351.0    34710.8
  12.0 354.0    39084.2
  12.0 357.0    38234.7
  15.0   0.0    39626.0
  15.0   3.0    43510.2
  15.0   6.0    45045.7
  15.0   9.0    41531.7
  15.0  12.0    41133.9
  15.0  15.0    43203.9
  15.0  18.0    39269.1
  15.0  21.0    35804.5
  15.0  24.0    33728.0
  15.0  27.0    31731.0
  15.0  30.0    36965.9
  15.0  33.0    31463.8
  15.0  36.0    32576.1
  15.0  39.0    33728.3
  15.0  42.0    34622.0
  15.0  45.0    35766.3
  15.0  48.0    32450.4
  15.0  51.0    29967.7
  15.0  54.0    28686.9
  15.0  57.0    32730.7
  15.0  60.0    26448.8
  15.0  63.0    29173.9
  15.0  66.0    29913.5
  15.0  69.0    26541.5
  15.0  72.0    26598.8
  15.0  75.0    30948.4
  15.0  78.0    28591.9
  15.0  81.0    30413.8
  15.0  84.0    36049.1
  15.0  87.0    37767.4
  15.0  90.0    34232.0
  15.0  93.0    34695.3
  15.0  96.0    34337.0
  15.0  99.0    35281.6
  15.0 102.0    35305.1
  15.0 105.0    35162.5
  15.0 108.0    32588.0
  15.0 111.0    26271.6
  15.0 114.0    28596.9
  15.0 117.0    24242.1
  15.0 120.0    25007.5
  15.0 123.0    30706.7
