      20    2400    0     datakind beginning-row linenumbers
----------------------------------------------------------------
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
angle-resolved photoemission extended fine structure (ARPEFS)
experimental data for Fe 2p3/2 from Fe on STO(100)  excited with hv=1810eV

provided by Pancotti et al. (LNLS in 9, June 2010)
   intial angular momentum (l) = 1
   photon polarization angle (polar,azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K

   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      20     2400       1       20     120     2400
       1     120       19.5900     12.0000      1.00000      0.00000
      0.00000      36173.4      36411.3      0.0560838
      3.00000      30293.6      36411.3      -0.0578487
      6.00000      37855.8      36411.3      0.1153873
      9.00000      39728.3      36411.3      0.1383857
      12.00000      33138.7      36411.3      0.0053059
      15.00000      39044.8      36411.3      0.1625669
      18.00000      29643.0      36411.3      -0.0581649
      21.00000      30705.9      36411.3      -0.0266860
      24.00000      27722.7      36411.3      -0.0879583
      27.00000      35696.5      36411.3      0.0982999
      30.00000      34588.8      36411.3      0.0477154
      33.00000      33877.8      36411.3      0.0692330
      36.00000      29123.2      36411.3      -0.0564266
      39.00000      34404.5      36411.3      0.0662850
      42.00000      33489.0      36411.3      0.0303384
      45.00000      27438.0      36411.3      -0.0925593
      48.00000      28004.8      36411.3      -0.0876555
      51.00000      27752.0      36411.3      -0.0647067
      54.00000      28266.5      36411.3      -0.0832877
      57.00000      29893.8      36411.3      -0.0287927
      60.00000      33200.8      36411.3      0.0720694
      63.00000      27390.4      36411.3      -0.1127784
      66.00000      26506.4      36411.3      -0.1039029
      69.00000      28264.4      36411.3      -0.0781398
      72.00000      30616.5      36411.3      -0.0300675
      75.00000      31757.3      36411.3      0.0015264
      78.00000      33951.2      36411.3      0.0706200
      81.00000      35214.7      36411.3      0.0840438
      84.00000      31925.3      36411.3      0.0214446
      87.00000      28636.5      36411.3      -0.0960143
      90.00000      36170.3      36411.3      0.1335542
      93.00000      33587.7      36411.3      0.0279028
      96.00000      37278.2      36411.3      0.1136693
      99.00000      29499.1      36411.3      -0.0501972
      102.00000      35800.1      36411.3      0.0897368
      105.00000      28909.9      36411.3      -0.0934059
      108.00000      24649.2      36411.3      -0.1462298
      111.00000      33854.1      36411.3      0.0431894
      114.00000      33387.3      36411.3      0.0159155
      117.00000      26908.2      36411.3      -0.1417994
      120.00000      33564.9      36411.3      0.0066340
      123.00000      31170.8      36411.3      -0.0570627
      126.00000      28616.7      36411.3      -0.0988873
      129.00000      36103.5      36411.3      0.0718004
      132.00000      27277.4      36411.3      -0.0768263
      135.00000      28115.6      36411.3      -0.1154838
      138.00000      29079.0      36411.3      -0.1073828
      141.00000      30191.2      36411.3      -0.1011685
      144.00000      34904.9      36411.3      0.0117004
      147.00000      34904.9      36411.3      -0.0541559
      150.00000      33112.6      36411.3      -0.0443137
      153.00000      35634.6      36411.3      0.0073361
      156.00000      38509.0      36411.3      0.0844524
      159.00000      35582.7      36411.3      -0.0216327
      162.00000      38732.5      36411.3      0.0752874
      165.00000      37565.3      36411.3      0.0705841
      168.00000      34586.8      36411.3      0.0017916
      171.00000      35354.4      36411.3      -0.0367938
      174.00000      40419.3      36411.3      0.0955051
      177.00000      46773.1      36411.3      0.2058058
      180.00000      40708.1      36411.3      0.0786708
      183.00000      40353.4      36411.3      0.0172520
      186.00000      42455.0      36411.3      0.1238709
      189.00000      40043.8      36411.3      0.0964867
      192.00000      39547.7      36411.3      0.0245813
      195.00000      43371.2      36411.3      0.1478188
      198.00000      39700.4      36411.3      -0.0090561
      201.00000      40470.2      36411.3      0.0130965
      204.00000      40316.2      36411.3      -0.0204303
      207.00000      42165.7      36411.3      0.0881330
      210.00000      38457.5      36411.3      0.0109497
      213.00000      42724.4      36411.3      0.0763912
      216.00000      39568.9      36411.3      -0.0273165
      219.00000      40433.4      36411.3      0.0385288
      222.00000      38202.4      36411.3      -0.0105408
      225.00000      39213.8      36411.3      -0.0560438
      228.00000      38183.3      36411.3      -0.0696984
      231.00000      41788.2      36411.3      -0.0132858
      234.00000      37932.5      36411.3      -0.0749392
      237.00000      40344.6      36411.3      -0.0197775
      240.00000      43996.4      36411.3      0.0729859
      243.00000      36716.4      36411.3      -0.1095166
      246.00000      40507.6      36411.3      -0.0573443
      249.00000      38920.9      36411.3      -0.0674996
      252.00000      38559.9      36411.3      -0.0512009
      255.00000      39578.3      36411.3      -0.0244988
      258.00000      42518.0      36411.3      0.0444536
      261.00000      40870.3      36411.3      0.0284818
      264.00000      42405.4      36411.3      0.0186140
      267.00000      36667.2      36411.3      -0.1101459
      270.00000      45553.2      36411.3      0.1098817
      273.00000      39354.6      36411.3      -0.0189427
      276.00000      40458.4      36411.3      0.0347826
      279.00000      41397.5      36411.3      -0.0288056
      282.00000      42298.7      36411.3      0.0476906
      285.00000      37996.0      36411.3      -0.0919074
      288.00000      43341.1      36411.3      -0.0468787
      291.00000      42824.6      36411.3      0.0348182
      294.00000      40919.9      36411.3      -0.0013914
      297.00000      38466.8      36411.3      -0.1048857
      300.00000      39982.9      36411.3      -0.0152854
      303.00000      38543.8      36411.3      -0.0619056
      306.00000      40312.3      36411.3      -0.0563769
      309.00000      42787.6      36411.3      0.0570383
      312.00000      47251.5      36411.3      0.0496363
      315.00000      40306.0      36411.3      -0.0572691
      318.00000      39093.0      36411.3      -0.0668768
      321.00000      37288.3      36411.3      -0.0851879
      324.00000      39928.9      36411.3      0.0056838
      327.00000      31953.0      36411.3      -0.1293269
      330.00000      37884.9      36411.3      -0.0405159
      333.00000      38395.2      36411.3      -0.0055225
      336.00000      41229.7      36411.3      0.0739955
      339.00000      35419.9      36411.3      -0.0512597
      342.00000      40002.3      36411.3      0.0632599
      345.00000      42243.5      36411.3      0.0990675
      348.00000      40856.6      36411.3      0.0539588
      351.00000      34699.2      36411.3      -0.0469690
      354.00000      39075.4      36411.3      0.0854783
      357.00000      38227.7      36411.3      0.1315325
       2     120       19.5900     15.0000      1.00000      0.00000
      0.00000      39622.1      34521.8      0.0235730
      3.00000      43505.1      34521.8      0.0562603
      6.00000      45044.5      34521.8      0.1899595
      9.00000      41526.9      34521.8      0.0812295
      12.00000      41131.7      34521.8      0.0788487
      15.00000      43202.4      34521.8      0.1219560
      18.00000      39265.0      34521.8      0.0717911
      21.00000      35794.0      34521.8      0.0245103
      24.00000      33716.2      34521.8      -0.0505049
      27.00000      31720.1      34521.8      -0.0612485
      30.00000      36963.3      34521.8      0.0198360
      33.00000      31457.8      34521.8      -0.0668015
      36.00000      32572.3      34521.8      -0.0055552
      39.00000      33722.3      34521.8      -0.0335762
      42.00000      34619.8      34521.8      0.0323000
      45.00000      35764.8      34521.8      0.0346671
      48.00000      32445.1      34521.8      -0.0196328
      51.00000      29963.4      34521.8      -0.0499946
      54.00000      28684.1      34521.8      -0.0876204
      57.00000      32727.5      34521.8      -0.0102948
      60.00000      26441.2      34521.8      -0.1601484
      63.00000      29159.8      34521.8      -0.1037015
      66.00000      29912.3      34521.8      -0.0332688
      69.00000      26532.1      34521.8      -0.1539766
      72.00000      26588.0      34521.8      -0.1427408
      75.00000      30946.7      34521.8      -0.0539632
      78.00000      28576.0      34521.8      -0.0894915
      81.00000      30405.8      34521.8      -0.0243366
      84.00000      36046.0      34521.8      0.0808755
      87.00000      37764.2      34521.8      0.1762239
      90.00000      34227.5      34521.8      0.0736061
      93.00000      34691.7      34521.8      0.0818178
      96.00000      34333.5      34521.8      0.0896881
      99.00000      35276.4      34521.8      0.1110534
      102.00000      35305.0      34521.8      0.0580037
      105.00000      35159.3      34521.8      0.1324127
      108.00000      32585.3      34521.8      0.0321297
      111.00000      26256.5      34521.8      -0.0899911
      114.00000      28594.5      34521.8      -0.0496513
      117.00000      24232.1      34521.8      -0.1978971
      120.00000      24974.9      34521.8      -0.2164877
      123.00000      30702.9      34521.8      -0.0238284
      126.00000      32222.8      34521.8      0.0222868
      129.00000      31313.1      34521.8      -0.0292585
      132.00000      31585.0      34521.8      -0.0170123
      135.00000      29326.2      34521.8      -0.0825315
      138.00000      30938.8      34521.8      -0.0296850
      141.00000      32984.7      34521.8      -0.0087644
      144.00000      30746.4      34521.8      -0.0268065
      147.00000      26708.6      34521.8      -0.1435973
      150.00000      37746.4      34521.8      0.1176821
      153.00000      35589.8      34521.8      0.0870408
      156.00000      28518.8      34521.8      -0.1157816
      159.00000      29085.5      34521.8      -0.1092766
      162.00000      37164.4      34521.8      0.1096614
      165.00000      30452.8      34521.8      -0.0772565
      168.00000      31567.3      34521.8      0.0101368
      171.00000      33410.6      34521.8      0.0435898
      174.00000      33443.2      34521.8      0.0188411
      177.00000      37758.1      34521.8      0.1852396
      180.00000      38089.0      34521.8      0.0807636
      183.00000      33568.2      34521.8      0.0212028
      186.00000      44052.0      34521.8      0.2461684
      189.00000      37959.8      34521.8      0.0967980
      192.00000      37522.4      34521.8      0.0860408
      195.00000      37216.7      34521.8      0.0984519
      198.00000      38660.7      34521.8      0.0949822
      201.00000      39707.0      34521.8      0.0865420
      204.00000      34990.9      34521.8      -0.0233834
      207.00000      37330.7      34521.8      0.0050667
      210.00000      34514.3      34521.8      -0.0028636
      213.00000      36072.6      34521.8      -0.0215032
      216.00000      39929.5      34521.8      0.0627900
      219.00000      33612.8      34521.8      -0.0476459
      222.00000      38455.9      34521.8      0.0533958
      225.00000      35514.8      34521.8      0.0083906
      228.00000      36465.9      34521.8      -0.0044906
      231.00000      38349.3      34521.8      0.0074986
      234.00000      36655.6      34521.8      -0.0368114
      237.00000      35470.9      34521.8      -0.0202430
      240.00000      32984.1      34521.8      -0.1275707
      243.00000      32564.1      34521.8      -0.1089933
      246.00000      38586.4      34521.8      0.0102621
      249.00000      32627.4      34521.8      -0.1336884
      252.00000      33560.8      34521.8      -0.1159656
      255.00000      32737.3      34521.8      -0.0878440
      258.00000      34348.5      34521.8      -0.0817455
      261.00000      37150.5      34521.8      -0.0118503
      264.00000      34902.5      34521.8      0.0036390
      267.00000      41532.5      34521.8      0.1428888
      270.00000      38380.2      34521.8      0.0495945
      273.00000      38023.2      34521.8      0.0480166
      276.00000      39776.6      34521.8      0.0768616
      279.00000      39777.1      34521.8      0.0868496
      282.00000      33384.8      34521.8      -0.0295730
      285.00000      42502.2      34521.8      0.1368197
      288.00000      37323.9      34521.8      0.0163571
      291.00000      39285.0      34521.8      -0.0108759
      294.00000      37999.6      34521.8      -0.0098065
      297.00000      31829.1      34521.8      -0.1667511
      300.00000      27778.0      34521.8      -0.2331529
      303.00000      35702.3      34521.8      -0.0270693
      306.00000      37261.1      34521.8      0.0189075
      309.00000      33638.2      34521.8      -0.0561292
      312.00000      34434.2      34521.8      -0.0365514
      315.00000      32577.7      34521.8      -0.0919687
      318.00000      34699.3      34521.8      -0.0332994
      321.00000      32150.1      34521.8      -0.0589305
      324.00000      35582.6      34521.8      -0.0123287
      327.00000      32166.5      34521.8      -0.1146137
      330.00000      35187.2      34521.8      0.0560796
      333.00000      36902.8      34521.8      0.0727572
      336.00000      31025.5      34521.8      -0.1076842
      339.00000      30436.1      34521.8      -0.1094725
      342.00000      35821.5      34521.8      0.0820400
      345.00000      30771.0      34521.8      -0.0793954
      348.00000      37467.5      34521.8      0.0753819
      351.00000      36864.6      34521.8      0.0883223
      354.00000      34121.7      34521.8      0.0390627
      357.00000      41886.6      34521.8      0.2549087
       3     120       19.5900     18.0000      1.00000      0.00000
      0.00000      49672.0      40830.7      0.1791252
      3.00000      41365.8      40830.7      0.0871756
      6.00000      55562.8      40830.7      0.2226150
      9.00000      46719.5      40830.7      0.1071763
      12.00000      36682.4      40830.7      0.0144056
      15.00000      51406.4      40830.7      0.1977227
      18.00000      35514.7      40830.7      -0.0487440
      21.00000      53248.7      40830.7      0.2172821
      24.00000      40974.5      40830.7      0.1135983
      27.00000      35967.6      40830.7      -0.0371086
      30.00000      38290.8      40830.7      -0.0073616
      33.00000      29843.8      40830.7      -0.1647829
      36.00000      41550.0      40830.7      0.0580656
      39.00000      32189.3      40830.7      -0.0937674
      42.00000      38686.3      40830.7      0.0067343
      45.00000      48821.7      40830.7      0.1896483
      48.00000      47774.6      40830.7      0.1811833
      51.00000      23800.9      40830.7      -0.2543540
      54.00000      40348.8      40830.7      0.0815857
      57.00000      25885.3      40830.7      -0.1990858
      60.00000      30236.3      40830.7      -0.1036127
      63.00000      27559.4      40830.7      -0.1690565
      66.00000      28925.5      40830.7      -0.1844868
      69.00000      29882.8      40830.7      -0.1285097
      72.00000      31762.3      40830.7      -0.1392819
      75.00000      27005.2      40830.7      -0.2052654
      78.00000      28925.6      40830.7      -0.1396221
      81.00000      30633.1      40830.7      -0.1108851
      84.00000      34463.5      40830.7      -0.0378892
      87.00000      39459.1      40830.7      0.0370492
      90.00000      42046.5      40830.7      0.1133598
      93.00000      31062.5      40830.7      -0.0947358
      96.00000      42034.7      40830.7      0.1000960
      99.00000      39374.5      40830.7      0.0423741
      102.00000      45431.0      40830.7      0.1722467
      105.00000      33796.0      40830.7      -0.0657375
      108.00000      41864.5      40830.7      0.1130446
      111.00000      29581.1      40830.7      -0.1420801
      114.00000      33944.5      40830.7      -0.0759295
      117.00000      35177.2      40830.7      -0.0582223
      120.00000      31110.2      40830.7      -0.1465644
      123.00000      39717.9      40830.7      0.0203786
      126.00000      35299.5      40830.7      -0.0464160
      129.00000      30367.8      40830.7      -0.1284393
      132.00000      39886.5      40830.7      0.0285428
      135.00000      38003.0      40830.7      0.0001081
      138.00000      39031.7      40830.7      0.0274369
      141.00000      38569.0      40830.7      -0.0214157
      144.00000      53205.9      40830.7      0.2568865
      147.00000      33791.8      40830.7      -0.1231250
      150.00000      41114.1      40830.7      0.0218010
      153.00000      36932.6      40830.7      -0.0204275
      156.00000      32988.0      40830.7      -0.1250641
      159.00000      32845.0      40830.7      -0.1000359
      162.00000      31341.0      40830.7      -0.1317928
      165.00000      45821.1      40830.7      0.1176109
      168.00000      35367.7      40830.7      -0.0424307
      171.00000      36882.2      40830.7      -0.0297676
      174.00000      45079.1      40830.7      0.1314997
      177.00000      42296.5      40830.7      0.1298900
      180.00000      53858.9      40830.7      0.2531567
      183.00000      57587.3      40830.7      0.2552980
      186.00000      45056.4      40830.7      0.1506674
      189.00000      47178.4      40830.7      0.1214120
      192.00000      55426.3      40830.7      0.1811153
      195.00000      46872.3      40830.7      0.1525564
      198.00000      48170.6      40830.7      0.0519014
      201.00000      43076.2      40830.7      0.1071567
      204.00000      56207.0      40830.7      0.2215479
      207.00000      46708.9      40830.7      0.0294471
      210.00000      44622.5      40830.7      0.0143143
      213.00000      42715.6      40830.7      -0.0847388
      216.00000      44380.4      40830.7      0.0363068
      219.00000      45859.4      40830.7      -0.0181623
      222.00000      43116.9      40830.7      -0.0076812
      225.00000      42429.2      40830.7      0.0662900
      228.00000      43244.3      40830.7      0.0702206
      231.00000      43384.1      40830.7      -0.1313268
      234.00000      47408.4      40830.7      0.0705042
      237.00000      45345.7      40830.7      -0.0858417
      240.00000      47189.2      40830.7      -0.0213551
      243.00000      44817.6      40830.7      -0.0814935
      246.00000      38782.7      40830.7      -0.1618048
      249.00000      44069.3      40830.7      -0.0742833
      252.00000      37292.5      40830.7      -0.1606068
      255.00000      40671.4      40830.7      -0.1519553
      258.00000      44820.6      40830.7      -0.0733796
      261.00000      44247.7      40830.7      -0.0675037
      264.00000      44247.7      40830.7      -0.0342531
      267.00000      41341.0      40830.7      -0.0341534
      270.00000      45292.2      40830.7      0.0474686
      273.00000      45481.0      40830.7      -0.0464450
      276.00000      43582.3      40830.7      0.0214531
      279.00000      42667.0      40830.7      -0.0156132
      282.00000      45003.7      40830.7      0.0725354
      285.00000      42592.3      40830.7      -0.0651199
      288.00000      46579.9      40830.7      0.0656591
      291.00000      43312.8      40830.7      -0.0897122
      294.00000      41210.6      40830.7      -0.0827346
      297.00000      40632.5      40830.7      -0.0798839
      300.00000      39027.7      40830.7      -0.1381584
      303.00000      40244.1      40830.7      -0.0444529
      306.00000      42569.1      40830.7      -0.0449936
      309.00000      43956.7      40830.7      -0.0634100
      312.00000      41689.0      40830.7      -0.0155428
      315.00000      42726.6      40830.7      -0.0127732
      318.00000      44109.9      40830.7      0.0205281
      321.00000      38750.5      40830.7      -0.0648207
      324.00000      41110.3      40830.7      0.0972931
      327.00000      36883.3      40830.7      -0.1274171
      330.00000      39000.2      40830.7      -0.0290165
      333.00000      43297.8      40830.7      0.0119831
      336.00000      38691.2      40830.7      -0.0904982
      339.00000      42224.8      40830.7      -0.0264326
      342.00000      41406.6      40830.7      -0.0451570
      345.00000      41271.0      40830.7      0.0755759
      348.00000      43613.9      40830.7      0.0417000
      351.00000      41801.0      40830.7      0.0313020
      354.00000      44295.5      40830.7      0.1505489
      357.00000      49413.3      40830.7      0.2343342
       4     120       19.5900     21.0000      1.00000      0.00000
      0.00000      58164.4      44711.2      0.2128483
      3.00000      53668.6      44711.2      0.1500920
      6.00000      51764.8      44711.2      0.1413428
      9.00000      46646.6      44711.2      0.0927090
      12.00000      38753.3      44711.2      -0.0694963
      15.00000      42496.5      44711.2      0.0140980
      18.00000      49183.8      44711.2      0.1670120
      21.00000      47633.3      44711.2      0.0668790
      24.00000      39371.2      44711.2      -0.0238969
      27.00000      24905.6      44711.2      -0.3064775
      30.00000      32079.5      44711.2      -0.1593886
      33.00000      33019.0      44711.2      -0.0935821
      36.00000      44637.8      44711.2      0.0464139
      39.00000      42206.9      44711.2      0.0939623
      42.00000      36275.9      44711.2      -0.0626659
      45.00000      29795.1      44711.2      -0.1821654
      48.00000      42379.5      44711.2      0.0490807
      51.00000      40313.1      44711.2      0.0244997
      54.00000      40313.1      44711.2      0.0474351
      57.00000      35610.9      44711.2      -0.0130438
      60.00000      39188.6      44711.2      0.1125879
      63.00000      51438.1      44711.2      0.2259596
      66.00000      26562.3      44711.2      -0.1800994
      69.00000      26562.3      44711.2      -0.2267656
      72.00000      25552.0      44711.2      -0.1637173
      75.00000      29667.4      44711.2      -0.1633638
      78.00000      43024.3      44711.2      0.0186728
      81.00000      30102.3      44711.2      -0.1657312
      84.00000      36608.5      44711.2      -0.0350085
      87.00000      41656.0      44711.2      0.0513795
      90.00000      29593.2      44711.2      -0.1850181
      93.00000      60807.0      44711.2      0.4808151
      96.00000      45951.0      44711.2      0.1477283
