      20    2420    0     datakind beginning-row linenumbers
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
angle-resolved photoemission extended fine structure (ARPEFS)
experimental data for Fe 2p3/2 from Fe on STO(100)  excited with hv=1810eV

provided by Pancotti et al. (LNLS in 9, June 2010)
   initial angular momentum (l) = 1
   photon polarization angle (polar, azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K

   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      20     2420       1       20     121     2420
       1     121       19.5900     12.0000      1.00000      0.00000
      0.0000      33569.90      32632.50      0.0844342
      3.0000      28791.00      32632.50      0.0088646
      6.0000      33937.00      32632.50      0.1192071
      9.0000      34338.70      32632.50      0.0918286
      12.0000      30623.30      32632.50      0.0203263
      15.0000      34575.90      32632.50      0.1284417
      18.0000      29067.30      32632.50      0.0074300
      21.0000      28741.10      32632.50      0.0249571
      24.0000      25939.00      32632.50      -0.0400069
      27.0000      30568.50      32632.50      0.0448728
      30.0000      30783.10      32632.50      0.0393469
      33.0000      29734.70      32632.50      0.0631684
      36.0000      26594.20      32632.50      -0.0617963
      39.0000      29247.60      32632.50      0.0234525
      42.0000      29234.00      32632.50      -0.0017451
      45.0000      25050.30      32632.50      -0.0574444
      48.0000      26108.30      32632.50      -0.0459905
      51.0000      24209.00      32632.50      -0.0546455
      54.0000      25349.00      32632.50      -0.0778372
      57.0000      25994.20      32632.50      -0.0436616
      60.0000      27479.80      32632.50      0.0126180
      63.0000      24739.50      32632.50      -0.0996229
      66.0000      24205.20      32632.50      -0.0663053
      69.0000      26319.30      32632.50      -0.0439556
      72.0000      26652.20      32632.50      -0.0523024
      75.0000      29017.90      32632.50      -0.0035681
      78.0000      29287.50      32632.50      0.0459776
      81.0000      32037.20      32632.50      0.0666541
      84.0000      28130.40      32632.50      0.0087626
      87.0000      27085.10      32632.50      -0.0757146
      90.0000      31307.50      32632.50      0.0889236
      93.0000      29239.50      32632.50      -0.0011834
      96.0000      32265.50      32632.50      0.0607634
      99.0000      26164.40      32632.50      -0.0408966
      102.0000      30586.00      32632.50      0.0318431
      105.0000      26359.10      32632.50      -0.0753484
      108.0000      22452.40      32632.50      -0.0850213
      111.0000      30529.90      32632.50      0.0444355
      114.0000      29598.70      32632.50      -0.0060207
      117.0000      25565.80      32632.50      -0.0881899
      120.0000      29121.70      32632.50      -0.0156824
      123.0000      28704.00      32632.50      -0.0285139
      126.0000      26654.00      32632.50      -0.0653623
      129.0000      30929.70      32632.50      0.0449667
      132.0000      24797.20      32632.50      -0.0270576
      135.0000      24867.30      32632.50      -0.0873865
      138.0000      26596.80      32632.50      -0.0783838
      141.0000      26917.80      32632.50      -0.0907122
      144.0000      32183.70      32632.50      0.0257706
      147.0000      32183.70      32632.50      -0.0949411
      150.0000      30144.60      32632.50      -0.0241322
      153.0000      32057.10      32632.50      -0.0025965
      156.0000      35033.30      32632.50      0.0768226
      159.0000      33187.80      32632.50      0.0017660
      162.0000      33379.90      32632.50      0.0465478
      165.0000      32762.80      32632.50      0.0727580
      168.0000      31769.70      32632.50      0.0354922
      171.0000      31670.60      32632.50      -0.0411739
      174.0000      34527.70      32632.50      0.0781494
      177.0000      41133.50      32632.50      0.1668521
      180.0000      36844.60      32632.50      0.0844342
      183.0000      36708.60      32632.50      0.0088646
      186.0000      38425.80      32632.50      0.1192071
      189.0000      35969.60      32632.50      0.0918286
      192.0000      35101.10      32632.50      0.0203263
      195.0000      37876.80      32632.50      0.1284417
      198.0000      35775.30      32632.50      0.0074301
      201.0000      37289.40      32632.50      0.0249571
      204.0000      36035.10      32632.50      -0.0400070
      207.0000      36367.10      32632.50      0.0448728
      210.0000      35653.80      32632.50      0.0393469
      213.0000      38581.10      32632.50      0.0631684
      216.0000      33585.50      32632.50      -0.0617963
      219.0000      36324.60      32632.50      0.0234525
      222.0000      34525.50      32632.50      -0.0017451
      225.0000      35877.30      32632.50      -0.0574444
      228.0000      35374.00      32632.50      -0.0459905
      231.0000      37260.30      32632.50      -0.0546455
      234.0000      34130.00      32632.50      -0.0778372
      237.0000      35840.50      32632.50      -0.0436616
      240.0000      38080.40      32632.50      0.0126180
      243.0000      33524.30      32632.50      -0.0996229
      246.0000      36786.10      32632.50      -0.0663053
      249.0000      35703.40      32632.50      -0.0439556
      252.0000      34731.50      32632.50      -0.0523024
      255.0000      35283.90      32632.50      -0.0035681
      258.0000      38738.00      32632.50      0.0459777
      261.0000      36703.60      32632.50      0.0666542
      264.0000      37759.50      32632.50      0.0087626
      267.0000      32950.40      32632.50      -0.0757146
      270.0000      39772.70      32632.50      0.0889236
      273.0000      35913.60      32632.50      -0.0011834
      276.0000      36664.90      32632.50      0.0607634
      279.0000      37290.10      32632.50      -0.0408966
      282.0000      37015.40      32632.50      0.0318431
      285.0000      34676.60      32632.50      -0.0753483
      288.0000      39182.00      32632.50      -0.0850213
      291.0000      38430.90      32632.50      0.0444355
      294.0000      35985.00      32632.50      -0.0060207
      297.0000      35146.60      32632.50      -0.0881899
      300.0000      36086.40      32632.50      -0.0156824
      303.0000      35751.00      32632.50      -0.0285139
      306.0000      35667.80      32632.50      -0.0653623
      309.0000      38534.60      32632.50      0.0449667
      312.0000      40821.60      32632.50      -0.0270576
      315.0000      36324.40      32632.50      -0.0873865
      318.0000      34892.30      32632.50      -0.0783838
      321.0000      33614.20      32632.50      -0.0907122
      324.0000      35779.60      32632.50      0.0257706
      327.0000      27203.30      32632.50      -0.0949411
      330.0000      34523.90      32632.50      -0.0241322
      333.0000      33826.50      32632.50      -0.0025965
      336.0000      35978.90      32632.50      0.0768226
      339.0000      32738.50      32632.50      0.0017660
      342.0000      35465.50      32632.50      0.0465478
      345.0000      37705.30      32632.50      0.0727580
      348.0000      36032.40      32632.50      0.0354922
      351.0000      30877.40      32632.50      -0.0411739
      354.0000      35551.90      32632.50      0.0781494
      357.0000      34534.00      32632.50      0.1668521

       2     121       19.5900     15.0000      1.00000      0.00000
      0.0000      37134.90      31061.30      0.0732460
      3.0000      37485.80      31061.30      0.0304875
      6.0000      38739.00      31061.30      0.1729656
      9.0000      37531.10      31061.30      0.0966734
      12.0000      35236.90      31061.30      0.0793694
      15.0000      38048.00      31061.30      0.1200239
      18.0000      35923.50      31061.30      0.0984437
      21.0000      32427.20      31061.30      0.0715387
      24.0000      30747.80      31061.30      -0.0308979
      27.0000      29200.20      31061.30      -0.0309556
      30.0000      32969.30      31061.30      0.0056247
      33.0000      28938.10      31061.30      -0.0278752
      36.0000      30538.10      31061.30      0.0365867
      39.0000      29420.10      31061.30      -0.0663480
