      20    2400    0     datakind beginning-row linenumbers
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
angle-resolved photoemission extended fine structure (ARPEFS)
experimental data for Fe 2p3/2 from Fe on STO(100)  excited with hv=1810eV
provided by Pancotti et al. (LNLS in 9, June 2010)
   intial angular momentum (l) = 1
   photon polarization angle (polar,azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K
   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      20     2400       1       20     120     2400
       1     120       19.5900     12.0000      1.00000      0.00000
      0.00000      34900.9      36419.5      -0.0416979
      3.00000      34524.9      36419.5      -0.0520212
      6.00000      34170.2      36419.5      -0.0617591
      9.00000      33836.5      36419.5      -0.0709218
      12.00000      33523.4      36419.5      -0.0795199
      15.00000      33230.4      36419.5      -0.0875639
      18.00000      32957.3      36419.5      -0.0950640
      21.00000      32703.6      36419.5      -0.1020308
      24.00000      32468.9      36419.5      -0.1084747
      27.00000      32252.9      36419.5      -0.1144061
      30.00000      32055.1      36419.5      -0.1198356
      33.00000      31875.3      36419.5      -0.1247734
      36.00000      31713.0      36419.5      -0.1292300
      39.00000      31567.8      36419.5      -0.1332160
      42.00000      31439.4      36419.5      -0.1367416
      45.00000      31327.4      36419.5      -0.1398174
      48.00000      31231.4      36419.5      -0.1424538
      51.00000      31151.0      36419.5      -0.1446612
      54.00000      31085.8      36419.5      -0.1464500
      57.00000      31035.6      36419.5      -0.1478307
      60.00000      30999.8      36419.5      -0.1488138
      63.00000      30978.1      36419.5      -0.1494096
      66.00000      30970.1      36419.5      -0.1496287
      69.00000      30975.4      36419.5      -0.1494813
      72.00000      30993.8      36419.5      -0.1489780
      75.00000      31024.7      36419.5      -0.1481293
      78.00000      31067.8      36419.5      -0.1469454
      81.00000      31122.7      36419.5      -0.1454370
      84.00000      31189.1      36419.5      -0.1436143
      87.00000      31266.6      36419.5      -0.1414879
      90.00000      31354.7      36419.5      -0.1390682
      93.00000      31453.1      36419.5      -0.1363655
      96.00000      31561.5      36419.5      -0.1333905
      99.00000      31679.4      36419.5      -0.1301534
      102.00000      31806.4      36419.5      -0.1266647
      105.00000      31942.3      36419.5      -0.1229349
      108.00000      32086.5      36419.5      -0.1189744
      111.00000      32238.8      36419.5      -0.1147937
      114.00000      32398.7      36419.5      -0.1104031
      117.00000      32565.8      36419.5      -0.1058131
      120.00000      32739.9      36419.5      -0.1010341
      123.00000      32920.4      36419.5      -0.0960766
      126.00000      33107.1      36419.5      -0.0909510
      129.00000      33299.5      36419.5      -0.0856677
      132.00000      33497.3      36419.5      -0.0802372
      135.00000      33700.0      36419.5      -0.0746700
      138.00000      33907.4      36419.5      -0.0689764
      141.00000      34119.0      36419.5      -0.0631668
      144.00000      34334.4      36419.5      -0.0572518
      147.00000      34553.3      36419.5      -0.0512418
      150.00000      34775.2      36419.5      -0.0451471
      153.00000      34999.9      36419.5      -0.0389783
      156.00000      35226.9      36419.5      -0.0327457
      159.00000      35455.8      36419.5      -0.0264598
      162.00000      35686.3      36419.5      -0.0201311
      165.00000      35918.0      36419.5      -0.0137699
      168.00000      36150.5      36419.5      -0.0073867
      171.00000      36383.4      36419.5      -0.0009920
      174.00000      36616.3      36419.5      0.0054039
      177.00000      36848.9      36419.5      0.0117905
      180.00000      37080.8      36419.5      0.0181573
      183.00000      37311.5      36419.5      0.0244939
      186.00000      37540.8      36419.5      0.0307899
      189.00000      37768.3      36419.5      0.0370349
      192.00000      37993.5      36419.5      0.0432183
      195.00000      38216.0      36419.5      0.0493299
      198.00000      38435.6      36419.5      0.0553591
      201.00000      38651.8      36419.5      0.0612955
      204.00000      38864.3      36419.5      0.0671286
      207.00000      39072.6      36419.5      0.0728481
      210.00000      39276.3      36419.5      0.0784435
      213.00000      39475.2      36419.5      0.0839044
      216.00000      39668.8      36419.5      0.0892203
      219.00000      39856.8      36419.5      0.0943808
      222.00000      40038.7      36419.5      0.0993754
      225.00000      40214.2      36419.5      0.1041938
      228.00000      40382.8      36419.5      0.1088254
      231.00000      40544.3      36419.5      0.1132599
      234.00000      40698.3      36419.5      0.1174868
      237.00000      40844.3      36419.5      0.1214957
      240.00000      40982.0      36419.5      0.1252762
      243.00000      41111.0      36419.5      0.1288177
      246.00000      41230.9      36419.5      0.1321099
      249.00000      41341.3      36419.5      0.1351424
      252.00000      41441.9      36419.5      0.1379047
      255.00000      41532.3      36419.5      0.1403863
      258.00000      41612.1      36419.5      0.1425768
      261.00000      41680.8      36419.5      0.1444659
      264.00000      41738.3      36419.5      0.1460430
      267.00000      41784.0      36419.5      0.1472977
      270.00000      41817.6      36419.5      0.1482197
      273.00000      41838.6      36419.5      0.1487984
      276.00000      41846.8      36419.5      0.1490234
      279.00000      41841.8      36419.5      0.1488842
      282.00000      41823.1      36419.5      0.1483706
      285.00000      41790.3      36419.5      0.1474719
      288.00000      41743.2      36419.5      0.1461778
      291.00000      41681.3      36419.5      0.1444779
      294.00000      41604.2      36419.5      0.1423616
      297.00000      41511.6      36419.5      0.1398187
      300.00000      41403.1      36419.5      0.1368385
      303.00000      41278.2      36419.5      0.1334108
      306.00000      41136.7      36419.5      0.1295250
      309.00000      40978.1      36419.5      0.1251708
      312.00000      40802.1      36419.5      0.1203376
      315.00000      40608.3      36419.5      0.1150151
      318.00000      40396.2      36419.5      0.1091929
      321.00000      40165.6      36419.5      0.1028604
      324.00000      39916.0      36419.5      0.0960072
      327.00000      39647.1      36419.5      0.0886230
      330.00000      39358.4      36419.5      0.0806973
      333.00000      39049.7      36419.5      0.0722196
      336.00000      38720.4      36419.5      0.0631795
      339.00000      38370.3      36419.5      0.0535665
      342.00000      37999.0      36419.5      0.0433703
      345.00000      37606.0      36419.5      0.0325805
      348.00000      37191.1      36419.5      0.0211864
      351.00000      36753.7      36419.5      0.0091779
      354.00000      36293.6      36419.5      -0.0034557
      357.00000      35810.4      36419.5      -0.0167248
       2     120       19.5900     15.0000      1.00000      0.00000
      0.00000      40665.7      34528.6      0.1777410
      3.00000      40050.3      34528.6      0.1599166
      6.00000      39459.4      34528.6      0.1428036
      9.00000      38892.7      34528.6      0.1263907
      12.00000      38349.7      34528.6      0.1106665
      15.00000      37830.2      34528.6      0.0956194
      18.00000      37333.6      34528.6      0.0812381
      21.00000      36859.6      34528.6      0.0675111
      24.00000      36407.9      34528.6      0.0544270
      27.00000      35977.9      34528.6      0.0419744
      30.00000      35569.3      34528.6      0.0301419
      33.00000      35181.8      34528.6      0.0189180
      36.00000      34814.9      34528.6      0.0082913
      39.00000      34468.2      34528.6      -0.0017496
      42.00000      34141.3      34528.6      -0.0112162
      45.00000      33833.9      34528.6      -0.0201198
      48.00000      33545.5      34528.6      -0.0284720
      51.00000      33275.7      34528.6      -0.0362841
      54.00000      33024.2      34528.6      -0.0435676
      57.00000      32790.6      34528.6      -0.0503338
      60.00000      32574.4      34528.6      -0.0565943
      63.00000      32375.4      34528.6      -0.0623605
      66.00000      32192.9      34528.6      -0.0676437
      69.00000      32026.8      34528.6      -0.0724554
      72.00000      31876.5      34528.6      -0.0768070
      75.00000      31741.8      34528.6      -0.0807100
      78.00000      31622.1      34528.6      -0.0841758
      81.00000      31517.1      34528.6      -0.0872158
      84.00000      31426.5      34528.6      -0.0898415
      87.00000      31349.7      34528.6      -0.0920642
      90.00000      31286.5      34528.6      -0.0938955
      93.00000      31236.4      34528.6      -0.0953466
      96.00000      31199.0      34528.6      -0.0964291
      99.00000      31174.0      34528.6      -0.0971544
      102.00000      31160.9      34528.6      -0.0975339
      105.00000      31159.3      34528.6      -0.0975790
      108.00000      31168.9      34528.6      -0.0973012
      111.00000      31189.2      34528.6      -0.0967119
      114.00000      31220.0      34528.6      -0.0958225
      117.00000      31260.6      34528.6      -0.0946445
      120.00000      31310.9      34528.6      -0.0931892
      123.00000      31370.3      34528.6      -0.0914682
      126.00000      31438.5      34528.6      -0.0894928
      129.00000      31515.1      34528.6      -0.0872744
      132.00000      31599.7      34528.6      -0.0848245
      135.00000      31691.9      34528.6      -0.0821546
      138.00000      31791.3      34528.6      -0.0792759
      141.00000      31897.5      34528.6      -0.0762001
      144.00000      32010.1      34528.6      -0.0729384
      147.00000      32128.8      34528.6      -0.0695024
      150.00000      32253.0      34528.6      -0.0659034
      153.00000      32382.5      34528.6      -0.0621529
      156.00000      32516.9      34528.6      -0.0582624
      159.00000      32655.6      34528.6      -0.0542431
      162.00000      32798.5      34528.6      -0.0501066
      165.00000      32944.9      34528.6      -0.0458644
      168.00000      33094.7      34528.6      -0.0415277
      171.00000      33247.3      34528.6      -0.0371081
      174.00000      33402.4      34528.6      -0.0326169
      177.00000      33559.5      34528.6      -0.0280657
      180.00000      33718.3      34528.6      -0.0234658
      183.00000      33878.4      34528.6      -0.0188286
      186.00000      34039.5      34528.6      -0.0141657
      189.00000      34201.0      34528.6      -0.0094883
      192.00000      34362.6      34528.6      -0.0048080
      195.00000      34523.9      34528.6      -0.0001362
      198.00000      34684.5      34528.6      0.0045158
      201.00000      34844.0      34528.6      0.0091364
      204.00000      35002.1      34528.6      0.0137142
      207.00000      35158.3      34528.6      0.0182379
      210.00000      35312.2      34528.6      0.0226960
      213.00000      35463.5      34528.6      0.0270770
      216.00000      35611.7      34528.6      0.0313696
      219.00000      35756.5      34528.6      0.0355622
      222.00000      35897.4      34528.6      0.0396436
      225.00000      36034.1      34528.6      0.0436022
      228.00000      36166.1      34528.6      0.0474266
      231.00000      36293.2      34528.6      0.0511055
      234.00000      36414.8      34528.6      0.0546273
      237.00000      36530.6      34528.6      0.0579806
      240.00000      36640.1      34528.6      0.0611541
      243.00000      36743.1      34528.6      0.0641362
      246.00000      36839.1      34528.6      0.0669156
      249.00000      36927.6      34528.6      0.0694808
      252.00000      37008.4      34528.6      0.0718205
      255.00000      37081.0      34528.6      0.0739231
      258.00000      37145.0      34528.6      0.0757772
      261.00000      37200.1      34528.6      0.0773715
      264.00000      37245.8      34528.6      0.0786945
      267.00000      37281.7      34528.6      0.0797347
      270.00000      37307.5      34528.6      0.0804807
      273.00000      37322.7      34528.6      0.0809212
      276.00000      37326.9      34528.6      0.0810447
      279.00000      37319.8      34528.6      0.0808397
      282.00000      37301.0      34528.6      0.0802948
      285.00000      37270.1      34528.6      0.0793986
      288.00000      37226.6      34528.6      0.0781397
      291.00000      37170.2      34528.6      0.0765067
      294.00000      37100.5      34528.6      0.0744880
      297.00000      37017.1      34528.6      0.0720724
      300.00000      36919.6      34528.6      0.0692483
      303.00000      36807.6      34528.6      0.0660043
      306.00000      36680.7      34528.6      0.0623290
      309.00000      36538.5      34528.6      0.0582110
      312.00000      36380.6      34528.6      0.0536389
      315.00000      36206.7      34528.6      0.0486012
      318.00000      36016.3      34528.6      0.0430864
      321.00000      35809.0      34528.6      0.0370833
      324.00000      35584.5      34528.6      0.0305802
      327.00000      35342.3      34528.6      0.0235659
      330.00000      35082.0      34528.6      0.0160289
      333.00000      34803.3      34528.6      0.0079577
      336.00000      34505.8      34528.6      -0.0006591
      339.00000      34189.1      34528.6      -0.0098328
      342.00000      33852.7      34528.6      -0.0195750
      345.00000      33496.3      34528.6      -0.0298971
      348.00000      33119.4      34528.6      -0.0408104
      351.00000      32721.8      34528.6      -0.0523265
      354.00000      32303.0      34528.6      -0.0644566
      357.00000      31862.5      34528.6      -0.0772124
       3     120       19.5900     18.0000      1.00000      0.00000
      0.00000      44551.1      40845.9      0.0907109
      3.00000      43902.2      40845.9      0.0748247
      6.00000      43283.0      40845.9      0.0596668
      9.00000      42693.1      40845.9      0.0452246
      12.00000      42132.0      40845.9      0.0314858
      15.00000      41599.0      40845.9      0.0184380
      18.00000      41093.8      40845.9      0.0060687
      21.00000      40615.8      40845.9      -0.0056345
      24.00000      40164.4      40845.9      -0.0166839
      27.00000      39739.3      40845.9      -0.0270920
      30.00000      39339.9      40845.9      -0.0368713
      33.00000      38965.6      40845.9      -0.0460340
      36.00000      38616.0      40845.9      -0.0545927
      39.00000      38290.6      40845.9      -0.0625597
      42.00000      37988.8      40845.9      -0.0699475
      45.00000      37710.2      40845.9      -0.0767684
      48.00000      37454.3      40845.9      -0.0830350
      51.00000      37220.4      40845.9      -0.0887595
      54.00000      37008.2      40845.9      -0.0939544
      57.00000      36817.2      40845.9      -0.0986321
      60.00000      36646.7      40845.9      -0.1028051
      63.00000      36496.4      40845.9      -0.1064857
      66.00000      36365.7      40845.9      -0.1096864
      69.00000      36254.0      40845.9      -0.1124195
      72.00000      36161.0      40845.9      -0.1146976
      75.00000      36086.0      40845.9      -0.1165329
      78.00000      36028.6      40845.9      -0.1179379
      81.00000      35988.3      40845.9      -0.1189251
      84.00000      35964.5      40845.9      -0.1195067
      87.00000      35956.8      40845.9      -0.1196954
      90.00000      35964.7      40845.9      -0.1195034
      93.00000      35987.6      40845.9      -0.1189431
      96.00000      36025.0      40845.9      -0.1180271
      99.00000      36076.4      40845.9      -0.1167676
      102.00000      36141.4      40845.9      -0.1151772
      105.00000      36219.4      40845.9      -0.1132681
      108.00000      36309.8      40845.9      -0.1110529
      111.00000      36412.3      40845.9      -0.1085440
      114.00000      36526.3      40845.9      -0.1057537
      117.00000      36651.3      40845.9      -0.1026945
      120.00000      36786.7      40845.9      -0.0993788
      123.00000      36932.1      40845.9      -0.0958189
      126.00000      37087.0      40845.9      -0.0920274
      129.00000      37250.8      40845.9      -0.0880166
      132.00000      37423.1      40845.9      -0.0837990
      135.00000      37603.3      40845.9      -0.0793869
      138.00000      37790.9      40845.9      -0.0747927
      141.00000      37985.5      40845.9      -0.0700290
      144.00000      38186.5      40845.9      -0.0651080
      147.00000      38393.4      40845.9      -0.0600422
      150.00000      38605.7      40845.9      -0.0548440
      153.00000      38823.0      40845.9      -0.0495259
      156.00000      39044.6      40845.9      -0.0441002
      159.00000      39270.1      40845.9      -0.0385793
      162.00000      39499.0      40845.9      -0.0329758
      165.00000      39730.7      40845.9      -0.0273018
      168.00000      39964.9      40845.9      -0.0215700
      171.00000      40200.8      40845.9      -0.0157927
      174.00000      40438.2      40845.9      -0.0099823
      177.00000      40676.3      40845.9      -0.0041512
      180.00000      40914.9      40845.9      0.0016881
      183.00000      41153.2      40845.9      0.0075233
      186.00000      41390.9      40845.9      0.0133419
      189.00000      41627.3      40845.9      0.0191315
      192.00000      41862.1      40845.9      0.0248798
      195.00000      42094.7      40845.9      0.0305742
      198.00000      42324.6      40845.9      0.0362025
      201.00000      42551.3      40845.9      0.0417520
      204.00000      42774.3      40845.9      0.0472106
      207.00000      42993.0      40845.9      0.0525657
      210.00000      43207.0      40845.9      0.0578049
      213.00000      43415.8      40845.9      0.0629159
      216.00000      43618.8      40845.9      0.0678861
      219.00000      43815.5      40845.9      0.0727033
      222.00000      44005.5      40845.9      0.0773549
      225.00000      44188.3      40845.9      0.0818286
      228.00000      44363.2      40845.9      0.0861120
      231.00000      44529.9      40845.9      0.0901926
      234.00000      44687.8      40845.9      0.0940580
      237.00000      44836.4      40845.9      0.0976958
      240.00000      44975.2      40845.9      0.1010937
      243.00000      45103.6      40845.9      0.1042391
      246.00000      45221.3      40845.9      0.1071198
      249.00000      45327.6      40845.9      0.1097232
      252.00000      45422.2      40845.9      0.1120369
      255.00000      45504.3      40845.9      0.1140486
      258.00000      45573.6      40845.9      0.1157458
      261.00000      45629.6      40845.9      0.1171161
      264.00000      45671.7      40845.9      0.1181472
      267.00000      45699.5      40845.9      0.1188265
      270.00000      45712.4      40845.9      0.1191417
      273.00000      45709.8      40845.9      0.1190804
      276.00000      45691.5      40845.9      0.1186301
      279.00000      45656.7      40845.9      0.1177785
      282.00000      45605.0      40845.9      0.1165130
      285.00000      45535.9      40845.9      0.1148214
      288.00000      45448.9      40845.9      0.1126912
      291.00000      45343.4      40845.9      0.1101100
      294.00000      45219.1      40845.9      0.1070654
      297.00000      45075.3      40845.9      0.1035449
      300.00000      44911.5      40845.9      0.0995362
      303.00000      44727.4      40845.9      0.0950268
      306.00000      44522.2      40845.9      0.0900044
      309.00000      44295.6      40845.9      0.0844564
      312.00000      44047.0      40845.9      0.0783706
      315.00000      43776.0      40845.9      0.0717344
      318.00000      43481.9      40845.9      0.0645355
      321.00000      43164.4      40845.9      0.0567615
      324.00000      42822.8      40845.9      0.0483999
      327.00000      42456.8      40845.9      0.0394384
      330.00000      42065.7      40845.9      0.0298645
      333.00000      41649.2      40845.9      0.0196658
      336.00000      41206.6      40845.9      0.0088299
      339.00000      40737.4      40845.9      -0.0026556
      342.00000      40241.3      40845.9      -0.0148032
      345.00000      39717.5      40845.9      -0.0276252
      348.00000      39165.7      40845.9      -0.0411340
      351.00000      38585.4      40845.9      -0.0553421
      354.00000      37976.0      40845.9      -0.0702619
      357.00000      37337.0      40845.9      -0.0859058
       4     120       19.5900     21.0000      1.00000      0.00000
      0.00000      47557.8      44722.8      0.0633905
      3.00000      46709.8      44722.8      0.0444282
      6.00000      45902.9      44722.8      0.0263862
      9.00000      45136.5      44722.8      0.0092484
      12.00000      44409.7      44722.8      -0.0070009
      15.00000      43722.0      44722.8      -0.0223777
      18.00000      43072.7      44722.8      -0.0368979
      21.00000      42460.9      44722.8      -0.0505773
      24.00000      41886.0      44722.8      -0.0634320
      27.00000      41347.3      44722.8      -0.0754777
      30.00000      40844.0      44722.8      -0.0867305
      33.00000      40375.5      44722.8      -0.0972062
      36.00000      39941.0      44722.8      -0.1069207
      39.00000      39539.9      44722.8      -0.1158899
      42.00000      39171.4      44722.8      -0.1241298
      45.00000      38834.8      44722.8      -0.1316561
      48.00000      38529.4      44722.8      -0.1384850
      51.00000      38254.5      44722.8      -0.1446321
      54.00000      38009.3      44722.8      -0.1501135
      57.00000      37793.3      44722.8      -0.1549451
      60.00000      37605.5      44722.8      -0.1591427
      63.00000      37445.4      44722.8      -0.1627223
      66.00000      37312.3      44722.8      -0.1656998
      69.00000      37205.3      44722.8      -0.1680910
      72.00000      37123.9      44722.8      -0.1699119
      75.00000      37067.3      44722.8      -0.1711784
      78.00000      37034.7      44722.8      -0.1719064
      81.00000      37025.5      44722.8      -0.1721118
      84.00000      37039.0      44722.8      -0.1718105
      87.00000      37074.4      44722.8      -0.1710184
      90.00000      37131.1      44722.8      -0.1697514
      93.00000      37208.3      44722.8      -0.1680254
      96.00000      37305.3      44722.8      -0.1658564
