      19    2299    0     datakind beginning-row linenumbers
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
angle-resolved photoemission extended fine structure (ARPEFS)
experimental data for Fe 2p3/2 from Fe on STO(100)  excited with hv=1810eV
provided by Pancotti et al. (LNLS in 9, June 2010)
   initial angular momentum (l) = 1
   photon polarization angle (polar, azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K
   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      19     2299       1       19     121     2299
       1     121       19.5900     15.0000      1.00000      0.00000
      0.0000      40665.70      34528.60      0.1777410
      3.0000      40050.30      34528.60      0.1599166
      6.0000      39459.40      34528.60      0.1428036
      9.0000      38892.70      34528.60      0.1263907
      12.0000      38349.70      34528.60      0.1106665
      15.0000      37830.20      34528.60      0.0956194
      18.0000      37333.60      34528.60      0.0812381
      21.0000      36859.60      34528.60      0.0675111
      24.0000      36407.90      34528.60      0.0544270
      27.0000      35977.90      34528.60      0.0419744
      30.0000      35569.30      34528.60      0.0301419
      33.0000      35181.80      34528.60      0.0189180
      36.0000      34814.90      34528.60      0.0082913
      39.0000      34468.20      34528.60      -0.0017496
      42.0000      34141.30      34528.60      -0.0112162
      45.0000      33833.90      34528.60      -0.0201198
      48.0000      33545.50      34528.60      -0.0284720
      51.0000      33275.70      34528.60      -0.0362841
      54.0000      33024.20      34528.60      -0.0435676
      57.0000      32790.60      34528.60      -0.0503338
      60.0000      32574.40      34528.60      -0.0565943
      63.0000      32375.40      34528.60      -0.0623605
      66.0000      32192.90      34528.60      -0.0676437
      69.0000      32026.80      34528.60      -0.0724554
      72.0000      31876.50      34528.60      -0.0768070
      75.0000      31741.80      34528.60      -0.0807100
      78.0000      31622.10      34528.60      -0.0841758
      81.0000      31517.10      34528.60      -0.0872158
      84.0000      31426.50      34528.60      -0.0898415
      87.0000      31349.70      34528.60      -0.0920642
      90.0000      31286.50      34528.60      -0.0938955
      93.0000      31236.40      34528.60      -0.0953466
      96.0000      31199.00      34528.60      -0.0964291
      99.0000      31174.00      34528.60      -0.0971544
      102.0000      31160.90      34528.60      -0.0975339
      105.0000      31159.30      34528.60      -0.0975790
      108.0000      31168.90      34528.60      -0.0973012
      111.0000      31189.20      34528.60      -0.0967119
      114.0000      31220.00      34528.60      -0.0958225
      117.0000      31260.60      34528.60      -0.0946445
      120.0000      31310.90      34528.60      -0.0931892
      123.0000      31370.30      34528.60      -0.0914682
      126.0000      31438.50      34528.60      -0.0894928
      129.0000      31515.10      34528.60      -0.0872744
      132.0000      31599.70      34528.60      -0.0848245
      135.0000      31691.90      34528.60      -0.0821546
      138.0000      31791.30      34528.60      -0.0792759
      141.0000      31897.50      34528.60      -0.0762001
      144.0000      32010.10      34528.60      -0.0729384
      147.0000      32128.80      34528.60      -0.0695024
      150.0000      32253.00      34528.60      -0.0659034
      153.0000      32382.50      34528.60      -0.0621529
      156.0000      32516.90      34528.60      -0.0582624
      159.0000      32655.60      34528.60      -0.0542431
      162.0000      32798.50      34528.60      -0.0501066
      165.0000      32944.90      34528.60      -0.0458644
      168.0000      33094.70      34528.60      -0.0415277
      171.0000      33247.30      34528.60      -0.0371081
      174.0000      33402.40      34528.60      -0.0326169
      177.0000      33559.50      34528.60      -0.0280657
      180.0000      33718.30      34528.60      -0.0234658
      183.0000      33878.40      34528.60      -0.0188286
      186.0000      34039.50      34528.60      -0.0141657
      189.0000      34201.00      34528.60      -0.0094883
      192.0000      34362.60      34528.60      -0.0048080
