      19    2299    0     datakind beginning-row linenumbers
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
angle-resolved photoemission extended fine structure (ARPEFS)
experimental data for Fe 2p3/2 from Fe on STO(100)  excited with hv=1810eV
provided by Pancotti et al. (LNLS in 9, June 2010)
   initial angular momentum (l) = 1
   photon polarization angle (polar, azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K
   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      19     2299       1       19     121     2299
       1     121       19.5900     15.0000      1.00000      0.00000
      0.0000      39622.10      34521.80      -0.0255618
      3.0000      43505.10      34521.80      0.0863796
      6.0000      45044.50      34521.80      0.1416684
      9.0000      41526.90      34521.80      0.0678540
      12.0000      41131.70      34521.80      0.0726698
      15.0000      43202.40      34521.80      0.1421494
      18.0000      39265.00      34521.80      0.0518666
      21.0000      35794.00      34521.80      -0.0287838
      24.0000      33716.20      34521.80      -0.0738062
      27.0000      31720.10      34521.80      -0.1182226
      30.0000      36963.30      34521.80      0.0393382
      33.0000      31457.80      34521.80      -0.1057190
      36.0000      32572.30      34521.80      -0.0642734
      39.0000      33722.30      34521.80      -0.0214884
      42.0000      34619.80      34521.80      0.0141757
      45.0000      35764.80      34521.80      0.0572423
      48.0000      32445.10      34521.80      -0.0326422
      51.0000      29963.40      34521.80      -0.0993894
      54.0000      28684.10      34521.80      -0.1312725
      57.0000      32727.50      34521.80      -0.0017482
      60.0000      26441.20      34521.80      -0.1881374
      63.0000      29159.80      34521.80      -0.0991551
      66.0000      29912.30      34521.80      -0.0706682
      69.0000      26532.10      34521.80      -0.1714070
      72.0000      26588.00      34521.80      -0.1657445
      75.0000      30946.70      34521.80      -0.0248551
      78.0000      28576.00      34521.80      -0.0961465
      81.0000      30405.80      34521.80      -0.0350643
      84.0000      36046.00      34521.80      0.1472324
      87.0000      37764.20      34521.80      0.2048632
      90.0000      34227.50      34521.80      0.0942352
      93.0000      34691.70      34521.80      0.1108574
      96.0000      34333.50      34521.80      0.1007075
      99.0000      35276.40      34521.80      0.1318475
      102.0000      35305.00      34521.80      0.1332441
      105.0000      35159.30      34521.80      0.1286262
      108.0000      32585.30      34521.80      0.0456802
      111.0000      26256.50      34521.80      -0.1579625
      114.0000      28594.50      34521.80      -0.0838839
      117.0000      24232.10      34521.80      -0.2246562
      120.0000      24975.10      34521.80      -0.2021639
      123.0000      30702.90      34521.80      -0.0210444
      126.0000      32222.80      34521.80      0.0251897
      129.0000      31313.10      34521.80      -0.0061732
      132.0000      31585.00      34521.80      -0.0002259
      135.0000      29326.20      34521.80      -0.0744240
      138.0000      30938.80      34521.80      -0.0265802
      141.0000      32984.70      34521.80      0.0343349
      144.0000      30746.40      34521.80      -0.0392452
      147.0000      26708.70      34521.80      -0.1684955
      150.0000      37746.40      34521.80      0.1706069
      153.0000      35589.80      34521.80      0.0993121
      156.0000      28518.80      34521.80      -0.1227388
      159.0000      29085.60      34521.80      -0.1091057
      162.0000      37164.40      34521.80      0.1333916
      165.0000      30452.90      34521.80      -0.0754162
      168.0000      31567.30      34521.80      -0.0459183
      171.0000      33410.60      34521.80      0.0051580
      174.0000      33443.20      34521.80      0.0014674
      177.0000      37758.10      34521.80      0.1253835
      180.0000      38089.00      34521.80      0.1298981
      183.0000      33568.20      34521.80      -0.0089168
      186.0000      44052.00      34521.80      0.2944593
      189.0000      37959.80      34521.80      0.1101732
      192.0000      37522.40      34521.80      0.0922193
      195.0000      37216.70      34521.80      0.0782583
