      20    2400    0     datakind beginning-row linenumbers
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
angle-resolved photoemission extended fine structure (ARPEFS)
experimental data for Fe 2p3/2 from Fe on STO(100)  excited with hv=1810eV
provided by Pancotti et al. (LNLS in 9, June 2010)
   intial angular momentum (l) = 1
   photon polarization angle (polar,azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K
   photoemission angular scan curves
     (20 2400 12.2000)
      20     2400       1       20     120     2400
       1     120       19.5900     12.2000      1.00000      0.00000
      0.00000      38633.10      36356.40      0.062621
      3.00000      39744.90      36356.40      0.093202
      6.00000      39854.80      36356.40      0.096224
      9.00000      38655.20      36356.40      0.063229
      12.00000      37538.60      36356.40      0.032517
      15.00000      38172.50      36356.40      0.049953
      18.00000      37165.90      36356.40      0.022264
      21.00000      37547.80      36356.40      0.032769
      24.00000      37203.60      36356.40      0.023302
      27.00000      38170.70      36356.40      0.049903
      30.00000      37286.70      36356.40      0.025587
      33.00000      36599.30      36356.40      0.006680
      36.00000      35345.00      36356.40      -0.027818
      39.00000      35559.50      36356.40      -0.021919
      42.00000      34400.60      36356.40      -0.053795
      45.00000      34376.70      36356.40      -0.054454
      48.00000      35577.90      36356.40      -0.021412
      51.00000      35412.00      36356.40      -0.025978
      54.00000      34585.00      36356.40      -0.048723
      57.00000      34644.50      36356.40      -0.047086
      60.00000      34256.30      36356.40      -0.057766
      63.00000      33325.20      36356.40      -0.083375
      66.00000      35037.20      36356.40      -0.036285
      69.00000      36271.70      36356.40      -0.002329
      72.00000      36926.50      36356.40      0.015679
      75.00000      36642.90      36356.40      0.007880
      78.00000      37873.70      36356.40      0.041734
      81.00000      37150.60      36356.40      0.021845
      84.00000      37707.60      36356.40      0.037166
      87.00000      37330.10      36356.40      0.026782
      90.00000      38765.00      36356.40      0.066249
      93.00000      37330.10      36356.40      0.026782
      96.00000      37707.60      36356.40      0.037166
      99.00000      37150.60      36356.40      0.021845
      102.00000      37873.70      36356.40      0.041734
      105.00000      36642.90      36356.40      0.007880
      108.00000      36926.50      36356.40      0.015679
      111.00000      36271.70      36356.40      -0.002329
      114.00000      35037.20      36356.40      -0.036285
      117.00000      33325.20      36356.40      -0.083375
      120.00000      34256.30      36356.40      -0.057766
      123.00000      34644.50      36356.40      -0.047086
      126.00000      34585.00      36356.40      -0.048723
      129.00000      35412.00      36356.40      -0.025978
      132.00000      35577.90      36356.40      -0.021412
      135.00000      34376.70      36356.40      -0.054454
      138.00000      34400.60      36356.40      -0.053795
      141.00000      35559.50      36356.40      -0.021919
      144.00000      35345.00      36356.40      -0.027818
      147.00000      36599.30      36356.40      0.006680
      150.00000      37286.70      36356.40      0.025587
      153.00000      38170.70      36356.40      0.049903
      156.00000      37203.60      36356.40      0.023302
      159.00000      37547.80      36356.40      0.032769
      162.00000      37165.90      36356.40      0.022264
      165.00000      38172.50      36356.40      0.049953
      168.00000      37538.60      36356.40      0.032517
      171.00000      38655.20      36356.40      0.063229
      174.00000      39854.80      36356.40      0.096224
      177.00000      39744.90      36356.40      0.093202
      180.00000      38633.10      36356.40      0.062621
      183.00000      39744.90      36356.40      0.093202
      186.00000      39854.80      36356.40      0.096224
      189.00000      38655.20      36356.40      0.063229
      192.00000      37538.60      36356.40      0.032517
      195.00000      38172.50      36356.40      0.049953
      198.00000      37165.90      36356.40      0.022264
      201.00000      37547.80      36356.40      0.032769
      204.00000      37203.60      36356.40      0.023302
      207.00000      38170.70      36356.40      0.049903
      210.00000      37286.70      36356.40      0.025587
      213.00000      36599.30      36356.40      0.006680
      216.00000      35345.00      36356.40      -0.027818
      219.00000      35559.50      36356.40      -0.021919
      222.00000      34400.60      36356.40      -0.053795
      225.00000      34376.70      36356.40      -0.054454
      228.00000      35577.90      36356.40      -0.021412
      231.00000      35412.00      36356.40      -0.025978
      234.00000      34585.00      36356.40      -0.048723
      237.00000      34644.50      36356.40      -0.047086
      240.00000      34256.30      36356.40      -0.057766
      243.00000      33325.20      36356.40      -0.083375
      246.00000      35037.20      36356.40      -0.036285
      249.00000      36271.70      36356.40      -0.002329
      252.00000      36926.50      36356.40      0.015679
      255.00000      36642.90      36356.40      0.007880
      258.00000      37873.70      36356.40      0.041734
      261.00000      37150.60      36356.40      0.021845
      264.00000      37707.60      36356.40      0.037166
      267.00000      37330.10      36356.40      0.026782
      270.00000      38765.00      36356.40      0.066249
      273.00000      37330.10      36356.40      0.026782
      276.00000      37707.60      36356.40      0.037166
      279.00000      37150.60      36356.40      0.021845
      282.00000      37873.70      36356.40      0.041734
      285.00000      36642.90      36356.40      0.007880
      288.00000      36926.50      36356.40      0.015679
      291.00000      36271.70      36356.40      -0.002329
      294.00000      35037.20      36356.40      -0.036285
      297.00000      33325.20      36356.40      -0.083375
      300.00000      34256.30      36356.40      -0.057766
      303.00000      34644.50      36356.40      -0.047086
      306.00000      34585.00      36356.40      -0.048723
      309.00000      35412.00      36356.40      -0.025978
