   323    17    0     datakind beginning-row linenumbers
----------------------------------------------------------------
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 experimental data for Pd 3d3/2 from W(100)  excited with hv=1810eV
 
 provided by Pancotti et al. (LNLS in 12, June 2007) 
   intial angular momentum (l) = 2
   photon polarization angle (polar,azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K
 
   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      20    2400       1      20     120    2400
       1     120      19.5900      12.2000      1.00000      0.00000
      0.00000      39051.5      36356.4    0.0741293
      3.00000      36723.1      36356.4    0.0100845
      6.00000      38633.1      36356.4    0.0626213
      9.00000      39744.9      36356.4    0.0932017
      12.0000      39854.8      36356.4    0.0962242
      15.0000      38655.2      36356.4    0.0632288
      18.0000      37538.6      36356.4    0.0325164
      21.0000      38172.5      36356.4    0.0499534
      24.0000      37165.9      36356.4    0.0222639
      27.0000      37547.8      36356.4    0.0327700
      30.0000      37203.6      36356.4    0.0233023
      33.0000      38170.7      36356.4    0.0499035
      36.0000      37286.7      36356.4    0.0255868
      39.0000      36599.3      36356.4   0.00668035
      42.0000      35345.0      36356.4   -0.0278188
      45.0000      35559.6      36356.4   -0.0219183
      48.0000      34400.6      36356.4   -0.0537960
      51.0000      34376.7      36356.4   -0.0544538
      54.0000      35577.9      36356.4   -0.0214130
      57.0000      35412.0      36356.4   -0.0259777
      60.0000      34585.0      36356.4   -0.0487233
      63.0000      34644.5      36356.4   -0.0470865
      66.0000      34256.3      36356.4   -0.0577660
      69.0000      33325.2      36356.4   -0.0833750
      72.0000      35037.3      36356.4   -0.0362843
      75.0000      36271.7      36356.4  -0.00232993
      78.0000      36926.4      36356.4    0.0156787
      81.0000      36642.9      36356.4   0.00787961
      84.0000      37873.7      36356.4    0.0417339
      87.0000      37150.6      36356.4    0.0218444
      90.0000      37707.6      36356.4    0.0371660
      93.0000      37330.1      36356.4    0.0267821
      96.0000      38765.0      36356.4    0.0662485
      99.0000      36939.3      36356.4    0.0160325
      102.000      35895.3      36356.4   -0.0126826
      105.000      35245.1      36356.4   -0.0305661
      108.000      35481.1      36356.4   -0.0240772
      111.000      33916.7      36356.4   -0.0671057
      114.000      34489.1      36356.4   -0.0513626
      117.000      34881.8      36356.4   -0.0405592
      120.000      33990.3      36356.4   -0.0650820
      123.000      34294.4      36356.4   -0.0567173
      126.000      35039.4      36356.4   -0.0362260
      129.000      34543.9      36356.4   -0.0498541
      132.000      34467.0      36356.4   -0.0519704
      135.000      34833.8      36356.4   -0.0418796
      138.000      34632.4      36356.4   -0.0474192
      141.000      34862.7      36356.4   -0.0410844
      144.000      34896.8      36356.4   -0.0401464
      147.000      35522.5      36356.4   -0.0229364
      150.000      36488.1      36356.4   0.00362134
      153.000      35874.9      36356.4   -0.0132437
      156.000      36174.4      36356.4  -0.00500686
      159.000      37468.0      36356.4    0.0305737
      162.000      37805.5      36356.4    0.0398566
      165.000      36751.2      36356.4    0.0108590
      168.000      37762.9      36356.4    0.0386871
      171.000      38556.7      36356.4    0.0605197
      174.000      38016.3      36356.4    0.0456544
      177.000      39019.8      36356.4    0.0732579
      180.000      39051.5      36356.4    0.0741294
      183.000      36723.1      36356.4    0.0100844
      186.000      38633.1      36356.4    0.0626210
      189.000      39744.9      36356.4    0.0932016
      192.000      39854.8      36356.4    0.0962241
      195.000      38655.2      36356.4    0.0632288
      198.000      37538.6      36356.4    0.0325167
      201.000      38172.5      36356.4    0.0499531
      204.000      37165.9      36356.4    0.0222638
      207.000      37547.8      36356.4    0.0327690
      210.000      37203.6      36356.4    0.0233022
      213.000      38170.7      36356.4    0.0499030
      216.000      37286.7      36356.4    0.0255874
      219.000      36599.3      36356.4   0.00668022
      222.000      35345.0      36356.4   -0.0278184
      225.000      35559.5      36356.4   -0.0219186
      228.000      34400.6      36356.4   -0.0537953
      231.000      34376.7      36356.4   -0.0544535
      234.000      35577.9      36356.4   -0.0214123
      237.000      35412.0      36356.4   -0.0259775
      240.000      34585.0      36356.4   -0.0487228
      243.000      34644.5      36356.4   -0.0470863
      246.000      34256.3      36356.4   -0.0577658
      249.000      33325.2      36356.4   -0.0833747
      252.000      35037.2      36356.4   -0.0362851
      255.000      36271.7      36356.4  -0.00232940
      258.000      36926.5      36356.4    0.0156789
      261.000      36642.9      36356.4   0.00787982
      264.000      37873.7      36356.4    0.0417338
      267.000      37150.6      36356.4    0.0218447
      270.000      37707.6      36356.4    0.0371660
      273.000      37330.1      36356.4    0.0267823
      276.000      38765.0      36356.4    0.0662487
      279.000      36939.3      36356.4    0.0160330
      282.000      35895.3      36356.4   -0.0126825
      285.000      35245.2      36356.4   -0.0305658
      288.000      35481.0      36356.4   -0.0240783
      291.000      33916.7      36356.4   -0.0671068
      294.000      34489.1      36356.4   -0.0513620
      297.000      34881.8      36356.4   -0.0405592
      300.000      33990.3      36356.4   -0.0650823
      303.000      34294.3      36356.4   -0.0567186
      306.000      35039.4      36356.4   -0.0362257
      309.000      34543.9      36356.4   -0.0498540
      312.000      34467.0      36356.4   -0.0519705
      315.000      34833.8      36356.4   -0.0418809
      318.000      34632.4      36356.4   -0.0474187
      321.000      34862.7      36356.4   -0.0410847
      324.000      34896.8      36356.4   -0.0401470
      327.000      35522.5      36356.4   -0.0229370
      330.000      36488.1      36356.4   0.00362089
      333.000      35874.9      36356.4   -0.0132438
      336.000      36174.4      36356.4  -0.00500694
      339.000      37468.0      36356.4    0.0305743
      342.000      37805.4      36356.4    0.0398557
      345.000      36751.3      36356.4    0.0108601
      348.000      37762.9      36356.4    0.0386868
      351.000      38556.7      36356.4    0.0605201
      354.000      38016.2      36356.4    0.0456540
      357.000      39019.8      36356.4    0.0732586
       2     120      19.5900      15.2000      1.00000      0.00000
      0.00000      37403.7      34729.1    0.0770112
      3.00000      38948.7      34729.1     0.121499
      6.00000      39239.5      34729.1     0.129873
      9.00000      39226.6      34729.1     0.129501
      12.0000      39311.4      34729.1     0.131944
      15.0000      37959.9      34729.1    0.0930282
      18.0000      36970.7      34729.1    0.0645443
      21.0000      35894.2      34729.1    0.0335476
      24.0000      35174.6      34729.1    0.0128268
      27.0000      34005.6      34729.1   -0.0208323
      30.0000      33774.4      34729.1   -0.0274911
      33.0000      33713.7      34729.1   -0.0292386
      36.0000      34218.3      34729.1   -0.0147103
      39.0000      34567.0      34729.1  -0.00466876
      42.0000      34853.0      34729.1   0.00356537
      45.0000      34579.6      34729.1  -0.00430462
      48.0000      34355.8      34729.1   -0.0107490
      51.0000      33764.8      34729.1   -0.0277667
      54.0000      32506.2      34729.1   -0.0640074
      57.0000      31740.5      34729.1   -0.0860553
      60.0000      31998.1      34729.1   -0.0786391
      63.0000      31549.3      34729.1   -0.0915597
      66.0000      31052.8      34729.1    -0.105858
      69.0000      31585.8      34729.1   -0.0905098
      72.0000      31851.9      34729.1   -0.0828482
      75.0000      31483.0      34729.1   -0.0934694
      78.0000      33136.2      34729.1   -0.0458683
      81.0000      35098.7      34729.1    0.0106422
      84.0000      36060.8      34729.1    0.0383458
      87.0000      37179.3      34729.1    0.0705513
      90.0000      37951.6      34729.1    0.0927894
      93.0000      37843.2      34729.1    0.0896666
      96.0000      36843.8      34729.1    0.0608910
      99.0000      37437.9      34729.1    0.0779973
      102.000      36743.1      34729.1    0.0579898
      105.000      35993.8      34729.1    0.0364145
      108.000      35661.7      34729.1    0.0268534
      111.000      34256.8      34729.1   -0.0135991
      114.000      31628.3      34729.1   -0.0892864
      117.000      31603.0      34729.1   -0.0900135
      120.000      31961.1      34729.1   -0.0797036
      123.000      31372.5      34729.1   -0.0966509
      126.000      32586.9      34729.1   -0.0616828
      129.000      33539.5      34729.1   -0.0342538
      132.000      33648.5      34729.1   -0.0311158
      135.000      33113.6      34729.1   -0.0465189
      138.000      33369.4      34729.1   -0.0391531
      141.000      32491.1      34729.1   -0.0644423
      144.000      33903.0      34729.1   -0.0237880
      147.000      34415.7      34729.1  -0.00902573
      150.000      33875.4      34729.1   -0.0245826
      153.000      33073.7      34729.1   -0.0476669
      156.000      34920.1      34729.1   0.00549991
      159.000      33509.1      34729.1   -0.0351291
      162.000      33477.7      34729.1   -0.0360352
      165.000      34671.3      34729.1  -0.00166391
      168.000      35926.4      34729.1    0.0344754
      171.000      36577.1      34729.1    0.0532114
      174.000      36523.9      34729.1    0.0516787
      177.000      41624.2      34729.1     0.198538
      180.000      37403.7      34729.1    0.0770111
      183.000      38948.7      34729.1     0.121499
      186.000      39239.5      34729.1     0.129873
      189.000      39226.6      34729.1     0.129501
      192.000      39311.4      34729.1     0.131944
      195.000      37959.9      34729.1    0.0930289
      198.000      36970.7      34729.1    0.0645451
      201.000      35894.2      34729.1    0.0335475
      204.000      35174.6      34729.1    0.0128271
      207.000      34005.6      34729.1   -0.0208333
      210.000      33774.4      34729.1   -0.0274913
      213.000      33713.7      34729.1   -0.0292395
      216.000      34218.3      34729.1   -0.0147098
      219.000      34567.0      34729.1  -0.00466988
      222.000      34853.0      34729.1   0.00356581
      225.000      34579.6      34729.1  -0.00430505
      228.000      34355.9      34729.1   -0.0107483
      231.000      33764.8      34729.1   -0.0277662
      234.000      32506.3      34729.1   -0.0640061
      237.000      31740.5      34729.1   -0.0860549
      240.000      31998.1      34729.1   -0.0786384
      243.000      31549.4      34729.1   -0.0915591
      246.000      31052.8      34729.1    -0.105857
      249.000      31585.8      34729.1   -0.0905096
      252.000      31851.9      34729.1   -0.0828488
      255.000      31483.0      34729.1   -0.0934691
      258.000      33136.2      34729.1   -0.0458680
      261.000      35098.7      34729.1    0.0106418
      264.000      36060.9      34729.1    0.0383460
      267.000      37179.3      34729.1    0.0705515
      270.000      37951.6      34729.1    0.0927897
      273.000      37843.2      34729.1    0.0896661
      276.000      36843.8      34729.1    0.0608911
      279.000      37437.9      34729.1    0.0779979
      282.000      36743.1      34729.1    0.0579899
      285.000      35993.8      34729.1    0.0364151
      288.000      35661.7      34729.1    0.0268526
      291.000      34256.8      34729.1   -0.0135992
      294.000      31628.4      34729.1   -0.0892843
      297.000      31603.1      34729.1   -0.0900127
      300.000      31961.1      34729.1   -0.0797047
      303.000      31372.4      34729.1   -0.0966533
      306.000      32587.0      34729.1   -0.0616821
      309.000      33539.6      34729.1   -0.0342531
      312.000      33648.5      34729.1   -0.0311165
      315.000      33113.5      34729.1   -0.0465206
      318.000      33369.4      34729.1   -0.0391528
      321.000      32491.1      34729.1   -0.0644423
      324.000      33902.9      34729.1   -0.0237895
      327.000      34415.7      34729.1  -0.00902648
      330.000      33875.3      34729.1   -0.0245844
      333.000      33073.7      34729.1   -0.0476660
      336.000      34920.2      34729.1   0.00550053
      339.000      33509.2      34729.1   -0.0351277
      342.000      33477.6      34729.1   -0.0360363
      345.000      34671.4      34729.1  -0.00166234
      348.000      35926.4      34729.1    0.0344752
      351.000      36577.1      34729.1    0.0532117
      354.000      36523.9      34729.1    0.0516782
      357.000      41624.2      34729.1     0.198540
       3     120      19.5900      18.2000      1.00000      0.00000
      0.00000      48627.9      40841.5     0.190650
      3.00000      44206.8      40841.5    0.0823992
      6.00000      47921.3      40841.5     0.173349
      9.00000      47539.8      40841.5     0.164006
      12.0000      45577.0      40841.5     0.115948
      15.0000      44872.2      40841.5    0.0986918
      18.0000      45432.7      40841.5     0.112415
      21.0000      44680.0      40841.5    0.0939861
      24.0000      42689.4      40841.5    0.0452456
      27.0000      42100.6      40841.5    0.0308281
      30.0000      41181.6      40841.5   0.00832667
      33.0000      39489.1      40841.5   -0.0331135
      36.0000      39597.7      40841.5   -0.0304538
      39.0000      40855.7      40841.5  0.000347763
      42.0000      42851.9      40841.5    0.0492256
      45.0000      41022.3      40841.5   0.00442699
      48.0000      42338.2      40841.5    0.0366464
      51.0000      41178.6      40841.5   0.00825494
      54.0000      39879.0      40841.5   -0.0235666
      57.0000      37467.6      40841.5   -0.0826094
      60.0000      37791.6      40841.5   -0.0746757
      63.0000      36361.5      40841.5    -0.109692
      66.0000      36209.0      40841.5    -0.113426
      69.0000      34962.2      40841.5    -0.143954
      72.0000      35262.1      40841.5    -0.136612
      75.0000      36036.1      40841.5    -0.117660
      78.0000      36369.3      40841.5    -0.109502
      81.0000      37475.9      40841.5   -0.0824052
      84.0000      39799.2      40841.5   -0.0255203
      87.0000      40206.7      40841.5   -0.0155430
      90.0000      40938.4      40841.5   0.00237322
      93.0000      41404.6      40841.5    0.0137873
      96.0000      42624.5      40841.5    0.0436573
      99.0000      40698.6      40841.5  -0.00349889
      102.000      42167.8      40841.5    0.0324736
      105.000      40620.1      40841.5  -0.00542140
      108.000      39705.4      40841.5   -0.0278183
      111.000      38225.9      40841.5   -0.0640431
      114.000      38230.0      40841.5   -0.0639414
      117.000      37273.5      40841.5   -0.0873624
      120.000      38121.8      40841.5   -0.0665918
      123.000      37963.7      40841.5   -0.0704625
      126.000      38563.2      40841.5   -0.0557839
      129.000      39813.9      40841.5   -0.0251595
      132.000      40280.5      40841.5   -0.0137372
      135.000      40638.5      40841.5  -0.00497130
      138.000      43385.2      40841.5    0.0622813
      141.000      41596.8      40841.5    0.0184927
      144.000      41325.1      40841.5    0.0118404
      147.000      40633.8      40841.5  -0.00508537
      150.000      39813.6      40841.5   -0.0251674
      153.000      37484.1      40841.5   -0.0822049
      156.000      38043.4      40841.5   -0.0685109
      159.000      39057.2      40841.5   -0.0436895
      162.000      39553.4      40841.5   -0.0315378
      165.000      40490.9      40841.5  -0.00858342
      168.000      41879.0      40841.5    0.0254035
      171.000      44254.1      40841.5    0.0835575
      174.000      44404.1      40841.5    0.0872306
      177.000      51315.4      40841.5     0.256453
      180.000      48627.9      40841.5     0.190650
      183.000      44206.8      40841.5    0.0823988
      186.000      47921.3      40841.5     0.173349
      189.000      47539.8      40841.5     0.164007
      192.000      45577.0      40841.5     0.115948
      195.000      44872.2      40841.5    0.0986925
      198.000      45432.7      40841.5     0.112416
      201.000      44680.0      40841.5    0.0939860
      204.000      42689.4      40841.5    0.0452464
      207.000      42100.5      40841.5    0.0308273
      210.000      41181.6      40841.5   0.00832709
      213.000      39489.1      40841.5   -0.0331141
      216.000      39597.8      40841.5   -0.0304528
      219.000      40855.6      40841.5  0.000346178
      222.000      42852.0      40841.5    0.0492267
      225.000      41022.3      40841.5   0.00442669
      228.000      42338.2      40841.5    0.0366474
      231.000      41178.6      40841.5   0.00825501
      234.000      39879.1      40841.5   -0.0235647
      237.000      37467.6      40841.5   -0.0826093
      240.000      37791.7      40841.5   -0.0746743
      243.000      36361.6      40841.5    -0.109690
      246.000      36209.1      40841.5    -0.113424
      249.000      34962.2      40841.5    -0.143953
      252.000      35262.1      40841.5    -0.136612
      255.000      36036.1      40841.5    -0.117660
      258.000      36369.3      40841.5    -0.109502
      261.000      37476.0      40841.5   -0.0824051
      264.000      39799.2      40841.5   -0.0255202
      267.000      40206.7      40841.5   -0.0155420
      270.000      40938.4      40841.5   0.00237361
      273.000      41404.6      40841.5    0.0137869
      276.000      42624.5      40841.5    0.0436578
      279.000      40698.6      40841.5  -0.00349797
      282.000      42167.8      40841.5    0.0324737
      285.000      40620.1      40841.5  -0.00542039
      288.000      39705.4      40841.5   -0.0278179
      291.000      38225.9      40841.5   -0.0640436
      294.000      38230.1      40841.5   -0.0639402
      297.000      37273.5      40841.5   -0.0873616
      300.000      38121.8      40841.5   -0.0665924
      303.000      37963.6      40841.5   -0.0704655
      306.000      38563.2      40841.5   -0.0557834
      309.000      39814.0      40841.5   -0.0251590
      312.000      40280.4      40841.5   -0.0137387
      315.000      40638.3      40841.5  -0.00497484
      318.000      43385.2      40841.5    0.0622826
      321.000      41596.8      40841.5    0.0184925
      324.000      41325.1      40841.5    0.0118402
      327.000      40633.7      40841.5  -0.00508751
      330.000      39813.6      40841.5   -0.0251689
      333.000      37484.2      40841.5   -0.0822041
      336.000      38043.4      40841.5   -0.0685107
      339.000      39057.2      40841.5   -0.0436886
      342.000      39553.4      40841.5   -0.0315393
      345.000      40491.0      40841.5  -0.00858284
      348.000      41879.0      40841.5    0.0254030
      351.000      44254.1      40841.5    0.0835578
      354.000      44404.1      40841.5    0.0872307
      357.000      51315.5      40841.5     0.256454
       4     120      19.5900      21.2000      1.00000      0.00000
      0.00000      52344.5      44706.7     0.170844
      3.00000      50309.3      44706.7     0.125321
      6.00000      49513.6      44706.7     0.107523
      9.00000      48308.9      44706.7    0.0805747
      12.0000      49047.9      44706.7    0.0971045
      15.0000      47833.7      44706.7    0.0699459
      18.0000      46956.4      44706.7    0.0503232
      21.0000      45139.2      44706.7   0.00967406
      24.0000      43791.5      44706.7   -0.0204703
      27.0000      42112.8      44706.7   -0.0580201
      30.0000      41818.7      44706.7   -0.0645979
      33.0000      42387.2      44706.7   -0.0518812
      36.0000      44282.3      44706.7  -0.00949136
      39.0000      43551.3      44706.7   -0.0258432
      42.0000      43644.2      44706.7   -0.0237662
      45.0000      43598.1      44706.7   -0.0247959
      48.0000      43347.0      44706.7   -0.0304120
      51.0000      44131.5      44706.7   -0.0128657
      54.0000      47354.2      44706.7    0.0592211
      57.0000      48755.1      44706.7    0.0905547
      60.0000      47311.6      44706.7    0.0582679
      63.0000      44957.4      44706.7   0.00560909
      66.0000      43929.6      44706.7   -0.0173820
      69.0000      41211.3      44706.7   -0.0781837
      72.0000      38808.7      44706.7    -0.131925
      75.0000      38618.9      44706.7    -0.136171
      78.0000      40054.5      44706.7    -0.104059
      81.0000      41152.0      44706.7   -0.0795107
      84.0000      40880.7      44706.7   -0.0855789
      87.0000      45088.8      44706.7   0.00854845
      90.0000      47324.3      44706.7    0.0585506
      93.0000      49386.5      44706.7     0.104679
      96.0000      48192.3      44706.7    0.0779675
      99.0000      51180.1      44706.7     0.144797
      102.000      47311.3      44706.7    0.0582603
      105.000      46451.4      44706.7    0.0390269
      108.000      43190.9      44706.7   -0.0339036
      111.000      41676.3      44706.7   -0.0677830
      114.000      38431.7      44706.7    -0.140360
      117.000      37086.0      44706.7    -0.170459
      120.000      37774.4      44706.7    -0.155060
      123.000      38646.8      44706.7    -0.135547
      126.000      41673.4      44706.7   -0.0678490
      129.000      43980.5      44706.7   -0.0162422
      132.000      46357.8      44706.7    0.0369333
      135.000      46180.0      44706.7    0.0329555
      138.000      47242.9      44706.7    0.0567305
