Phi	Col1	Col2	Theta	Intensity
41.0	135635.0	135215.0	33.0	0.00310422
44.0	135910.0	135215.0	33.0	0.00514219
47.0	136037.0	135215.0	33.0	0.00608037
50.0	135424.0	135215.0	33.0	0.00154598
53.0	134981.0	135215.0	33.0	-0.00173357
56.0	134423.0	135215.0	33.0	-0.00585995
59.0	134769.0	135215.0	33.0	-0.00329596
62.0	134307.0	135215.0	33.0	-0.00671638
65.0	134256.0	135215.0	33.0	-0.00709316
68.0	133013.0	135215.0	33.0	-0.0162868
71.0	133626.0	135215.0	33.0	-0.0117515
74.0	133908.0	135215.0	33.0	-0.00966497
77.0	136283.0	135215.0	33.0	0.00790087
80.0	136324.0	135215.0	33.0	0.00819874
83.0	136851.0	135215.0	33.0	0.0120975
86.0	136481.0	135215.0	33.0	0.00935983
89.0	137343.0	135215.0	33.0	0.0157393
92.0	137288.0	135215.0	33.0	0.0153283
95.0	137056.0	135215.0	33.0	0.0136182
98.0	136400.0	135215.0	33.0	0.0087607
101.0	135480.0	135215.0	33.0	0.00196004
104.0	134692.0	135215.0	33.0	-0.00386855
107.0	133293.0	135215.0	33.0	-0.0142139
110.0	132943.0	135215.0	33.0	-0.0168031
113.0	133501.0	135215.0	33.0	-0.0126759
116.0	133824.0	135215.0	33.0	-0.0102896
119.0	134420.0	135215.0	33.0	-0.00588187
122.0	134527.0	135215.0	33.0	-0.00509079
125.0	135477.0	135215.0	33.0	0.00193944
128.0	136313.0	135215.0	33.0	0.00811951
131.0	136882.0	135215.0	33.0	0.0123292
41.0	138032.0	138416.0	36.0	-0.00277182
44.0	138518.0	138416.0	36.0	0.000734941
47.0	139250.0	138416.0	36.0	0.00602425
50.0	138735.0	138416.0	36.0	0.0023029
53.0	138956.0	138416.0	36.0	0.00389867
56.0	138769.0	138416.0	36.0	0.00254928
59.0	138316.0	138416.0	36.0	-0.000721327
62.0	137406.0	138416.0	36.0	-0.00729748
65.0	136963.0	138416.0	36.0	-0.0104961
68.0	137162.0	138416.0	36.0	-0.00905701
71.0	137726.0	138416.0	36.0	-0.00498852
74.0	137598.0	138416.0	36.0	-0.00590649
77.0	138395.0	138416.0	36.0	-0.000153941
80.0	139193.0	138416.0	36.0	0.00561576
83.0	140040.0	138416.0	36.0	0.0117363
86.0	140276.0	138416.0	36.0	0.0134353
89.0	139883.0	138416.0	36.0	0.0105964
92.0	139345.0	138416.0	36.0	0.00671102
95.0	138528.0	138416.0	36.0	0.000808993
98.0	137875.0	138416.0	36.0	-0.00391198
101.0	137358.0	138416.0	36.0	-0.00764267
104.0	137267.0	138416.0	36.0	-0.00830404
107.0	137819.0	138416.0	36.0	-0.00431323
110.0	138339.0	138416.0	36.0	-0.000559515
113.0	138358.0	138416.0	36.0	-0.000417569
116.0	138514.0	138416.0	36.0	0.000710019
119.0	138346.0	138416.0	36.0	-0.000505126
122.0	138736.0	138416.0	36.0	0.00230884
125.0	137560.0	138416.0	36.0	-0.00618663
128.0	137978.0	138416.0	36.0	-0.00316186
131.0	139657.0	138416.0	36.0	0.00896798
41.0	136588.0	139383.0	39.0	-0.0200556
44.0	139909.0	139383.0	39.0	0.00377254
47.0	141265.0	139383.0	39.0	0.0134994
50.0	141317.0	139383.0	39.0	0.0138748
53.0	140985.0	139383.0	39.0	0.0114909
56.0	140381.0	139383.0	39.0	0.00715666
59.0	139420.0	139383.0	39.0	0.000265427
62.0	138189.0	139383.0	39.0	-0.00856438
65.0	137506.0	139383.0	39.0	-0.0134683
68.0	137346.0	139383.0	39.0	-0.0146136
71.0	137312.0	139383.0	39.0	-0.0148625
74.0	138344.0	139383.0	39.0	-0.00745838
77.0	139591.0	139383.0	39.0	0.00149449
80.0	139247.0	139383.0	39.0	-0.000977098
83.0	139417.0	139383.0	39.0	0.000245001
86.0	140126.0	139383.0	39.0	0.0053324
89.0	142073.0	139383.0	39.0	0.0193002
92.0	141530.0	139383.0	39.0	0.0154028
95.0	140610.0	139383.0	39.0	0.00880494
98.0	139222.0	139383.0	39.0	-0.00115731
101.0	139289.0	139383.0	39.0	-0.000678557
