      20    2400    0     datakind beginning-row linenumbers
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
angle-resolved photoemission extended fine structure (ARPEFS)
experimental data for Fe 2p3/2 from Fe on STO(100)  excited with hv=1810eV
provided by Pancotti et al. (LNLS in 9, June 2010)
   intial angular momentum (l) = 1
   photon polarization angle (polar,azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K
   photoemission angular scan curves
     (20 2400 12.2000)
      20     2400       1       20     120     2400
       1     120       19.5900     12.2000      1.00000      0.00000
      1.00000      38556.70      36356.40      0.060520
      4.00000      38016.30      36356.40      0.045654
      7.00000      39019.80      36356.40      0.073258
      10.00000      39051.50      36356.40      0.074129
      13.00000      36723.10      36356.40      0.010084
      16.00000      38633.10      36356.40      0.062621
      19.00000      39744.90      36356.40      0.093202
      22.00000      39854.80      36356.40      0.096224
      25.00000      38655.20      36356.40      0.063229
      28.00000      37538.60      36356.40      0.032517
      31.00000      38172.50      36356.40      0.049953
      34.00000      37165.90      36356.40      0.022264
      37.00000      37547.80      36356.40      0.032769
      40.00000      37203.60      36356.40      0.023302
      43.00000      38170.70      36356.40      0.049903
      46.00000      37286.70      36356.40      0.025587
      49.00000      36599.30      36356.40      0.006680
      52.00000      35345.00      36356.40      -0.027818
      55.00000      35559.50      36356.40      -0.021919
      58.00000      34400.60      36356.40      -0.053795
      61.00000      34376.70      36356.40      -0.054454
      64.00000      35577.90      36356.40      -0.021412
      67.00000      35412.00      36356.40      -0.025978
      70.00000      34585.00      36356.40      -0.048723
      73.00000      34644.50      36356.40      -0.047086
      76.00000      34256.30      36356.40      -0.057766
      79.00000      33325.20      36356.40      -0.083375
      82.00000      35037.20      36356.40      -0.036285
      85.00000      36271.70      36356.40      -0.002329
      88.00000      36926.50      36356.40      0.015679
      92.00000      36926.50      36356.40      0.015679
      95.00000      36271.70      36356.40      -0.002329
      98.00000      35037.20      36356.40      -0.036285
      101.00000      33325.20      36356.40      -0.083375
      104.00000      34256.30      36356.40      -0.057766
      107.00000      34644.50      36356.40      -0.047086
      110.00000      34585.00      36356.40      -0.048723
      113.00000      35412.00      36356.40      -0.025978
      116.00000      35577.90      36356.40      -0.021412
      119.00000      34376.70      36356.40      -0.054454
      122.00000      34400.60      36356.40      -0.053795
      125.00000      35559.50      36356.40      -0.021919
      128.00000      35345.00      36356.40      -0.027818
      131.00000      36599.30      36356.40      0.006680
      134.00000      37286.70      36356.40      0.025587
      137.00000      38170.70      36356.40      0.049903
      140.00000      37203.60      36356.40      0.023302
      143.00000      37547.80      36356.40      0.032769
      146.00000      37165.90      36356.40      0.022264
      149.00000      38172.50      36356.40      0.049953
      152.00000      37538.60      36356.40      0.032517
      155.00000      38655.20      36356.40      0.063229
      158.00000      39854.80      36356.40      0.096224
      161.00000      39744.90      36356.40      0.093202
      164.00000      38633.10      36356.40      0.062621
      167.00000      36723.10      36356.40      0.010084
      170.00000      39051.50      36356.40      0.074129
      173.00000      39019.80      36356.40      0.073258
      176.00000      38016.30      36356.40      0.045654
      179.00000      38556.70      36356.40      0.060520
      181.00000      38556.70      36356.40      0.060520
      184.00000      38016.30      36356.40      0.045654
      187.00000      39019.80      36356.40      0.073258
      190.00000      39051.50      36356.40      0.074129
      193.00000      36723.10      36356.40      0.010084
      196.00000      38633.10      36356.40      0.062621
      199.00000      39744.90      36356.40      0.093202
      202.00000      39854.80      36356.40      0.096224
      205.00000      38655.20      36356.40      0.063229
      208.00000      37538.60      36356.40      0.032517
      211.00000      38172.50      36356.40      0.049953
      214.00000      37165.90      36356.40      0.022264
      217.00000      37547.80      36356.40      0.032769
      220.00000      37203.60      36356.40      0.023302
      223.00000      38170.70      36356.40      0.049903
      226.00000      37286.70      36356.40      0.025587
      229.00000      36599.30      36356.40      0.006680
      232.00000      35345.00      36356.40      -0.027818
      235.00000      35559.50      36356.40      -0.021919
      238.00000      34400.60      36356.40      -0.053795
      241.00000      34376.70      36356.40      -0.054454
      244.00000      35577.90      36356.40      -0.021412
      247.00000      35412.00      36356.40      -0.025978
      250.00000      34585.00      36356.40      -0.048723
      253.00000      34644.50      36356.40      -0.047086
      256.00000      34256.30      36356.40      -0.057766
      259.00000      33325.20      36356.40      -0.083375
      262.00000      35037.20      36356.40      -0.036285
      265.00000      36271.70      36356.40      -0.002329
      268.00000      36926.50      36356.40      0.015679
      272.00000      36926.50      36356.40      0.015679
      275.00000      36271.70      36356.40      -0.002329
      278.00000      35037.20      36356.40      -0.036285
      281.00000      33325.20      36356.40      -0.083375
      284.00000      34256.30      36356.40      -0.057766
      287.00000      34644.50      36356.40      -0.047086
      290.00000      34585.00      36356.40      -0.048723
      293.00000      35412.00      36356.40      -0.025978
      296.00000      35577.90      36356.40      -0.021412
      299.00000      34376.70      36356.40      -0.054454
      302.00000      34400.60      36356.40      -0.053795
      305.00000      35559.50      36356.40      -0.021919
      308.00000      35345.00      36356.40      -0.027818
      311.00000      36599.30      36356.40      0.006680
