   323    17    0     datakind beginning-row linenumbers
----------------------------------------------------------------
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
angle-resolved photoemission extended fine structure (ARPEFS)
experimental data for Pd 3d3/2 from W(100) excited with hv=1810eV

provided by Pancotti et al. (LNLS in 12, June 2007)
   intial angular momentum (l) = 2
   photon polarization angle (polar,azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K

   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      20    2400       1      20     120    2400
       1     120      19.5900      12.2000      1.00000      0.00000
      0.00000      39051.5      36356.4    0.0741293
      3.00000      36723.1      36356.4    0.0100845
      6.00000      38633.1      36356.4    0.0626213
      9.00000      39744.9      36356.4    0.0932017
      12.00000      39854.8      36356.4    0.0962242
      15.00000      38655.2      36356.4    0.0632288
      18.00000      37538.6      36356.4    0.0325164
      21.00000      38172.5      36356.4    0.0499534
      24.00000      37165.9      36356.4    0.0222639
      27.00000      37547.8      36356.4    0.0327700
      30.00000      37203.6      36356.4    0.0233023
      33.00000      38170.7      36356.4    0.0499035
      36.00000      37286.7      36356.4    0.0255868
      39.00000      36599.3      36356.4    0.0066803
      42.00000      35345.0      36356.4    -0.0278188
      45.00000      35559.6      36356.4    -0.0219183
      48.00000      34400.6      36356.4    -0.0537960
      51.00000      34376.7      36356.4    -0.0544538
      54.00000      35577.9      36356.4    -0.0214130
      57.00000      35412.0      36356.4    -0.0259777
      60.00000      34585.0      36356.4    -0.0487233
      63.00000      34644.5      36356.4    -0.0470865
      66.00000      34256.3      36356.4    -0.0577660
      69.00000      33325.2      36356.4    -0.0833750
      72.00000      35037.3      36356.4    -0.0362843
      75.00000      36271.7      36356.4    -0.0023299
      78.00000      36926.4      36356.4    0.0156787
      81.00000      36642.9      36356.4    0.0078796
      84.00000      37873.7      36356.4    0.0417339
      87.00000      37150.6      36356.4    0.0218444
      90.00000      37707.6      36356.4    0.0371660
      93.00000      37150.6      36356.4    0.0218444
      96.00000      37873.7      36356.4    0.0417339
      99.00000      36642.9      36356.4    0.0078796
      102.00000      36926.4      36356.4    0.0156787
      105.00000      36271.7      36356.4    -0.0023299
      108.00000      35037.3      36356.4    -0.0362843
      111.00000      33325.2      36356.4    -0.0833750
      114.00000      34256.3      36356.4    -0.0577660
      117.00000      34644.5      36356.4    -0.0470865
      120.00000      34585.0      36356.4    -0.0487233
      123.00000      35412.0      36356.4    -0.0259777
      126.00000      35577.9      36356.4    -0.0214130
      129.00000      34376.7      36356.4    -0.0544538
      132.00000      34400.6      36356.4    -0.0537960
      135.00000      35559.6      36356.4    -0.0219183
      138.00000      35345.0      36356.4    -0.0278188
      141.00000      36599.3      36356.4    0.0066803
      144.00000      37286.7      36356.4    0.0255868
      147.00000      38170.7      36356.4    0.0499035
      150.00000      37203.6      36356.4    0.0233023
      153.00000      37547.8      36356.4    0.0327700
      156.00000      37165.9      36356.4    0.0222639
      159.00000      38172.5      36356.4    0.0499534
      162.00000      37538.6      36356.4    0.0325164
      165.00000      38655.2      36356.4    0.0632288
      168.00000      39854.8      36356.4    0.0962242
      171.00000      39744.9      36356.4    0.0932017
      174.00000      38633.1      36356.4    0.0626213
      177.00000      36723.1      36356.4    0.0100845
      180.00000      39051.5      36356.4    0.0741293
      183.00000      36723.1      36356.4    0.0100845
      186.00000      38633.1      36356.4    0.0626213
      189.00000      39744.9      36356.4    0.0932017
      192.00000      39854.8      36356.4    0.0962242
      195.00000      38655.2      36356.4    0.0632288
      198.00000      37538.6      36356.4    0.0325164
      201.00000      38172.5      36356.4    0.0499534
      204.00000      37165.9      36356.4    0.0222639
      207.00000      37547.8      36356.4    0.0327700
      210.00000      37203.6      36356.4    0.0233023
      213.00000      38170.7      36356.4    0.0499035
      216.00000      37286.7      36356.4    0.0255868
      219.00000      36599.3      36356.4    0.0066803
      222.00000      35345.0      36356.4    -0.0278188
      225.00000      35559.6      36356.4    -0.0219183
      228.00000      34400.6      36356.4    -0.0537960
      231.00000      34376.7      36356.4    -0.0544538
      234.00000      35577.9      36356.4    -0.0214130
      237.00000      35412.0      36356.4    -0.0259777
      240.00000      34585.0      36356.4    -0.0487233
      243.00000      34644.5      36356.4    -0.0470865
      246.00000      34256.3      36356.4    -0.0577660
      249.00000      33325.2      36356.4    -0.0833750
      252.00000      35037.3      36356.4    -0.0362843
      255.00000      36271.7      36356.4    -0.0023299
      258.00000      36926.4      36356.4    0.0156787
      261.00000      36642.9      36356.4    0.0078796
      264.00000      37873.7      36356.4    0.0417339
      267.00000      37150.6      36356.4    0.0218444
      270.00000      37707.6      36356.4    0.0371660
      273.00000      37150.6      36356.4    0.0218444
      276.00000      37873.7      36356.4    0.0417339
      279.00000      36642.9      36356.4    0.0078796
      282.00000      36926.4      36356.4    0.0156787
      285.00000      36271.7      36356.4    -0.0023299
      288.00000      35037.3      36356.4    -0.0362843
      291.00000      33325.2      36356.4    -0.0833750
      294.00000      34256.3      36356.4    -0.0577660
      297.00000      34644.5      36356.4    -0.0470865
      300.00000      34585.0      36356.4    -0.0487233
      303.00000      35412.0      36356.4    -0.0259777
      306.00000      35577.9      36356.4    -0.0214130
      309.00000      34376.7      36356.4    -0.0544538
      312.00000      34400.6      36356.4    -0.0537960
      315.00000      35559.6      36356.4    -0.0219183
      318.00000      35345.0      36356.4    -0.0278188
      321.00000      36599.3      36356.4    0.0066803
      324.00000      37286.7      36356.4    0.0255868
      327.00000      38170.7      36356.4    0.0499035
      330.00000      37203.6      36356.4    0.0233023
      333.00000      37547.8      36356.4    0.0327700
      336.00000      37165.9      36356.4    0.0222639
      339.00000      38172.5      36356.4    0.0499534
      342.00000      37538.6      36356.4    0.0325164
      345.00000      38655.2      36356.4    0.0632288
      348.00000      39854.8      36356.4    0.0962242
      351.00000      39744.9      36356.4    0.0932017
      354.00000      38633.1      36356.4    0.0626213
      357.00000      36723.1      36356.4    0.0100845
      360.00000      39051.5      36356.4    0.0741293

      20    2400       1      20     120    2400
       1     120      19.5900      12.2000      1.00000      0.00000
      0.00000      37403.7      34729.1    0.0770112
      3.00000      38948.7      34729.1    0.1214990
      6.00000      39239.5      34729.1    0.1298730
      9.00000      39226.6      34729.1    0.1295010
      12.00000      39311.4      34729.1    0.1319440
      15.00000      37959.9      34729.1    0.0930282
      18.00000      36970.7      34729.1    0.0645443
      21.00000      35894.2      34729.1    0.0335476
      24.00000      35174.6      34729.1    0.0128268
      27.00000      34005.6      34729.1    -0.0208323
      30.00000      33774.4      34729.1    -0.0274911
      33.00000      33713.7      34729.1    -0.0292386
      36.00000      34218.3      34729.1    -0.0147103
      39.00000      34567.0      34729.1    -0.0046688
      42.00000      34853.0      34729.1    0.0035654
      45.00000      34579.6      34729.1    -0.0043046
      48.00000      34355.8      34729.1    -0.0107490
      51.00000      33764.8      34729.1    -0.0277667
      54.00000      32506.2      34729.1    -0.0640074
      57.00000      31740.5      34729.1    -0.0860553
      60.00000      31998.1      34729.1    -0.0786391
      63.00000      31549.3      34729.1    -0.0915597
      66.00000      31052.8      34729.1    -0.1058580
      69.00000      31585.8      34729.1    -0.0905098
      72.00000      31851.9      34729.1    -0.0828482
      75.00000      31483.0      34729.1    -0.0934694
      78.00000      33136.2      34729.1    -0.0458683
      81.00000      35098.7      34729.1    0.0106422
      84.00000      36060.8      34729.1    0.0383458
      87.00000      37179.3      34729.1    0.0705513
      90.00000      37951.6      34729.1    0.0927894
      93.00000      37179.3      34729.1    0.0705513
      96.00000      36060.8      34729.1    0.0383458
      99.00000      35098.7      34729.1    0.0106422
      102.00000      33136.2      34729.1    -0.0458683
      105.00000      31483.0      34729.1    -0.0934694
      108.00000      31851.9      34729.1    -0.0828482
      111.00000      31585.8      34729.1    -0.0905098
      114.00000      31052.8      34729.1    -0.1058580
      117.00000      31549.3      34729.1    -0.0915597
      120.00000      31998.1      34729.1    -0.0786391
      123.00000      31740.5      34729.1    -0.0860553
      126.00000      32506.2      34729.1    -0.0640074
      129.00000      33764.8      34729.1    -0.0277667
      132.00000      34355.8      34729.1    -0.0107490
      135.00000      34579.6      34729.1    -0.0043046
      138.00000      34853.0      34729.1    0.0035654
      141.00000      34567.0      34729.1    -0.0046688
      144.00000      34218.3      34729.1    -0.0147103
      147.00000      33713.7      34729.1    -0.0292386
      150.00000      33774.4      34729.1    -0.0274911
      153.00000      34005.6      34729.1    -0.0208323
      156.00000      35174.6      34729.1    0.0128268
      159.00000      35894.2      34729.1    0.0335476
      162.00000      36970.7      34729.1    0.0645443
      165.00000      37959.9      34729.1    0.0930282
      168.00000      39311.4      34729.1    0.1319440
      171.00000      39226.6      34729.1    0.1295010
      174.00000      39239.5      34729.1    0.1298730
      177.00000      38948.7      34729.1    0.1214990
      180.00000      37403.7      34729.1    0.0770112
      183.00000      38948.7      34729.1    0.1214990
      186.00000      39239.5      34729.1    0.1298730
      189.00000      39226.6      34729.1    0.1295010
      192.00000      39311.4      34729.1    0.1319440
      195.00000      37959.9      34729.1    0.0930282
      198.00000      36970.7      34729.1    0.0645443
      201.00000      35894.2      34729.1    0.0335476
      204.00000      35174.6      34729.1    0.0128268
      207.00000      34005.6      34729.1    -0.0208323
      210.00000      33774.4      34729.1    -0.0274911
      213.00000      33713.7      34729.1    -0.0292386
      216.00000      34218.3      34729.1    -0.0147103
      219.00000      34567.0      34729.1    -0.0046688
      222.00000      34853.0      34729.1    0.0035654
      225.00000      34579.6      34729.1    -0.0043046
      228.00000      34355.8      34729.1    -0.0107490
      231.00000      33764.8      34729.1    -0.0277667
      234.00000      32506.2      34729.1    -0.0640074
      237.00000      31740.5      34729.1    -0.0860553
      240.00000      31998.1      34729.1    -0.0786391
      243.00000      31549.3      34729.1    -0.0915597
      246.00000      31052.8      34729.1    -0.1058580
      249.00000      31585.8      34729.1    -0.0905098
      252.00000      31851.9      34729.1    -0.0828482
      255.00000      31483.0      34729.1    -0.0934694
      258.00000      33136.2      34729.1    -0.0458683
      261.00000      35098.7      34729.1    0.0106422
      264.00000      36060.8      34729.1    0.0383458
      267.00000      37179.3      34729.1    0.0705513
      270.00000      37951.6      34729.1    0.0927894
      273.00000      37179.3      34729.1    0.0705513
      276.00000      36060.8      34729.1    0.0383458
      279.00000      35098.7      34729.1    0.0106422
      282.00000      33136.2      34729.1    -0.0458683
      285.00000      31483.0      34729.1    -0.0934694
      288.00000      31851.9      34729.1    -0.0828482
      291.00000      31585.8      34729.1    -0.0905098
      294.00000      31052.8      34729.1    -0.1058580
      297.00000      31549.3      34729.1    -0.0915597
      300.00000      31998.1      34729.1    -0.0786391
      303.00000      31740.5      34729.1    -0.0860553
      306.00000      32506.2      34729.1    -0.0640074
      309.00000      33764.8      34729.1    -0.0277667
      312.00000      34355.8      34729.1    -0.0107490
      315.00000      34579.6      34729.1    -0.0043046
      318.00000      34853.0      34729.1    0.0035654
      321.00000      34567.0      34729.1    -0.0046688
      324.00000      34218.3      34729.1    -0.0147103
      327.00000      33713.7      34729.1    -0.0292386
      330.00000      33774.4      34729.1    -0.0274911
      333.00000      34005.6      34729.1    -0.0208323
      336.00000      35174.6      34729.1    0.0128268
      339.00000      35894.2      34729.1    0.0335476
      342.00000      36970.7      34729.1    0.0645443
      345.00000      37959.9      34729.1    0.0930282
      348.00000      39311.4      34729.1    0.1319440
      351.00000      39226.6      34729.1    0.1295010
      354.00000      39239.5      34729.1    0.1298730
      357.00000      38948.7      34729.1    0.1214990
      360.00000      37403.7      34729.1    0.0770112

      20    2400       1      20     120    2400
       1     120      19.5900      12.2000      1.00000      0.00000
      0.00000      48627.9      40841.5    0.1906500
      3.00000      44206.8      40841.5    0.0823992
      6.00000      47921.3      40841.5    0.1733490
      9.00000      47539.8      40841.5    0.1640060
      12.00000      45577.0      40841.5    0.1159480
      15.00000      44872.2      40841.5    0.0986918
      18.00000      45432.7      40841.5    0.1124150
      21.00000      44680.0      40841.5    0.0939861
      24.00000      42689.4      40841.5    0.0452456
      27.00000      42100.6      40841.5    0.0308281
      30.00000      41181.6      40841.5    0.0083267
      33.00000      39489.1      40841.5    -0.0331135
      36.00000      39597.7      40841.5    -0.0304538
      39.00000      40855.7      40841.5    0.0003478
      42.00000      42851.9      40841.5    0.0492256
      45.00000      41022.3      40841.5    0.0044270
      48.00000      42338.2      40841.5    0.0366464
      51.00000      41178.6      40841.5    0.0082549
      54.00000      39879.0      40841.5    -0.0235666
      57.00000      37467.6      40841.5    -0.0826094
      60.00000      37791.6      40841.5    -0.0746757
      63.00000      36361.5      40841.5    -0.1096920
      66.00000      36209.0      40841.5    -0.1134260
      69.00000      34962.2      40841.5    -0.1439540
      72.00000      35262.1      40841.5    -0.1366120
      75.00000      36036.1      40841.5    -0.1176600
      78.00000      36369.3      40841.5    -0.1095020
      81.00000      37475.9      40841.5    -0.0824052
      84.00000      39799.2      40841.5    -0.0255203
      87.00000      40206.7      40841.5    -0.0155430
      90.00000      40938.4      40841.5    0.0023732
      93.00000      40206.7      40841.5    -0.0155430
      96.00000      39799.2      40841.5    -0.0255203
      99.00000      37475.9      40841.5    -0.0824052
      102.00000      36369.3      40841.5    -0.1095020
      105.00000      36036.1      40841.5    -0.1176600
      108.00000      35262.1      40841.5    -0.1366120
      111.00000      34962.2      40841.5    -0.1439540
      114.00000      36209.0      40841.5    -0.1134260
      117.00000      36361.5      40841.5    -0.1096920
      120.00000      37791.6      40841.5    -0.0746757
      123.00000      37467.6      40841.5    -0.0826094
      126.00000      39879.0      40841.5    -0.0235666
      129.00000      41178.6      40841.5    0.0082549
      132.00000      42338.2      40841.5    0.0366464
      135.00000      41022.3      40841.5    0.0044270
      138.00000      42851.9      40841.5    0.0492256
      141.00000      40855.7      40841.5    0.0003478
      144.00000      39597.7      40841.5    -0.0304538
      147.00000      39489.1      40841.5    -0.0331135
      150.00000      41181.6      40841.5    0.0083267
      153.00000      42100.6      40841.5    0.0308281
      156.00000      42689.4      40841.5    0.0452456
      159.00000      44680.0      40841.5    0.0939861
      162.00000      45432.7      40841.5    0.1124150
      165.00000      44872.2      40841.5    0.0986918
      168.00000      45577.0      40841.5    0.1159480
      171.00000      47539.8      40841.5    0.1640060
      174.00000      47921.3      40841.5    0.1733490
      177.00000      44206.8      40841.5    0.0823992
      180.00000      48627.9      40841.5    0.1906500
      183.00000      44206.8      40841.5    0.0823992
      186.00000      47921.3      40841.5    0.1733490
      189.00000      47539.8      40841.5    0.1640060
      192.00000      45577.0      40841.5    0.1159480
      195.00000      44872.2      40841.5    0.0986918
      198.00000      45432.7      40841.5    0.1124150
      201.00000      44680.0      40841.5    0.0939861
      204.00000      42689.4      40841.5    0.0452456
      207.00000      42100.6      40841.5    0.0308281
      210.00000      41181.6      40841.5    0.0083267
      213.00000      39489.1      40841.5    -0.0331135
      216.00000      39597.7      40841.5    -0.0304538
      219.00000      40855.7      40841.5    0.0003478
      222.00000      42851.9      40841.5    0.0492256
      225.00000      41022.3      40841.5    0.0044270
      228.00000      42338.2      40841.5    0.0366464
      231.00000      41178.6      40841.5    0.0082549
      234.00000      39879.0      40841.5    -0.0235666
      237.00000      37467.6      40841.5    -0.0826094
      240.00000      37791.6      40841.5    -0.0746757
      243.00000      36361.5      40841.5    -0.1096920
      246.00000      36209.0      40841.5    -0.1134260
      249.00000      34962.2      40841.5    -0.1439540
      252.00000      35262.1      40841.5    -0.1366120
      255.00000      36036.1      40841.5    -0.1176600
      258.00000      36369.3      40841.5    -0.1095020
      261.00000      37475.9      40841.5    -0.0824052
      264.00000      39799.2      40841.5    -0.0255203
      267.00000      40206.7      40841.5    -0.0155430
      270.00000      40938.4      40841.5    0.0023732
      273.00000      40206.7      40841.5    -0.0155430
      276.00000      39799.2      40841.5    -0.0255203
      279.00000      37475.9      40841.5    -0.0824052
      282.00000      36369.3      40841.5    -0.1095020
      285.00000      36036.1      40841.5    -0.1176600
      288.00000      35262.1      40841.5    -0.1366120
      291.00000      34962.2      40841.5    -0.1439540
      294.00000      36209.0      40841.5    -0.1134260
      297.00000      36361.5      40841.5    -0.1096920
      300.00000      37791.6      40841.5    -0.0746757
      303.00000      37467.6      40841.5    -0.0826094
      306.00000      39879.0      40841.5    -0.0235666
      309.00000      41178.6      40841.5    0.0082549
      312.00000      42338.2      40841.5    0.0366464
      315.00000      41022.3      40841.5    0.0044270
      318.00000      42851.9      40841.5    0.0492256
      321.00000      40855.7      40841.5    0.0003478
      324.00000      39597.7      40841.5    -0.0304538
      327.00000      39489.1      40841.5    -0.0331135
      330.00000      41181.6      40841.5    0.0083267
      333.00000      42100.6      40841.5    0.0308281
      336.00000      42689.4      40841.5    0.0452456
      339.00000      44680.0      40841.5    0.0939861
      342.00000      45432.7      40841.5    0.1124150
      345.00000      44872.2      40841.5    0.0986918
      348.00000      45577.0      40841.5    0.1159480
      351.00000      47539.8      40841.5    0.1640060
      354.00000      47921.3      40841.5    0.1733490
      357.00000      44206.8      40841.5    0.0823992
      360.00000      48627.9      40841.5    0.1906500

      20    2400       1      20     120    2400
       1     120      19.5900      12.2000      1.00000      0.00000
      0.00000      52344.5      44706.7    0.1708440
      3.00000      50309.3      44706.7    0.1253210
      6.00000      49513.6      44706.7    0.1075230
      9.00000      48308.9      44706.7    0.0805747
      12.00000      49047.9      44706.7    0.0971045
      15.00000      47833.7      44706.7    0.0699459
      18.00000      46956.4      44706.7    0.0503232
      21.00000      45139.2      44706.7    0.0096741
      24.00000      43791.5      44706.7    -0.0204703
      27.00000      42112.8      44706.7    -0.0580201
      30.00000      41818.7      44706.7    -0.0645979
      33.00000      42387.2      44706.7    -0.0518812
      36.00000      44282.3      44706.7    -0.0094914
      39.00000      43551.3      44706.7    -0.0258432
      42.00000      43644.2      44706.7    -0.0237662
      45.00000      43598.1      44706.7    -0.0247959
      48.00000      43347.0      44706.7    -0.0304120
      51.00000      44131.5      44706.7    -0.0128657
      54.00000      47354.2      44706.7    0.0592211
      57.00000      48755.1      44706.7    0.0905547
      60.00000      47311.6      44706.7    0.0582679
      63.00000      44957.4      44706.7    0.0056091
      66.00000      43929.6      44706.7    -0.0173820
      69.00000      41211.3      44706.7    -0.0781837
      72.00000      38808.7      44706.7    -0.1319250
      75.00000      38618.9      44706.7    -0.1361710
      78.00000      40054.5      44706.7    -0.1040590
      81.00000      41152.0      44706.7    -0.0795107
      84.00000      40880.7      44706.7    -0.0855789
