   323    17    0     datakind beginning-row linenumbers
----------------------------------------------------------------
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 experimental data for Fe 2p3/2 from Fe on STO(100)  excited with hv=1810eV
 
 provided by Pancotti et al. (LNLS in 9, June 2010) 
   intial angular momentum (l) = 1
   photon polarization angle (polar,azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K
 
   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      14     434       1      14      31     434
       1      31      14.3100      33      1.00000      0.00000
      41.0000      166642.      164758.    0.0114332
      44.0000      165785.      164758.   0.00623518
      47.0000      165359.      164758.   0.00364683
      50.0000      164440.      164758.  -0.00193050
      53.0000      163770.      164758.  -0.00599734
      56.0000      163756.      164758.  -0.00608389
      59.0000      163888.      164758.  -0.00528263
      62.0000      163472.      164758.  -0.00780834
      65.0000      162759.      164758.   -0.0121347
      68.0000      160611.      164758.   -0.0251688
      71.0000      162323.      164758.   -0.0147780
      74.0000      163309.      164758.  -0.00879198
      77.0000      167735.      164758.    0.0180679
      80.0000      168010.      164758.    0.0197382
      83.0000      167935.      164758.    0.0192812
      86.0000      166325.      164758.   0.00950972
      89.0000      166601.      164758.    0.0111889
      92.0000      167190.      164758.    0.0147613
      95.0000      167760.      164758.    0.0182219
      98.0000      167517.      164758.    0.0167482
      101.000      165311.      164758.   0.00335429
      104.000      163194.      164758.  -0.00949535
      107.000      161070.      164758.   -0.0223824
      110.000      161435.      164758.   -0.0201672
      113.000      162803.      164758.   -0.0118643
      116.000      163008.      164758.   -0.0106245
      119.000      163664.      164758.  -0.00664184
      122.000      162790.      164758.   -0.0119466
      125.000      164555.      164758.  -0.00123367
      128.000      166023.      164758.   0.00767900
      131.000      168459.      164758.    0.0224610
       2      31      14.3100      36      1.00000      0.00000
      41.0000      166961.      168351.  -0.00825694
      44.0000      168756.      168351.   0.00241094
      47.0000      170326.      168351.    0.0117335
      50.0000      169314.      168351.   0.00572372
      53.0000      168454.      168351.  0.000611391
      56.0000      167991.      168351.  -0.00213820
      59.0000      168379.      168351.  0.000169348
      62.0000      168725.      168351.   0.00222536
      65.0000      167427.      168351.  -0.00548576
      68.0000      166071.      168351.   -0.0135383
      71.0000      165786.      168351.   -0.0152361
      74.0000      167136.      168351.  -0.00721559
      77.0000      168111.      168351.  -0.00142180
      80.0000      169439.      168351.   0.00646417
      83.0000      169575.      168351.   0.00727555
      86.0000      170235.      168351.    0.0111923
      89.0000      169980.      168351.   0.00968108
      92.0000      169969.      168351.   0.00961101
      95.0000      169720.      168351.   0.00813361
      98.0000      169103.      168351.   0.00447114
      101.000      167260.      168351.  -0.00648039
      104.000      166287.      168351.   -0.0122585
      107.000      167283.      168351.  -0.00634450
      110.000      168639.      168351.   0.00171421
      113.000      168271.      168351. -0.000471458
      116.000      168160.      168351.  -0.00113113
      119.000      168132.      168351.  -0.00130111
      122.000      169019.      168351.   0.00396743
      125.000      166129.      168351.   -0.0131964
      128.000      166842.      168351.  -0.00896036
      131.000      171392.      168351.    0.0180638
       3      31      14.3100      39      1.00000      0.00000
      41.0000      165785.      169683.   -0.0229714
      44.0000      170009.      169683.   0.00192112
      47.0000      172293.      169683.    0.0153796
      50.0000      172642.      169683.    0.0174396
      53.0000      171994.      169683.    0.0136181
      56.0000      170917.      169683.   0.00727225
      59.0000      169606.      169683. -0.000456706
      62.0000      167925.      169683.   -0.0103643
      65.0000      167675.      169683.   -0.0118334
      68.0000      167858.      169683.   -0.0107588
      71.0000      168277.      169683.  -0.00828893
      74.0000      167726.      169683.   -0.0115372
      77.0000      169448.      169683.  -0.00138542
      80.0000      167834.      169683.   -0.0109013
      83.0000      168935.      169683.  -0.00441273
      86.0000      170051.      169683.   0.00216774
      89.0000      173172.      169683.    0.0205583
      92.0000      172654.      169683.    0.0175077
      95.0000      171540.      169683.    0.0109406
      98.0000      170600.      169683.   0.00540114
      101.000      170757.      169683.   0.00632637
      104.000      169653.      169683. -0.000180369
      107.000      167796.      169683.   -0.0111228
      110.000      167881.      169683.   -0.0106188
      113.000      168883.      169683.  -0.00471655
      116.000      170420.      169683.   0.00434209
      119.000      169935.      169683.   0.00148301
      122.000      168239.      169683.  -0.00851076
      125.000      168510.      169683.  -0.00691262
      128.000      169676.      169683. -4.42977e-05
      131.000      171491.      169683.    0.0106562
       4      31      14.3100      42      1.00000      0.00000
      41.0000      175955.      172074.    0.0225575
      44.0000      173015.      172074.   0.00547260
      47.0000      171382.      172074.  -0.00402115
      50.0000      171051.      172074.  -0.00594610
      53.0000      169537.      172074.   -0.0147432
      56.0000      169441.      172074.   -0.0152976
      59.0000      169083.      172074.   -0.0173782
      62.0000      171798.      172074.  -0.00160197
      65.0000      172206.      172074.  0.000767418
      68.0000      172165.      172074.  0.000531851
      71.0000      171231.      172074.  -0.00489800
      74.0000      171850.      172074.  -0.00130290
      77.0000      173378.      172074.   0.00758259
      80.0000      174002.      172074.    0.0112084
      83.0000      174202.      172074.    0.0123695
      86.0000      174305.      172074.    0.0129694
      89.0000      175013.      172074.    0.0170796
      92.0000      174254.      172074.    0.0126728
      95.0000      174009.      172074.    0.0112462
      98.0000      171725.      172074.  -0.00202900
      101.000      170099.      172074.   -0.0114760
      104.000      169549.      172074.   -0.0146715
      107.000      170543.      172074.  -0.00889359
      110.000      171512.      172074.  -0.00326345
      113.000      170947.      172074.  -0.00654884
      116.000      170847.      172074.  -0.00712654
      119.000      171013.      172074.  -0.00616538
      122.000      170523.      172074.  -0.00901266
      125.000      171215.      172074.  -0.00499085
      128.000      172866.      172074.   0.00460725
      131.000      175560.      172074.    0.0202622
       5      31      14.3100      45      1.00000      0.00000
      41.0000      173609.      172674.   0.00541555
      44.0000      174626.      172674.    0.0113078
      47.0000      174029.      172674.   0.00785016
      50.0000      171768.      172674.  -0.00524666
      53.0000      170237.      172674.   -0.0141114
      56.0000      169439.      172674.   -0.0187326
      59.0000      170993.      172674.  -0.00973357
      62.0000      172004.      172674.  -0.00387711
      65.0000      172999.      172674.   0.00188369
      68.0000      172706.      172674.  0.000188760
      71.0000      173835.      172674.   0.00672543
      74.0000      173900.      172674.   0.00710194
      77.0000      173689.      172674.   0.00587851
      80.0000      173075.      172674.   0.00232298
      83.0000      173494.      172674.   0.00474999
      86.0000      173910.      172674.   0.00715897
      89.0000      174104.      172674.   0.00828499
      92.0000      173982.      172674.   0.00757997
      95.0000      172193.      172674.  -0.00278352
      98.0000      170837.      172674.   -0.0106361
      101.000      170977.      172674.  -0.00982446
      104.000      173034.      172674.   0.00208537
      107.000      174225.      172674.   0.00898325
      110.000      173551.      172674.   0.00508082
      113.000      172246.      172674.  -0.00247882
      116.000      170291.      172674.   -0.0137994
      119.000      170285.      172674.   -0.0138350
      122.000      170859.      172674.   -0.0105094
      125.000      173857.      172674.   0.00685127
      128.000      174460.      172674.    0.0103443
      131.000      173671.      172674.   0.00577741
       6      31      14.3100      48      1.00000      0.00000
      41.0000      171841.      170732.   0.00650039
      44.0000      171678.      170732.   0.00554490
      47.0000      171320.      170732.   0.00344496
      50.0000      170599.      170732. -0.000774126
      53.0000      170250.      170732.  -0.00281833
      56.0000      169873.      170732.  -0.00502832
      59.0000      168554.      170732.   -0.0127535
      62.0000      169201.      170732.  -0.00896625
      65.0000      168644.      170732.   -0.0122291
      68.0000      169991.      170732.  -0.00433993
      71.0000      170058.      170732.  -0.00394539
      74.0000      172160.      170732.   0.00836815
      77.0000      172097.      170732.   0.00800018
      80.0000      171579.      170732.   0.00496342
      83.0000      171162.      170732.   0.00251998
      86.0000      172914.      170732.    0.0127810
      89.0000      173948.      170732.    0.0188406
      92.0000      172993.      170732.    0.0132486
      95.0000      171300.      170732.   0.00333195
      98.0000      170189.      170732.  -0.00318024
      101.000      169816.      170732.  -0.00536040
      104.000      168293.      170732.   -0.0142844
      107.000      169142.      170732.  -0.00930923
      110.000      169980.      170732.  -0.00440035
      113.000      170891.      170732.  0.000934153
      116.000      169795.      170732.  -0.00548524
      119.000      168944.      170732.   -0.0104722
      122.000      169476.      170732.  -0.00735600
      125.000      172077.      170732.   0.00788040
      128.000      172778.      170732.    0.0119863
      131.000      171136.      170732.   0.00237044
       7      31      14.3100      51      1.00000      0.00000
      41.0000      170120.      169287.   0.00492290
      44.0000      170192.      169287.   0.00534969
      47.0000      170382.      169287.   0.00646738
      50.0000      169588.      169287.   0.00178173
      53.0000      168537.      169287.  -0.00443196
      56.0000      167675.      169287.  -0.00952424
      59.0000      168371.      169287.  -0.00541190
      62.0000      168163.      169287.  -0.00663813
